评论数,阅读数,时间,标题,内容
108,25476,2017-05-19,再评上证吧第一高手,"
                            
                            争议还蛮大，不过我还是推荐盘口。
"
8,2831,2017-12-06,调整目标3171点,"
                            
                            调整目标3171点 
                        "
78,25580,2017-12-09,不要想不开！学好数学是件重要的事,"
                            
                            12月09日2015年股灾后，17年市场赚钱尤为不易，原因不言而喻...，投资人亏损程度或惊人...！不要想不开！活着，还是要眼光远点...图说：学好数学是件多么重要的事...------ 
"
166,97920,2017-11-05,特殊时期：特为创指（小票）发此贴，11月03日,"
                            
                            一句话：在舆论强大的攻势下，清洗最后的不坚定分子。静待后市发展。沪指到了3400，创指同样能到！ 
"
36,10115,2017-05-21,美国三次加息股市三次大跌，第四呢、,"
                            
                            第一次15年12月股市大跌10000点，第二次16年12月股市也大跌，第三次17年三月股市还是大跌。第四次马上要来了，每一次下跌都超过一个月，跌幅巨大。加息次数越多影响更大。 
                        "
5,2507,2017-02-09,周末又会公布IPO，大家猜猜是多少个？,"
                            
                            周末又会公布IPO，大家猜猜是多少个？ 
                        "
36,20507,2017-05-23,什么情况？？？,"
                            
                            江湖一片乱麻麻，哥来吧里喝杯茶。。。
"
25,7461,2017-09-11,2017年9月8日开始多只股票的长期持有策略，立贴,"
                            
                            2017年9月8日开始多只股票的长期持有策略，立贴为证 
                        "
266,69313,2017-05-09,今天又成功诱多。,"
                            
                            今天又成功诱多。 
                        "
77,47475,2017-12-30,丢人现眼的，3300沪指！！！,"
                            
                            2017年，A股已经过去……只是，万分不幸的，是让9成以上的，中小投资参与者，亏损得一败涂地……而这股市……又成了熊冠全球！！！ 
                        "
26,11932,2017-05-10,大盘破位赶快逃命，今年底部在2388点附近,"
                            
                            大盘破位赶快逃命，今年底部在2388点附近 
"
1,4008,2017-12-26,大家别总是看多头趋势，看一规律。2016最高点是,"
                            
                            大家别总是看多头趋势，看一规律。2016最高点是3538点，2017年高点是3451点，按照下跌趋势原理2018年最高点在那里大家都会计算。如果2018年最高点是3350点附近的话，盘口会出多少点的坑才会给2018年最高点带来机遇呢，大家自己去想一想。砸少明年就什么行情，砸多了，砸多少才会给2018年带来机遇和行情呢。本人不明说，国家队明年肯定是中小盘做多的。 
                        "
15,4102,2017-11-17,炼狱,"

"
40,10834,2017-12-21,進取創新平天下-進平盛世 ！！！,"
                            
                            啊啦雷 影响力 吧龄 3.6年 发表于 2017-12-19 16:07:16兄弟是否还记得2015年1月5日那天创指牛市的起点，从那天起我只看创指不看上证；而现在我的回帖都是说上证。如今的上证，请比较一下2015年1月5日的创指，你发现共同点了吗？============================================================晉陵白圭 影响力 吧龄 8.1年 发表于 2017-12-19 18:37:51觀察細緻。。。時間節點精準~~~~~~~~~~~上升通道的底比底高。回踩55周線位置開始反彈突破左肩后開啟一波恢宏的行情！！！歷史驚人的相似、是輪迴的、但更是螺旋式上升的~~~~~~~~~~~~18日的暴跌是因為朝核危機，一旦這個剪羊毛的陰謀問題化解掉后，加之明年是第二個5年的起始年沒有特殊問題的話應該迎來中國股市暴漲成就世界金融中心的元年！！！前途是光明的，道路依然曲折，在曲折中蛭行前進！！！永遠對市場保持一顆敬畏的心的前提下，明天的中國股市更美好~~~~~~~~~~~=====================================================股有淩雲志， 重上井岡山（5178）。千裏來尋故地， 舊貌變新顔。 莺歌燕舞， 更有潺潺流水， 高路入雲端（6666）。 過了黃洋界（3300）， 險處不須看。 風雷動， 旌旗奮， 是人寰。 二十八年過去， 彈指一揮間。 可上九天（6124）攬月， 可下五洋（1664）捉鼈， 談笑凱歌還。 世上無難事， 只要肯登攀。 ======================================================水在南半球是逆時針旋轉，在北半球是順時針旋轉。。。在赤道上是不旋轉的。。。因為偏轉力的不同導致。。。週六12月23日為是冬至日太陽直射南回歸線后開始被移動！！！中國股市成為世界金融中心的開啟元年將在明天開始！！！六十四卦之泽雷随卦：随卦【中中卦】随时变通六十四卦之泽雷随卦：象曰泥里步踏这几年，推车靠崖在眼前，目下就该再使力，扒上崖去发财源。===========================================================面朝大海，春暖花開 從明天起，做一個幸福的人 餵馬，劈柴，周遊世界 從明天起，關心糧食和蔬菜 我有一所房子，面朝大海，春暖花開 從明天起，和每一個親人通信 告訴他們我的幸福 那幸福的閃電告訴我的 我將告訴每一個人 給每一條河每一座山取一個溫暖的名字 陌生人，我也為你祝福 願你有一個燦爛的前程 願你有情人終成眷屬 願你在塵世獲得幸福 我只願面朝大海，春暖花開 
"
22,12265,2017-05-23,注意；恐慌C浪下跌即将来袭,"
                            
                            注意；恐慌C浪下跌即将来袭 
"
28,12899,2017-05-23,注意；恐慌C浪下跌即将来袭狂迎端午,"
                            
                            注意；恐慌C浪下跌即将来袭狂迎端午 
"
2,463,2017-11-30,券商全是骗子,"
                            
                            券商全是骗子 
                        "
4,3576,2017-12-06,我从2015年就已经觉悟了，只是自己手贱，从30万,"
                            
                            我从2015年就已经觉悟了，只是自己手贱，从30万到2017年的7月只有14万了，7月到12月拿了2万块玩，居然还能亏5000，从大趋势来看2018年创业板将会见大底，2019年将是大牛市，未来将会轻松破掉6000点，但是记住2018年23月份将会再次大跌，创业板没有到1641点千万记住要小钱玩，忠告各位。 
                        "
40,6385,2017-12-22,1222 周末全评，3日1个主贴,"
                            
                            每人不超过4个代码，今日15:30分开始点评，周六12:00结束跟代码。分帖协助维护，就说那是你要的图，省得无知群众围观，不想被它们纠缠。认领图-在发图的那个帖子上，回复-“我要的图”。如果没有回复，就可能没有下次提问机会了。隔行评论没有评论到的，再次提出需要说明什么地方看不明白或者不懂，如果你图也没去看就再次提出要求评论，浪费我的劳动。 
                        "
10,12123,2017-07-24,慢牛是扯蛋！,"
                            
                            有些人看到两个月的红盘就开始出现所谓“慢牛”的言论，这正是好了疮疤忘了痛，看看近五个月的走势，上证的月线走势被牢牢控制在30月线以下，如果在下个月不能有效站上30月线，将重回跌势！从月线分析2638点并非底部，只有二次击破2638点造成月线级别的底背离才能确认底，这个过程尚有相当的距离。现在很多人认为最大的风险来自创业板中小板的高估值，上证指数最安全，本人认为；恰恰相反，真正的风险来自于上证，只不过是最近时期以上证50为首的拉升指数掩盖了其中的真相！ 
                        "
347,55552,2017-12-05,指鹿为马，掩耳盗铃，表姐立牌坊[大笑][大笑][,"
                            
                            指鹿为马，掩耳盗铃，表姐立牌坊
"
511,215645,2017-11-25,“喇叭口”带来的警示和惊喜,"
                            
                            首先请您看附图阅读本文一、上周误判的检讨：1、坚信[4]浪为a-b-c不规则三段式（强势）调整浪，所以[5]-1浪必须在上证指数3450点之上才会出现回落，结果是提前回落；2、面对回落依然坚信[5]-2浪不会击穿前低3337点，结果是再下新低3328点。小结：日线级别走势诡异多端，实难预料，但是不影响中级上涨趋势。二、[4]浪浪型的再认识：再创新低的事实说明，[4]浪已经不是之前预判的a-b-c三段式不规则调整浪，而是证券市场上最为臭名昭著的“扩张三角形”（喇叭口）形态——一种“非生即死”的形态！小结：为什么普通小散所关注的上证指数、深成指和创业板指数悉数再创新低，而排除或弱化了超级大盘股的一干指数：如小康指数、300平均和800平均等等则无新低？此间彰显大机构诱空之险恶！三、关于“三角形”的技术解读：三角形的趋势定义：多出现于4浪或B浪而成为中继形态，偶有发生在趋势末端而成为反转形态，这些均取决于高一级波浪的级别或曰大趋势。教科书定义大致是这个样子的：1、对称收敛三角形——中继和反转概率各半；2、直角收敛三角形（又分为上升和下降两种）——2/3至3/4中继，其余反转；3、扩张三角形（喇叭口）和倾斜三角形（楔形）——2/3至3/4反转，其余中继。以上告诉我们一个真谛：股市没有绝对，只有概率大小之别，大趋势之别。四、后市展望：上证指数突破前高3450点下周就有可能，一旦回探“喇叭口”完成，将会加速上涨。最小目标3675点，基本目标3760点，乐观目标3890点。五、其它闲话：1、继央视50指数之后，基本面50和国证50指数均于上周突破15年牛市顶部。这其实是个坏消息，这警告我们，此轮中级反弹，50系和300系已经进入顶部区域！2、本人今后个股解读对象，原则仅限于被本人关注的翁粉。因为他们对股市和个股有比较清楚的认识、对本人也就有许多理解，关键时刻还能为我仗义执言。 
"
21,21075,2017-11-14,盘口今日清仓：“美康生物”！,"
                            
                            嘻嘻哈哈。。。 
                        "
390,77410,2017-05-19,致亚通股份 崇明有仙岛 梦中是我家 朝迎旭日升 ,"
                            
                            致亚通股份崇明有仙岛梦中是我家朝迎旭日升暮送夕阳下愿化一片云自在又潇洒身随魂梦飞来去无牵挂缱绻胸中臆相望成憧憬身孱多疾苦浮沉雨打萍前世或有缘，今生可倚重跨越千万里，遥台月下逢 
"
390,77411,2017-05-19,致亚通股份 崇明有仙岛 梦中是我家 朝迎旭日升 ,"
                            
                            致亚通股份崇明有仙岛梦中是我家朝迎旭日升暮送夕阳下愿化一片云自在又潇洒身随魂梦飞来去无牵挂缱绻胸中臆相望成憧憬身孱多疾苦浮沉雨打萍前世或有缘，今生可倚重跨越千万里，遥台月下逢 
"
3,1976,2017-11-23,3100在召唤,"
                            
                            本轮下跌，始于上证60分钟线，布林线缩口破下轨，下杀力量很大，估计跌去约300点左右，年线收阴十字星，3100在召唤。 
                        "
36,26199,2017-09-25,江湖我亚哥，人帅话不多。速度清仓，无反弹，反,"
                            
                            江湖我亚哥，人帅话不多。速度清仓，无反弹，反弹就看看，1863这次真的来了，不听话的年底你再看看，我是不是在救人于云端之上，云端……在梦幻与逍遥之中实为缥缈与凶险，惨不忍睹，快跑，慢一步倾家荡产，慢两步家破人亡，慢三步永不超生，惨呐。 
                        "
23,18267,2017-10-10,不能玩了，年底超级暴跌。现在正是离场时，大摇,"
                            
                            不能玩了，年底超级暴跌。现在正是离场时，大摇大摆。 
                        "
39,18722,2017-12-17,一月，日线，周线，月线共振，底部在一月底，二,"
                            
                            一月，日线，周线，月线共振，底部在一月底，二月初。日，周，月均形成对称。大呼小叫底者，干哈呢？ 
                        "
3,2128,2017-12-16,今年偷了个小懒儿，但愿领导没有发现,"
                            
                            今年偷了个小懒儿，但愿领导没有发现 
"
8,2580,2017-11-13,慢煮青蛙，速冻水饺，股灾马上就到！,"
                            
                            慢煮青蛙，速冻水饺，股灾马上就到！ 
                        "
12892,4309303,2017-05-09,创新与专注,"
                            
                            我欲与君相知，长命无绝衰。山无陵，江水为竭，冬雷震震，夏雨雪。人生是如此的短暂，灿如夏花，专心专注做好一件事已是不易，做人如此，做企业如此，炒股也不例外。本帖将关注创新专注的企业，愿意跟随她们曼妙的身影，走上一程。 
                        "
4,1410,2017-12-15,站上120周线，回踩120周线不也很正常吗？,"

"
15,7202,2017-09-07,星期四,"
                            
                            就这么回事情，明天又到星期五猜猜发几家 
                        "
27,13828,2017-12-17,小白收费，股票不准，还拉黑客户[大笑][大笑][,"
                            
                            小白收费，股票不准，还拉黑客户
"
24,13923,2017-05-31,希望我国股市走好！韩志国教授麻烦看看我的进言,"
                            
                            1。立即宣布：流通股前十位，直接进入董事会，谁都不可阻拦，混改就算完成。股权立马值钱，开启真正的牛市。2。建立股民监管机制，即检举立案快速通道，一经查实造假，必严罚，检举者优先获赔。鼓励全民监督。3。国有公司的高管要交纳经营保证金。设立虚拟股份给高管，同普通股一样分红，高管收入主要由此获得，让高管的利益与投资者捆在一起。4。新股每年集中法定的一天发行、上市完毕。5。建立严格的退市制度，国有、民营，一视同仁。6.要保护市场收购行为，因为实现资本合理配置是股市的基本属性，也是股市活力的源头之一。 7.政策要相对稳定，让大股东能安心经营，安心国内投资，做强做大自己的公司，多出百年老店；让股民愿意长期持股••• 
                        "
8,5050,2017-12-31,2018！如果爆发全球经济金融危机——就是美国为,"
                            
                            2018！如果爆发全球经济金融危机——就是美国为世界奉献的杰作！ 
                        "
6,2201,2017-12-31,2018！天上飘来五个字——黑锅美国接！[鼓掌][,"
                            
                            2018！天上飘来五个字——黑锅美国接！
"
413,163959,2017-03-31,挡不住的牛市，18个月后上5300点！,"
                            
                            挡不住的牛市，18个月后上5300点！波段的调整只是为了后面更好的上涨！涨是18个月内的总趋势，跌只是洗盘而言！深套的朋友们请不要反做，建议你忘记股市与手的股票安心工作就是。 
"
1429,246681,2017-12-21,12月21日开，跨年18涨。有横无踩，放心买。,"
                            
                            12月21日开，跨年18涨。有横无踩，放心买。 
"
7,4546,2017-12-15,创业板（整体上）的任何上涨都是主力诱多拉高出,"
                            
                            创业板（整体上）的任何上涨都是主力诱多拉高出货，散户股民仓位重者正好利用减仓减亏增利，不应舍不得丢掉少许筹码错失良机，一次次地坐过山车。 
                        "
11,13136,2017-12-31,赚钱靠的是真本事,"
                            
                            人在股海纵横沉浮的大世界里，能赚钱的仍然为少数，就算你为主力也未必能大赚，王亚伟都不过如此，叶荣添惨败都不足为奇，是否能真的常赚钱靠的是真本事，没有决胜于千百万里的眼力审视天下a股大势再看公司未来与价值规律的估算再去战胜对手（大主力）首领运盘智慧，什么大胜常胜必胜？可能什么小胜都不是！常见的失败者到处都是！你想很多人都想所有开户的投资者都想立于常胜不败改变人生命运……真的谈何容易啊！尽管你有雄心壮志而且你很有文化、本科生？硕士生？大学教授？很聪明（这些聪明人仍属大主力重点轰炸对象）？都未必能在股市中成为大赢家而能生存，资本市场就是资本与智慧谋略在不断地争夺较量的战场，很残酷很残忍的血肉大战，很多人一经介入就不知天高地厚地在搏杀，最后的结论是胜者与败者。这里是股海浩瀚浪涛天的世界……，这里是资本与智慧较量的战场……，这里是主力玩弄已成仙的圣地……，这里是股海寻宝不见天的海底捞月……，这里是高深莫测的天马浮云……，这里是高手猎阵成长的摇篮……，只有懂用兵的智慧者才有可能会赢……还是未一定。孙子兵法：‘兵者国之大事，生死之地，存亡之道，不可不察也……兵者诡道道也，能而示之不能，用而示之不用……’孙武话：‘要打胜仗，首先要战胜的就是对手首领的智慧，这叫上兵伐谋！’。 
                        "
50,11812,2017-12-31,面朝大海，春暖花开,"
                            
                            2018年，祝每一位投资者信有所得，好运连连...，新年好！图说：面朝大海，春暖花开------ 
"
75,25874,2017-10-20,俺想告诉你中国上证指数以后最接近西腊！,"
                            
                            俺想告诉你中国上证指数以后最接近西腊！ 
"
68,38143,2017-04-18,过去式的清晰与当下进行式的迷惑,"
                            
                            回首2013年6月的1849到2015年的5178，我们定性为两年牛市。牛市分为牛市的筑底及牛市主升浪，即2013年6月到2014年6月的筑底，2014年6月到2015年6月的主升浪行情.回首过去，1849到5178的牛市异常清晰，可是当2013年6月大盘见底1849点的时候你是否想到两年后的5178？当时的你敢去这么想吗？前途是光明的过程是曲折的，一波牛市，真正的主升浪行情很短暂，拿1849到5178举例，2013年6月到2014年12月这段行情大家记得吗？只涨指数不涨个股的行情大家记得吗？一年筑底再到主升浪初期行情的不明显大家还记得吗？试问1849到5178有几个人能吃到这波大行情的？再看当下，去年一整年大盘围绕2638到3301震荡，这是主力出货吗？2638是啥？3044又是啥？朋友们好好想想吧，言尽于此，且行且珍惜 
                        "
45,5757,2017-11-30,.咯咯咯 年年业绩翻今年4倍 今年净资增55亿25% ,"
                            
                            咯咯咯 年年业绩翻今年4倍 今年净资增55亿25% 市值仅270亿 可暴涨5倍 瞎子狂笑 瞎子狂笑 前三年业绩翻今年4倍，前三季净资产狂增55亿25% 市值仅270亿 可暴涨5倍。 咯咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣纸业 000488。 今年前三季净资产狂增43亿外加6月分红几亿，仅三季净资产暴增55亿，三季单季实际利润高达32亿，狂笑 可暴涨5倍 市值仅270亿，全年利润有望冲百亿，明年150亿？。 前三年业绩都翻倍。 市值270亿，前三季实际利润57亿，全年有望利润冲击百亿。 明年有望冲击150亿？辽宁镁矿储量3800万吨，价值7000亿，200万亩自有林600万亩合作丰速生林价值一旦重估至少价值千亿。晨鸣纸业（000488）17元买入，明年6月分红绝对收益6%，年化收益率12％左右 ，为低价定增作最后打压脑子不要进水！单淡季三季利已超32亿，照此速度明年利润超150亿？。 三季报表每股0.41元，应收票据贴隐瞒利润24亿元。 今年底镁矿投产赶上镁价暴涨，明年山东本部50万吨投产，湖北黄岗一期投产，又将为公司创造天量利润，今年十月纸价又二次大幅提价，在大环保压力下中小纸企纷纷关门，今后多年纸价将保持http://acttg.eastmoney.com/pub/web_nr_gbzwy_bmy_01_01_01_0极高的景气度，去年毛利达惊人的83％的公司融资租赁去年创净利10亿元，今年又将大幅提升三季报后券商们纷纷在20元附近给出买入增持，安信给出6个月目标价25.8元 
                        "
24,6679,2017-11-28,咯咯咯 年年业绩翻今年4倍 今年净资增55亿25% ,"
                            
                            咯咯咯 年年业绩翻今年4倍 今年净资增55亿25% 市值仅270亿 可暴涨5倍 瞎子狂笑 瞎子狂笑 前三年业绩翻今年4倍，前三季净资产狂增55亿25% 市值仅270亿 可暴涨5倍。 咯咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣纸业 000488。 今年前三季净资产狂增43亿外加6月分红几亿，仅三季净资产暴增55亿，三季单季实际利润高达32亿，狂笑 可暴涨5倍 市值仅270亿，全年利润有望冲百亿，明年150亿？。 前三年业绩都翻倍。 市值270亿，前三季实际利润57亿，全年有望利润冲击百亿。 明年有望冲击150亿？辽宁镁矿储量3800万吨，价值7000亿，200万亩自有林600万亩合作丰速生林价值一旦重估至少价值千亿。晨鸣纸业（000488）17元买入，明年6月分红绝对收益6%，年化收益率12％左右 ，为低价定增作最后打压脑子不要进水！单淡季三季利已超32亿，照此速度明年利润超150亿？。 三季报表每股0.41元，应收票据贴隐瞒利润24亿元。 今年底镁矿投产赶上镁价暴涨，明年山东本部50万吨投产，湖北黄岗一期投产，又将为公司创造天量利润，今年十月纸价又二次大幅提价，在大环保压力下中小纸企纷纷关门，今后多年纸价将保持http://acttg.eastmoney.com/pub/web_nr_gbzwy_bmy_01_01_01_0极高的景气度，去年毛利达惊人的83％的公司融资租赁去年创净利10亿元，今年又将大幅提升三季报后券商们纷纷在20元附近给出买入增持，安信给出6个月目标价25.8元 
                        "
51,12723,2017-06-16,全是股指期货惹的祸,"
                            
                            这个王八 
                        "
2,535,2017-12-12,正在走c浪杀,"
                            
                            正在走c浪杀 
                        "
1,918,2017-12-22,我的自选股5分钟里不大涨？收盘千股跌停--见红,"
                            
                            我的自选股5分钟里不大涨？收盘千股跌停--见红的股先跑 
                        "
33,8010,2017-12-21,这样搞又是黑色星期五（中午钓鱼的明天开盘就跌,"
                            
                            指数已被极少数泡沫股所绑架，指数已经不能代表市场整体。　超涨股年底震荡兑现，超跌股买了后会跌到18层地狱！ 
                        "
2,870,2017-12-21,我发誓：我的自选股不大涨？中小板股票收盘全跌,"
                            
                            我的自选股5分钟里不大涨？收盘千股跌停--见红的股先跑 
                        "
31,11251,2017-12-19,切记！明天任何股票只抛不买（周四将迎来猛烈下,"
                            
                            指数已被极少数泡沫股所绑架，指数已经不能代表市场整体。　超涨股年底震荡兑现，超跌股买了后会跌到18层地狱！ 
                        "
8,1656,2017-12-21,2018年中国股市同样将围绕去杠杆（大盘股会暴跌,"
                            
                            本次会议最大的一个注意点是什么？还是去杠杆，防风险。2017年4月当高层提及去杠杆，防风险的时候，市场选择了下跌，有太多的专业人士认为，中国股市完蛋了！因为开始收紧流动性了，这种教科书式的肤浅分析，只能是浅尝辄止，随后我们提出了大盘股已变成小盘股，因为大盘股的大股东被套不会减持（可以利用权重杠杆撬动指数）看到股市在同年5月见底后，开始了再次上攻，虽说上证指数涨幅不大，但以上证50为首的价值股再次向投资者展示了价值投资者的魅力。过去的已经过去，做投资永远是展望未来，而不是回首过去，毕竟股市炒作的永远是预期。2018年中国股市同样将围绕去杠杆，防风控这样的主题，但你不必再次被舆论误导，因为银行保险包括石油石化钢铁电力的大股东都可以减持了（再不减持就便宜了老外，真理和谬误相差一步；不减持变卖国了，资金外流） 
                        "
3,1026,2017-12-21,特吗的，海糠危视还在出货！--大盘还将大跌,"
                            
                            我发誓：我的自选股不大涨？中小板股票收盘全跌停 
                        "
187,29482,2017-04-07,为什么要拉黑偶？？？？？？,"
                            
                            为什么要拉黑偶？？？？？？ 
                        "
8,2767,2017-04-13,大摩：大湾区大金融，调高广发证券买入评级28元,"
                            
                            大摩：大湾区大金融，调高广发证券买入评级28元！大摩：大湾区大金融，调高广发证券买入评级28元！ 
                        "
3,1792,2017-11-03,癌股市场是一个谁买谁倒霉的有毒市场,"
                            
                            如题 
                        "
38,13577,2017-04-11,600577精达股份，就凭现在业绩增长速度及行业龙,"
                            
                            600577精达股份，就凭现在业绩增长速度及行业龙头地位，还有控股的军工概念恒丰特导新三板子公司属高端行业将来转主板带来20到50倍收益，既使现在不重组现在的价位也值8元左右，重组成功当然有3到5倍左右上升空间，20到40元之间.600577精达重组在推进中，之前洗出来再高价买入，心不甘是散户通病。另精达股份是正宗河北雄安新区智慧雄城市概念股，竟然没被发掘！建设雄安新区第一条就是绿色智慧城市，精达重组置入高锐视讯100%股份，增发配套募资22.5亿用于河北承德智慧城市项目！公司已经先一步打入大河北了！话不多说，240多万买了48亩地，现在京津冀真实的大动作了，所有的厂房和污染企业全部要求整改和搬迁。精达的位置更不用说了。加上中美合资企业。在美市场的增幅可观。4元的定增价不成功更有利于577。因此本尊说过重组不一定是件好事。招商亦是这样想的。精达的各地分厂的业绩增厚了，因为铜价上升了。明天4/6日绝对会通过小网贷的表决。那么新的一战戏剧又要上演了 
"
45,8130,2017-12-22,该股洗盘到位即将大幅拉升,"
                            
                            002477 雏鹰农牧超大资金深度介入该股！从盘口观察来看，该股洗盘到位即将大幅拉升！目前价位正是绝佳抄底买入良机，可以及时逢低买入！以上个人观点仅供参考！ 
                        "
2,2056,2017-05-31,只要维持这样的新股发行节奏，两年后，一元以下,"
                            
                            只要维持这样的新股发行节奏，两年后，一元以下的仙股会大把出现！！！拭目以待! 
                        "
75,25604,2017-08-18,请问你喝没喝过茅台酒？,"
                            
                            请问你喝没喝过茅台酒？ 
                        "
55,17454,2017-03-18,翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州,"
                            
                            翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州茅台600519翻倍呼吁恢复T+0交易A股T+1交易制度与股指期货T+0的交易制度漏洞使机构和股指期货投资者可以针对股票市场的标的物严重做空在股票市场T+1交易的投资者眼睁睁地看着别人疯狂做空而出现严重亏损。翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州茅台600519翻倍牛股 
                        "
2,8648,2017-09-10,17.09.10：散户处在被众多庄家绞杀的境地,"
                            
                            庄家:国家队QFII证金深港通沪港通私募养老金社保 
                        "
68,21121,2017-08-18,现在连茅台股也买不起了——当贵州茅台股价突破,"
                            
                            茅台酒喝不起就算了，现在连茅台股也买不起了——当贵州茅台股价突破500元后，这句话从吐槽变成了现实。贵州茅台周一创下历史新高，盘中突破500元大关、达到500.1元，收盘价为499.83元，成为A股有史以来的第一只500元股(每股注册资本可比的情况下)，再次捍卫股王名号。 
                        "
71,19929,2017-08-18,贵州茅台的“后500元时代”,"
贵州茅台的“后500元时代” 
                        "
79,22104,2017-08-18,股吧访谈之大小非888：茅台将如何走势？,"
                            
                            股吧访谈之大小非888：茅台将如何走势？ 
                        "
1,911,2017-05-31,所谓的护盘，就是延长熊市的时间！！！最终造成,"
                            
                            所谓的护盘，就是延长熊市的时间！！！最终造成泥沙俱下！ 
                        "
80,25844,2017-08-18,茅台一定会崩盘！为什么？因为获利盘巨大，接盘,"
                            
                            茅台一定会崩盘！为什么？因为获利盘巨大，接盘稀少，必然导致踩踏 
                        "
62,23188,2017-08-18,贵州茅台(600519)大宗交易数据一览(08-18),"
贵州茅台(600519)大宗交易数据一览(08-18) 
                        "
69,19986,2017-02-21,贵州茅台(600519)股价再度创下历史新高,"
贵州茅台(600519)股价再度创下历史新高2月20日贵州茅台股价最高超过362元/股，报收361.29元/股，上涨3.06%，股价创历史新高贵州茅台(600519)股价再度创下历史新高。2月20日贵州茅台股价最高超过362元/股，报收361.29元/股，上涨3.06%，股价创历史新高贵州茅台(600519)股价再度创下历史新高。2月20日贵州茅台股价最高超过362元/股，报收361.29元/股，上涨3.06%，股价创历史新高贵州茅台(600519)股价再度创下历史新高。2月20日贵州茅台股价最高超过362元/股，报收361.29元/股，上涨3.06%，股价创历史新高贵州茅台(600519)股价再度创下历史新高。2月20日贵州茅台股价最高超过362元/股，报收361.29元/股，上涨3.06%，股价创历史新高贵州茅台(600519)股价再度创下历史新高。2月20日贵州茅台股价最高超过362元/股，报收361.29元/股，上涨3.06%，股价创历史新高贵州茅台(600519)股价再度创下历史新高。2月20日贵州茅台股价最高超过362元/股，报收361.29元/股，上涨3.06%，股价创历史新高 
                        "
53,14833,2017-03-18,翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州,"
                            
                            翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州茅台600519翻倍牛股呼吁恢复T+0交易A股T+1交易制度与股指期货T+0的交易制度漏洞使机构和股指期货投资者可以针对股票市场的标的物严重做空在股票市场T+1交易的投资者眼睁睁地看着别人疯狂做空而出现严重亏损。翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州茅台600519翻倍牛股 
                        "
57,18882,2017-03-18,翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州,"
                            
                            翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州茅台600519翻倍牛股呼吁恢复T+0交易A股T+1交易制度与股指期货T+0的交易制度漏洞使机构和股指期货投资者可以针对股票市场的标的物严重做空在股票市场T+1交易的投资者眼睁睁地看着别人疯狂做空而出现严重亏损。翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州茅台600519翻倍牛股 
                        "
53,15966,2017-03-18,翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州,"
                            
                            翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州茅台翻倍股呼吁恢复T+0交易A股T+1交易制度与股指期货T+0的交易制度漏洞使机构和股指期货投资者可以针对股票市场的标的物严重做空在股票市场T+1交易的投资者眼睁睁地看着别人疯狂做空而出现严重亏损。翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州茅台600519翻倍牛股 
                        "
5,2643,2017-06-23,管理层的意思是:现在股价贵，是因为股票少了，,"
                            
                            管理层的意思是:现在股价贵，是因为股票少了，供给不足，所以必须加速ipo，佩服！
"
51,15525,2017-03-18,翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州,"
                            
                            翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州茅台600519翻倍股呼吁恢复T+0交易A股T+1交易制度与股指期货T+0的交易制度漏洞使机构和股指期货投资者可以针对股票市场的标的物严重做空在股票市场T+1交易的投资者眼睁睁地看着别人疯狂做空而出现严重亏损。翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州茅台600519翻倍牛股 
                        "
51,15034,2017-03-18,翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州,"
                            
                            翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州茅台翻倍牛股呼吁恢复T+0交易A股T+1交易制度与股指期货T+0的交易制度漏洞使机构和股指期货投资者可以针对股票市场的标的物严重做空在股票市场T+1交易的投资者眼睁睁地看着别人疯狂做空而出现严重亏损。翻倍牛股贵州茅台600519翻倍牛股 翻倍牛股贵州茅台600519翻倍牛股 
                        "
2,3410,2017-12-17,疯狂发货的后果，三分之一的股票即将面临流动性,"
                            
                            疯狂发货的后果，三分之一的股票即将面临流动性问题，仙股大量产生，大鱼吃不到小鱼，大庄与小庄搏杀的时代来临 
                        "
4,6348,2017-07-17,远离中小创，弃之！切记！,"
                            
                            中小创就是害群之马，多数存在业绩浮亏，忽悠讲故事，造假圈钱的情况！所以，必须跌，我一直建议大家尽早离开，以防加大损失！ 
                        "
55,17511,2017-08-18,三重顶可能性在烝大,"
                            
                            三重顶可能性在烝大 
                        "
