标题,链接,房屋总价,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,房屋类型,交易权属,参考首付
新上通策广场 自住精装修 户型南北通透 中间楼层 ,http://hz.58.com/ershoufang/33433035987265x.shtml,485                                万（单价36466                                元/㎡）,3室2厅2卫,133㎡,南,低层/共11层,豪华装修,70年,2005年,普通住宅,商品房,145.5                                万（月供13918元/月）
东部国际IBC，酒店式公寓，金沙湖b出口。60平 ,http://hz.58.com/ershoufang/33500071008182x.shtml,93                                万（单价15500                                元/㎡）,1室1厅1卫,60㎡,南北,中层/共24层,豪华装修,70年,2000年,普通住宅,商品房,27.9                                万（月供2668元/月）
钱塘印象 开发商精装修 置换合适 双阳台带露台  ,http://hz.58.com/ershoufang/33510188634055x.shtml,1200                                万（单价64864                                元/㎡）,3室2厅2卫,185㎡,南,高层/共11层,豪华装修,70年,2016年,普通住宅,商品房,360                                万（月供34441元/月）
宋都阳光国际 一线江景豪华装修 南北双阳台 采光 ,http://hz.58.com/ershoufang/33506402830769x.shtml,425                                万（单价35416                                元/㎡）,3室2厅2卫,120㎡,南北,高层/共21层,豪华装修,70年,2012年,普通住宅,商品房,127.5                                万（月供12196元/月）
一室一厅 低总价 地段繁华 精装修买来就可以.. ,http://hz.58.com/ershoufang/31703289959731x.shtml,210                                万（单价41176                                元/㎡）,1室1厅1卫,51㎡,北,中层/共46层,豪华装修,50年,2015年,普通住宅,商品房,63                                万（月供6026元/月）
安吉好房 主卧朝南西边套 小两房 总价低 楼层好 ,http://hz.58.com/ershoufang/33509308348617x.shtml,257                                万（单价55869                                元/㎡）,2室1厅1卫,46㎡,南北,共5层,豪华装修,70年,1989年,普通住宅,商品房,77.1                                万（月供7374元/月）
朝晖二区 靠河边 两房朝南 全明户型 采光好 无 ,http://hz.58.com/ershoufang/33487030591433x.shtml,208                                万（单价28108                                元/㎡）,2室2厅1卫,74㎡,南,低层/共7层,豪华装修,70年,1995年,普通住宅,商品房,62.4                                万（月供5968元/月）
青园小区紧靠运河咫尺文化广场，地铁百米 精装三房 ,http://hz.58.com/ershoufang/33487034041772x.shtml,338                                万（单价28888                                元/㎡）,3室2厅1卫,117㎡,南北,低层/共21层,豪华装修,70年,2004年,普通住宅,商品房,101.4                                万（月供9701元/月）
田园牧歌麓云苑 景观房50万豪华装修全送 楼层好 ,http://hz.58.com/ershoufang/33462171201737x.shtml,347                                万（单价39485                                元/㎡）,3室2厅1卫,87.88㎡,南,高层/共9层,豪华装修,70年,2015年,普通住宅,商品房,104.1                                万（月供9959元/月）
城西银泰绿城慧园，地铁五号线500米，此价格带！ ,http://hz.58.com/ershoufang/33452483850677x.shtml,1150                                万（单价61497                                元/㎡）,4室2厅2卫,187㎡,南北,低层/共17层,豪华装修,70年,2014年,普通住宅,商品房,345                                万（月供33004元/月）
新上房源：闲林山水 送花园！崭新家具家电！全送！ ,http://hz.58.com/ershoufang/33510361363249x.shtml,257                                万（单价19037                                元/㎡）,3室2厅2卫,135㎡,南北,低层/共11层,豪华装修,70年,2010年,普通住宅,商品房,77.1                                万（月供7374元/月）
新上房源 精装修两房 房东置换周边大面积 低于市 ,http://hz.58.com/ershoufang/33511638248124x.shtml,255                                万（单价36428                                元/㎡）,2室2厅1卫,70㎡,南北,中层/共26层,豪华装修,70年,2015年,普通住宅,商品房,76.5                                万（月供7319元/月）
和睦新村新出两房，总价低，置换诚心卖，价格看中可 ,http://hz.58.com/ershoufang/33488989516614x.shtml,135                                万（单价30000                                元/㎡）,2室1厅1卫,45㎡,南北,中层/共7层,豪华装修,70年,1993年,普通住宅,商品房,40.5                                万（月供3875元/月）
董家弄精装，房东20万精装婚房，南北通透拎包入住 ,http://hz.58.com/ershoufang/33455484958014x.shtml,170                                万（单价29310                                元/㎡）,2室2厅1卫,58㎡,南北,中层/共7层,豪华装修,70年,2000年,普通住宅,商品房,51                                万（月供4878元/月）
望江新园 新出经典两房朝南厅朝南 全明边套 20 ,http://hz.58.com/ershoufang/33512648924217x.shtml,375                                万（单价42613                                元/㎡）,2室2厅1卫,88㎡,南,高层/共21层,豪华装修,70年,2010年,普通住宅,商品房,112.5                                万（月供10763元/月）
拱墅区都市水乡 自住装修30万 刚需三房 户型正 ,http://hz.58.com/ershoufang/33512321220045x.shtml,208                                万（单价23370                                元/㎡）,3室2厅1卫,89㎡,南,高层/共11层,豪华装修,70年,1995年,普通住宅,商品房,62.4                                万（月供5968元/月）
"4.9米LOFT,带景观阳台，可做3房,总价58 ",http://hz.58.com/ershoufang/33511497659727x.shtml,58                                万（单价10545                                元/㎡）,2室1厅1卫,55㎡,南,中层/共12层,豪华装修,70年,2010年,普通住宅,商品房,17.4                                万（月供1665元/月）
30万温馨装修 两房朝南 南北通透 价格可谈看房 ,http://hz.58.com/ershoufang/33422334522558x.shtml,185                                万（单价25694                                元/㎡）,2室2厅1卫,72㎡,南,中层/共7层,豪华装修,70年,1998年,普通住宅,商品房,55.5                                万（月供5308元/月）
东站核心地块 地下商圈无缝连接双地鉄口 汇聚出三 ,http://hz.58.com/ershoufang/33511278877775x.shtml,96                                万（单价24000                                元/㎡）,2室1厅1卫,40㎡,南,低层/共11层,豪华装修,40年,2016年,公寓,商品房,28.8                                万（月供2754元/月）
精装修拎包入送露台 精致3房 有钥匙看房 ,http://hz.58.com/ershoufang/33509057708227x.shtml,208                                万（单价16124                                元/㎡）,3室2厅2卫,129㎡,南北,中层/共6层,豪华装修,70年,2005年,普通住宅,其他,62.4                                万（月供5968元/月）
新上房源滨江房产，有着华家池小西湖之称的人文景观 ,http://hz.58.com/ershoufang/33496462955329x.shtml,800                                万（单价57553                                元/㎡）,4室2厅2卫,139㎡,南,低层/共13层,豪华装修,70年,2017年,普通住宅,商品房,240                                万（月供22961元/月）
不限购 D铁口 精装入住 现房 首付5成 拥有一 ,http://hz.58.com/ershoufang/33507072667822x.shtml,70                                万（单价15555                                元/㎡）,1室1厅1卫,45㎡,东北,中层/共6层,豪华装修,40年,2015年,普通住宅,商品房,21                                万（月供2008元/月）
御道路一号、一线江景豪宅、奢华豪宅享受、综合商圈 ,http://hz.58.com/ershoufang/33507038148023x.shtml,780                                万（单价43333                                元/㎡）,3室2厅2卫,180㎡,南,高层/共28层,豪华装修,70年,2012年,普通住宅,商品房,234                                万（月供22387元/月）
万科公园大道，豪华装修带地暖，不靠马路，采荷，马 ,http://hz.58.com/ershoufang/33506999493186x.shtml,350                                万（单价39772                                元/㎡）,3室2厅1卫,88㎡,南北,低层/共15层,豪华装修,70年,2015年,普通住宅,商品房,105                                万（月供10044元/月）
"奥体核心板块,春江彼岸,大四房,楼层好,莲花馆隔 ",http://hz.58.com/ershoufang/33498735444017x.shtml,730                                万（单价45625                                元/㎡）,4室2厅1卫,160㎡,南北,中层/共33层,豪华装修,70年,2015年,普通住宅,商品房,219                                万（月供20950元/月）
伊萨卡豪装大三房 中间楼层 客厅两房朝南，东西都 ,http://hz.58.com/ershoufang/32190089082168x.shtml,315                                万（单价25000                                元/㎡）,3室2厅2卫,126㎡,南,中层/共34层,豪华装修,70年,2008年,普通住宅,商品房,94.5                                万（月供9041元/月）
一步钱江奥体旁 高端品质公寓 租金过万 享受品质 ,http://hz.58.com/ershoufang/33454739113157x.shtml,178                                万（单价36860                                元/㎡）,1室1厅1卫,48.29㎡,南北,高层/共30层,豪华装修,40年,2016年,公寓,商住两用,53.4                                万（月供5109元/月）
央企开发 绿城物业 申花双地铁口精装修loft公 ,http://hz.58.com/ershoufang/33506074685378x.shtml,100                                万（单价20000                                元/㎡）,2室1厅1卫,50㎡,南,高层/共11层,豪华装修,70年,2016年,普通住宅,商品房,30                                万（月供2871元/月）
万融城售楼部，2房设计，双地铁，精装微loft公 ,http://hz.58.com/ershoufang/33432428283586x.shtml,96                                万（单价19591                                元/㎡）,2室2厅2卫,49㎡,南北,中层/共16层,豪华装修,40年,2016年,公寓,商住两用,28.8                                万（月供2754元/月）
西溪美岸民用电50年产权、地铁5号线300米 、 ,http://hz.58.com/ershoufang/33500724730041x.shtml,110                                万（单价21568                                元/㎡）,2室1厅1卫,51㎡,南,地下/共15层,豪华装修,70年,2016年,普通住宅,商品房,33                                万（月供3156元/月）
翠苑一区 两房楼层好 价格好 不沿街 房东诚卖地 ,http://hz.58.com/ershoufang/33500092142379x.shtml,238                                万（单价39016                                元/㎡）,3室1厅1卫,61㎡,东西,低层/共7层,豪华装修,70年,1985年,普通住宅,商品房,71.4                                万（月供6831元/月）
香樟公寓，有些话你不必说，有些房你不必问！只管悄 ,http://hz.58.com/ershoufang/33445009529294x.shtml,300                                万（单价34090                                元/㎡）,2室2厅2卫,88㎡,南北,中层/共6层,豪华装修,70年,2002年,普通住宅,商品房,90                                万（月供8611元/月）
"全明边套！一线正气好房子 ,两房朝南 自住精装修 ",http://hz.58.com/ershoufang/33499550866479x.shtml,400                                万（单价47619                                元/㎡）,3室2厅1卫,84㎡,南,高层/共6层,豪华装修,70年,2003年,普通住宅,商品房,120                                万（月供11481元/月）
[科地]东方润园 豪装 配双车位 一线江景大宅 ,http://hz.58.com/ershoufang/33499374193476x.shtml,1900                                万（单价52341                                元/㎡）,5室3厅4卫,363㎡,南北,低层/共33层,豪华装修,70年,2006年,普通住宅,商品房,570                                万（月供54531元/月）
新鲜出炉！！ 精装送软装 民水民电通煤气 4.8 ,http://hz.58.com/ershoufang/33422051989551x.shtml,90                                万（单价20454                                元/㎡）,2室2厅2卫,44㎡,南北,中层/共16层,豪华装修,40年,2016年,公寓,商住两用,27                                万（月供2582元/月）
双地铁口豪华装修loft公寓拎包入住。 ,http://hz.58.com/ershoufang/33487462590377x.shtml,120                                万（单价27272                                元/㎡）,2室1厅1卫,44㎡,南,高层/共22层,豪华装修,40年,2017年,公寓,商住两用,36                                万（月供3445元/月）
万泰成章花园洋房精装修家具家电全送 ,http://hz.58.com/ershoufang/33451671505985x.shtml,195                                万（单价22159                                元/㎡）,3室1厅1卫,88㎡,南北,中层/共25层,豪华装修,70年,2015年,普通住宅,商品房,58.5                                万（月供5597元/月）
东方俊园 满2年大三房 小区周边配套齐全 精装修 ,http://hz.58.com/ershoufang/33484533878728x.shtml,190                                万（单价14960                                元/㎡）,3室2厅2卫,127㎡,南北,高层/共6层,豪华装修,70年,2004年,普通住宅,商品房,57                                万（月供5452元/月）
梧桐蓝山豪华装修边套大三房，满两年，景观好诚心出 ,http://hz.58.com/ershoufang/33445451020595x.shtml,430                                万（单价27044                                元/㎡）,3室2厅2卫,159㎡,南北,高层/共29层,豪华装修,70年,2013年,普通住宅,商品房,129                                万（月供12340元/月）
看房方便 户型正气 诚心出售 配套成熟 采光好  ,http://hz.58.com/ershoufang/33523845332012x.shtml,666                                万（单价50075                                元/㎡）,3室2厅2卫,133㎡,南北,中层/共25层,豪华装修,70年,2009年,普通住宅,商品房,199.8                                万（月供19115元/月）
世包国际中心！精装现房！现房！钱江新城双地鉄的房 ,http://hz.58.com/ershoufang/33523735500880x.shtml,265                                万（单价39552                                元/㎡）,1室1厅1卫,67㎡,南北,中层/共44层,豪华装修,70年,2010年,普通住宅,商品房,79.5                                万（月供7604元/月）
万科公园大道，豪华装修带地暖，不靠马路，采荷，马 ,http://hz.58.com/ershoufang/33506999493186x.shtml,350                                万（单价39772                                元/㎡）,3室2厅1卫,88㎡,南北,低层/共15层,豪华装修,70年,2015年,普通住宅,商品房,105                                万（月供10044元/月）
"奥体核心板块,春江彼岸,大四房,楼层好,莲花馆隔 ",http://hz.58.com/ershoufang/33498735444017x.shtml,730                                万（单价45625                                元/㎡）,4室2厅1卫,160㎡,南北,中层/共33层,豪华装修,70年,2015年,普通住宅,商品房,219                                万（月供20950元/月）
伊萨卡豪装大三房 中间楼层 客厅两房朝南，东西都 ,http://hz.58.com/ershoufang/32190089082168x.shtml,315                                万（单价25000                                元/㎡）,3室2厅2卫,126㎡,南,中层/共34层,豪华装修,70年,2008年,普通住宅,商品房,94.5                                万（月供9041元/月）
一步钱江奥体旁 高端品质公寓 租金过万 享受品质 ,http://hz.58.com/ershoufang/33454739113157x.shtml,178                                万（单价36860                                元/㎡）,1室1厅1卫,48.29㎡,南北,高层/共30层,豪华装修,40年,2016年,公寓,商住两用,53.4                                万（月供5109元/月）
央企开发 绿城物业 申花双地铁口精装修loft公 ,http://hz.58.com/ershoufang/33506074685378x.shtml,100                                万（单价20000                                元/㎡）,2室1厅1卫,50㎡,南,高层/共11层,豪华装修,70年,2016年,普通住宅,商品房,30                                万（月供2871元/月）
万融城售楼部，2房设计，双地铁，精装微loft公 ,http://hz.58.com/ershoufang/33432428283586x.shtml,96                                万（单价19591                                元/㎡）,2室2厅2卫,49㎡,南北,中层/共16层,豪华装修,40年,2016年,公寓,商住两用,28.8                                万（月供2754元/月）
西溪美岸民用电50年产权、地铁5号线300米 、 ,http://hz.58.com/ershoufang/33500724730041x.shtml,110                                万（单价21568                                元/㎡）,2室1厅1卫,51㎡,南,地下/共15层,豪华装修,70年,2016年,普通住宅,商品房,33                                万（月供3156元/月）
翠苑一区 两房楼层好 价格好 不沿街 房东诚卖地 ,http://hz.58.com/ershoufang/33500092142379x.shtml,238                                万（单价39016                                元/㎡）,3室1厅1卫,61㎡,东西,低层/共7层,豪华装修,70年,1985年,普通住宅,商品房,71.4                                万（月供6831元/月）
香樟公寓，有些话你不必说，有些房你不必问！只管悄 ,http://hz.58.com/ershoufang/33445009529294x.shtml,300                                万（单价34090                                元/㎡）,2室2厅2卫,88㎡,南北,中层/共6层,豪华装修,70年,2002年,普通住宅,商品房,90                                万（月供8611元/月）
"全明边套！一线正气好房子 ,两房朝南 自住精装修 ",http://hz.58.com/ershoufang/33499550866479x.shtml,400                                万（单价47619                                元/㎡）,3室2厅1卫,84㎡,南,高层/共6层,豪华装修,70年,2003年,普通住宅,商品房,120                                万（月供11481元/月）
[科地]东方润园 豪装 配双车位 一线江景大宅 ,http://hz.58.com/ershoufang/33499374193476x.shtml,1900                                万（单价52341                                元/㎡）,5室3厅4卫,363㎡,南北,低层/共33层,豪华装修,70年,2006年,普通住宅,商品房,570                                万（月供54531元/月）
低于市场价20万出售 双地铁口 欧式新装豪装 实 ,http://hz.58.com/ershoufang/33497796176443x.shtml,188                                万（单价16068                                元/㎡）,2室2厅2卫,117㎡,东北,中层/共30层,豪华装修,70年,2009年,普通住宅,商品房,56.4                                万（月供5394元/月）
新鲜出炉！！ 精装送软装 民水民电通煤气 4.8 ,http://hz.58.com/ershoufang/33422051989551x.shtml,90                                万（单价20454                                元/㎡）,2室2厅2卫,44㎡,南北,中层/共16层,豪华装修,40年,2016年,公寓,商住两用,27                                万（月供2582元/月）
双地铁口豪华装修loft公寓拎包入住。 ,http://hz.58.com/ershoufang/33487462590377x.shtml,120                                万（单价27272                                元/㎡）,2室1厅1卫,44㎡,南,高层/共22层,豪华装修,40年,2017年,公寓,商住两用,36                                万（月供3445元/月）
万泰成章花园洋房精装修家具家电全送 ,http://hz.58.com/ershoufang/33451671505985x.shtml,195                                万（单价22159                                元/㎡）,3室1厅1卫,88㎡,南北,中层/共25层,豪华装修,70年,2015年,普通住宅,商品房,58.5                                万（月供5597元/月）
东方俊园 满2年大三房 小区周边配套齐全 精装修 ,http://hz.58.com/ershoufang/33484533878728x.shtml,190                                万（单价14960                                元/㎡）,3室2厅2卫,127㎡,南北,高层/共6层,豪华装修,70年,2004年,普通住宅,商品房,57                                万（月供5452元/月）
梧桐蓝山豪华装修边套大三房，满两年，景观好诚心出 ,http://hz.58.com/ershoufang/33445451020595x.shtml,430                                万（单价27044                                元/㎡）,3室2厅2卫,159㎡,南北,高层/共29层,豪华装修,70年,2013年,普通住宅,商品房,129                                万（月供12340元/月）
看房方便 户型正气 诚心出售 配套成熟 采光好  ,http://hz.58.com/ershoufang/33523845332012x.shtml,666                                万（单价50075                                元/㎡）,3室2厅2卫,133㎡,南北,中层/共25层,豪华装修,70年,2009年,普通住宅,商品房,199.8                                万（月供19115元/月）
世包国际中心！精装现房！现房！钱江新城双地鉄的房 ,http://hz.58.com/ershoufang/33523735500880x.shtml,265                                万（单价39552                                元/㎡）,1室1厅1卫,67㎡,南北,中层/共44层,豪华装修,70年,2010年,普通住宅,商品房,79.5                                万（月供7604元/月）
新上！新绿园小区！开发商精装修，物业，尊享品质 ,http://hz.58.com/ershoufang/33523727022907x.shtml,950                                万（单价69343                                元/㎡）,3室2厅2卫,137㎡,南,低层/共11层,豪华装修,70年,2010年,普通住宅,商品房,285                                万（月供27264元/月）
龙湖天街旁，上学6米，2号线538米，豪装60万 ,http://hz.58.com/ershoufang/33521917938996x.shtml,330                                万（单价27500                                元/㎡）,3室2厅2卫,120㎡,南北,中层/共22层,豪华装修,70年,2016年,普通住宅,商品房,99                                万（月供9470元/月）
紧邻西溪湿地 豪装|+送软装 户户景观阳台 带花 ,http://hz.58.com/ershoufang/33511228562507x.shtml,228                                万（单价49565                                元/㎡）,1室1厅1卫,46㎡,南,低层/共6层,豪华装修,70年,2017年,普通住宅,商品房,68.4                                万（月供6542元/月）
万融城，杭州万达广场旁边精装LOFT公寓，低投  ,http://hz.58.com/ershoufang/33500480358970x.shtml,96                                万（单价19200                                元/㎡）,2室2厅2卫,50㎡,南北,中层/共16层,豪华装修,40年,2016年,公寓,商住两用,28.8                                万（月供2754元/月）
田园牧歌麓云苑 景观房50万豪华装修全送 楼层好 ,http://hz.58.com/ershoufang/33499802756686x.shtml,347                                万（单价39485                                元/㎡）,3室2厅1卫,87.88㎡,南,高层/共9层,豪华装修,70年,2015年,普通住宅,商品房,104.1                                万（月供9959元/月）
"绍兴高铁站旁,万达精装V公馆 ,民用水电可按揭, ",http://hz.58.com/ershoufang/33429904558654x.shtml,37                                万（单价7872                                元/㎡）,1室1厅1卫,47㎡,东南,中层/共30层,豪华装修,50年,2015年,公寓,公房,11.1                                万（月供1060元/月）
滨江核心板块d鉄1号线江陵站精装修现房4.78米 ,http://hz.58.com/ershoufang/33523519184201x.shtml,165                                万（单价29296                                元/㎡）,2室2厅1卫,56.32㎡,南北,低层/共35层,豪华装修,70年,2017年,普通住宅,商品房,49.5                                万（月供4734元/月）
"朝向南北通透高性价比景观入户露台,阳光清风随时造 ",http://hz.58.com/ershoufang/33501421581997x.shtml,130                                万（单价27083                                元/㎡）,2室1厅1卫,48㎡,南北,中层/共11层,豪华装修,70年,2015年,公寓,商品房,39                                万（月供3730元/月）
赞成杭家：上亿广场旁边周边设施齐全，纯东边套，南 ,http://hz.58.com/ershoufang/33523441675324x.shtml,195                                万（单价17889                                元/㎡）,4室2厅2卫,109㎡,南北,高层/共22层,豪华装修,70年,2016年,普通住宅,商品房,58.5                                万（月供5597元/月）
"绿洲花园武林商圈,轻轨站,配套成熟,精装修，小区 ",http://hz.58.com/ershoufang/33523353353922x.shtml,300                                万（单价33333                                元/㎡）,2室2厅1卫,90㎡,南北,中层/共20层,豪华装修,70年,2006年,普通住宅,商品房,90                                万（月供8611元/月）
东边套 全新装修未住过 南北通透 户型正气 ,http://hz.58.com/ershoufang/33523325320272x.shtml,330                                万（单价30000                                元/㎡）,2室2厅1卫,110㎡,南,低层/共17层,豪华装修,70年,2003年,普通住宅,商品房,99                                万（月供9470元/月）
海宁中式东和园 保底月租金3600 通燃气 精装 ,http://hz.58.com/ershoufang/33521196851274x.shtml,60                                万（单价12000                                元/㎡）,1室1厅1卫,50㎡,南北,中层/共20层,豪华装修,40年,2017年,公寓,商品房,18                                万（月供1723元/月）
中山花园 地段好 户型正气 ,http://hz.58.com/ershoufang/33485796230846x.shtml,300                                万（单价25862                                元/㎡）,3室2厅1卫,116㎡,南北,高层/共11层,豪华装修,70年,2000年,普通住宅,商品房,90                                万（月供8611元/月）
麓云苑新出好房，送精装修，南北通透，房东置换 ,http://hz.58.com/ershoufang/33523130737205x.shtml,320                                万（单价35674                                元/㎡）,2室2厅2卫,89.7㎡,南北,中层/共15层,豪华装修,70年,2015年,普通住宅,商品房,96                                万（月供9185元/月）
精装三房，采光好，南北通透，价格可谈 ,http://hz.58.com/ershoufang/33487031996986x.shtml,210                                万（单价28000                                元/㎡）,3室1厅1卫,75㎡,南,低层/共6层,豪华装修,70年,2006年,普通住宅,商品房,63                                万（月供6026元/月）
新城时代广场 两室一厅一卫 小区位置好，楼下4号 ,http://hz.58.com/ershoufang/33523004115132x.shtml,88                                万（单价18333                                元/㎡）,2室1厅1卫,48㎡,东南,高层/共16层,豪华装修,70年,2008年,普通住宅,商品房,26.4                                万（月供2524元/月）
（豪装武林府）大气三房，豪华装修，管家式一对一服 ,http://hz.58.com/ershoufang/33519628855884x.shtml,780                                万（单价44571                                元/㎡）,3室2厅2卫,175㎡,南,高层/共21层,豪华装修,70年,2013年,普通住宅,商品房,234                                万（月供22387元/月）
精装三房，采光好，南北通透，价格可谈 ,http://hz.58.com/ershoufang/33487032977221x.shtml,200                                万（单价26666                                元/㎡）,3室1厅1卫,75㎡,南,低层/共6层,豪华装修,70年,2006年,普通住宅,商品房,60                                万（月供5741元/月）
中山花园 地段好 户型正气 ,http://hz.58.com/ershoufang/33485796065998x.shtml,300                                万（单价25862                                元/㎡）,3室2厅1卫,116㎡,南北,高层/共11层,豪华装修,70年,2000年,普通住宅,商品房,90                                万（月供8611元/月）
新城时代广场 两室一厅一卫 小区位置好，楼下4号 ,http://hz.58.com/ershoufang/33522997910976x.shtml,88                                万（单价18333                                元/㎡）,2室1厅1卫,48㎡,东南,高层/共16层,豪华装修,70年,2008年,普通住宅,商品房,26.4                                万（月供2524元/月）
业主急用钱急卖，采光好，南北通透价格可谈，精装修 ,http://hz.58.com/ershoufang/33522991379002x.shtml,460                                万（单价28930                                元/㎡）,3室2厅2卫,159㎡,南北,中层/共15层,豪华装修,70年,1998年,普通住宅,商品房,138                                万（月供13203元/月）
卖鱼桥长板里 两房朝南精装修 全明户型一梯两户  ,http://hz.58.com/ershoufang/33490128295100x.shtml,265                                万（单价33125                                元/㎡）,2室2厅1卫,80㎡,南北,中层/共7层,豪华装修,70年,1997年,普通住宅,商品房,79.5                                万（月供7604元/月）
"08年电梯房,南北通透,厨卫全明,全明西边套,采 ",http://hz.58.com/ershoufang/33487033314501x.shtml,228                                万（单价25617                                元/㎡）,3室2厅1卫,89㎡,南,高层/共28层,豪华装修,70年,2008年,普通住宅,商品房,68.4                                万（月供6542元/月）
首付15万起，可上学，70年产权住宅地理位置优越 ,http://hz.58.com/ershoufang/33511648059317x.shtml,60                                万（单价9836                                元/㎡）,2室1厅1卫,61㎡,南北,中层/共15层,豪华装修,70年,2015年,普通住宅,商品房,18                                万（月供1723元/月）
龙湖春江彼岸 两房朝南 厅朝南 带阳台 户型方正 ,http://hz.58.com/ershoufang/33497746114362x.shtml,430                                万（单价47777                                元/㎡）,3室2厅2卫,90㎡,南北,中层/共33层,豪华装修,70年,2015年,普通住宅,商品房,129                                万（月供12340元/月）
樱花小筑 景观房 豪华装修 送车库 露台 花园  ,http://hz.58.com/ershoufang/33522952791886x.shtml,900                                万（单价40909                                元/㎡）,6室2厅4卫,220㎡,南北,共4层,豪华装修,70年,2000年,别墅,商品房,270                                万（月供25831元/月）
武林北+申花心+未来杭州徐家汇核心区+精装交付+ ,http://hz.58.com/ershoufang/33522930891983x.shtml,630                                万（单价37278                                元/㎡）,4室2厅2卫,169㎡,南,中层/共19层,豪华装修,70年,2017年,普通住宅,商品房,189                                万（月供18080元/月）
西湖文化广场附近，朝晖一区，好房急售！！！ ,http://hz.58.com/ershoufang/33517495943118x.shtml,230                                万（单价25842                                元/㎡）,2室1厅1卫,89㎡,南北,中层/共7层,豪华装修,70年,1985年,普通住宅,商品房,69                                万（月供6600元/月）
华府一梯一户豪华装修 三室二厅 不临街小区景观位 ,http://hz.58.com/ershoufang/33522877956397x.shtml,670                                万（单价48201                                元/㎡）,3室2厅2卫,139㎡,南,高层/共11层,豪华装修,70年,2014年,普通住宅,商品房,201                                万（月供19228元/月）
小户型温馨两房景芳三区，新城时代广场边上，温馨装 ,http://hz.58.com/ershoufang/33522877556940x.shtml,118                                万（单价33714                                元/㎡）,2室0厅1卫,35㎡,南,低层/共6层,豪华装修,70年,1998年,普通住宅,商品房,35.4                                万（月供3387元/月）
阳光逸城 自住两房装修 南北通透 温馨2房 交通 ,http://hz.58.com/ershoufang/33522862338510x.shtml,140                                万（单价22580                                元/㎡）,2室2厅1卫,62㎡,东南,高层/共14层,豪华装修,70年,2009年,普通住宅,商品房,42                                万（月供4019元/月）
双地铁口豪华装修loft公寓拎包入住。 ,http://hz.58.com/ershoufang/33487462590377x.shtml,120                                万（单价27272                                元/㎡）,2室1厅1卫,44㎡,南,高层/共22层,豪华装修,40年,2017年,公寓,商住两用,36                                万（月供3445元/月）
万泰成章花园洋房精装修家具家电全送 ,http://hz.58.com/ershoufang/33451671505985x.shtml,195                                万（单价22159                                元/㎡）,3室1厅1卫,88㎡,南北,中层/共25层,豪华装修,70年,2015年,普通住宅,商品房,58.5                                万（月供5597元/月）
东方俊园 满2年大三房 小区周边配套齐全 精装修 ,http://hz.58.com/ershoufang/33484533878728x.shtml,190                                万（单价14960                                元/㎡）,3室2厅2卫,127㎡,南北,高层/共6层,豪华装修,70年,2004年,普通住宅,商品房,57                                万（月供5452元/月）
海宁市娟湖景色房，地铁口，万达旁边，，大4房 ,http://hz.58.com/ershoufang/33477636216264x.shtml,127                                万（单价10241                                元/㎡）,3室2厅1卫,124㎡,南北,高层/共17层,豪华装修,70年,2010年,普通住宅,商品房,38.1                                万（月供3645元/月）
梧桐蓝山豪华装修边套大三房，满两年，景观好诚心出 ,http://hz.58.com/ershoufang/33445451020595x.shtml,430                                万（单价27044                                元/㎡）,3室2厅2卫,159㎡,南北,高层/共29层,豪华装修,70年,2013年,普通住宅,商品房,129                                万（月供12340元/月）
看房方便 户型正气 诚心出售 配套成熟 采光好  ,http://hz.58.com/ershoufang/33523845332012x.shtml,666                                万（单价50075                                元/㎡）,3室2厅2卫,133㎡,南北,中层/共25层,豪华装修,70年,2009年,普通住宅,商品房,199.8                                万（月供19115元/月）
世包国际中心！精装现房！现房！钱江新城双地鉄的房 ,http://hz.58.com/ershoufang/33523735500880x.shtml,265                                万（单价39552                                元/㎡）,1室1厅1卫,67㎡,南北,中层/共44层,豪华装修,70年,2010年,普通住宅,商品房,79.5                                万（月供7604元/月）
新上！新绿园小区！开发商精装修，物业，尊享品质 ,http://hz.58.com/ershoufang/33523727022907x.shtml,950                                万（单价69343                                元/㎡）,3室2厅2卫,137㎡,南,低层/共11层,豪华装修,70年,2010年,普通住宅,商品房,285                                万（月供27264元/月）
龙湖天街旁，上学6米，2号线538米，豪装60万 ,http://hz.58.com/ershoufang/33521917938996x.shtml,330                                万（单价27500                                元/㎡）,3室2厅2卫,120㎡,南北,中层/共22层,豪华装修,70年,2016年,普通住宅,商品房,99                                万（月供9470元/月）
地铁双线，送豪华装修50万，全实木家具，ICC地 ,http://hz.58.com/ershoufang/33523209113285x.shtml,310                                万（单价34831                                元/㎡）,3室2厅2卫,89㎡,南,高层/共16层,豪华装修,70年,2014年,普通住宅,商品房,93                                万（月供8896元/月）
滨江核心板块d鉄1号线江陵站精装修现房4.78米 ,http://hz.58.com/ershoufang/33523519184201x.shtml,165                                万（单价29296                                元/㎡）,2室2厅1卫,56.32㎡,南北,低层/共35层,豪华装修,70年,2017年,普通住宅,商品房,49.5                                万（月供4734元/月）
"朝向南北通透高性价比景观入户露台,阳光清风随时造 ",http://hz.58.com/ershoufang/33501421581997x.shtml,130                                万（单价27083                                元/㎡）,2室1厅1卫,48㎡,南北,中层/共11层,豪华装修,70年,2015年,公寓,商品房,39                                万（月供3730元/月）
