标题,链接,房屋总价,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,房屋类型,交易权属,参考首付,税费总计,是否唯一,税费描述
长青风帆，两房朝南，一梯两户，诚心出售，户型正气 ,http://hz.58.com/ershoufang/33252514652222x.shtml,178                                万（单价26176                                元/㎡）,2室2厅1卫,68㎡,南,中层/共7层,中等装修,70年,2000年,普通住宅,商品房,53.4                                万（月供5109元/月）,,,
单价19000左右，可拎包入住！总价实惠！小区有 ,http://hz.58.com/ershoufang/33440243927621x.shtml,188                                万（单价19381                                元/㎡）,2室2厅1卫,97㎡,南北,高层/共26层,中等装修,70年,2008年,普通住宅,商品房,56.4                                万（月供5394元/月）,,,
流水西苑二室一厅一卫 ,http://hz.58.com/ershoufang/33322066379441x.shtml,200                                万（单价35855                                元/㎡）,2室1厅1卫,55.78㎡,东南,中层/共7层,中等装修,70年,1996年,普通住宅,其他,60                                万（月供5741元/月）,,,
安居苑 2室1厅1卫 ,http://hz.58.com/ershoufang/32294317815616x.shtml,60                                万（单价8333                                元/㎡）,2室1厅1卫,72㎡,东南,中层/共7层,中等装修,70年,1996年,其他,商品房,18                                万（月供1723元/月）,,,
逸居城楼梯三房东边套出售、、本小区户型 ,http://hz.58.com/ershoufang/31330884307393x.shtml,175                                万（单价19444                                元/㎡）,3室2厅1卫,90㎡,南北,中层/共6层,中等装修,70年,2010年,普通住宅,商品房,52.5                                万（月供5023元/月）,,,
采荷2小，清爽装修，中间楼层，房东急卖，看房随时 ,http://hz.58.com/ershoufang/33179629159361x.shtml,245                                万（单价43750                                元/㎡）,2室1厅1卫,56㎡,南北,中层/共7层,中等装修,70年,1989年,普通住宅,商品房,73.5                                万（月供7030元/月）,,,
望江新一园新出三开间朝南全明户型 没有双税房东诚 ,http://hz.58.com/ershoufang/33489464012077x.shtml,400                                万（单价45977                                元/㎡）,2室2厅1卫,87㎡,南,低层/共21层,中等装修,70年,2007年,普通住宅,商品房,120                                万（月供11481元/月）,,,
"花园小区,居住 公寓(小区房)97万元 ",http://hz.58.com/ershoufang/33510421409864x.shtml,97                                万（单价15396                                元/㎡）,1室1厅1卫,63㎡,南北,中层/共25层,中等装修,70年,2000年,普通住宅,其他,29.1                                万（月供2782元/月）,,,
户型3室1厅众安理想湾急售！！！ ,http://hz.58.com/ershoufang/33518655660725x.shtml,170                                万（单价19101                                元/㎡）,3室2厅1卫,89㎡,南北,中层/共34层,中等装修,70年,2016年,普通住宅,其他,51                                万（月供4878元/月）,,,
保利东湾标准两房 中间楼层 225万拎包入住 配 ,http://hz.58.com/ershoufang/33439983102006x.shtml,225                                万（单价29220                                元/㎡）,2室2厅1卫,77㎡,南,高层/共33层,中等装修,70年,2010年,普通住宅,商品房,67.5                                万（月供6456元/月）,,,
可以看到金沙湖 新出房源泰美国际 LOFT 中间 ,http://hz.58.com/ershoufang/33478864911798x.shtml,135                                万（单价28125                                元/㎡）,1室1厅0卫,48㎡,南,中层/共22层,中等装修,40年,2014年,普通住宅,商住两用,40.5                                万（月供3875元/月）,,,
边套 房东诚心出售 房子户型很好采光很好 星桥镇 ,http://hz.58.com/ershoufang/33497287786794x.shtml,220                                万（单价18803                                元/㎡）,3室2厅1卫,117㎡,南北,高层/共18层,中等装修,70年,2010年,普通住宅,其他,66                                万（月供6315元/月）,,,
86方2房 20万精装 文一西路沿线 对面大禹小 ,http://hz.58.com/ershoufang/33521429231309x.shtml,220                                万（单价24719                                元/㎡）,2室2厅1卫,89㎡,南北,中层/共6层,中等装修,70年,2004年,普通住宅,其他,66                                万（月供6315元/月）,,,
"世茂江滨花园碧景湾,出门就是铁口,精装大三房一线 ",http://hz.58.com/ershoufang/33477397234111x.shtml,330                                万（单价27272                                元/㎡）,3室2厅2卫,121㎡,南北,中层/共33层,中等装修,70年,2016年,普通住宅,商品房,99                                万（月供9470元/月）,,,
万达广场 香槟之约 送大阳台 民用水电 ,http://hz.58.com/ershoufang/32503144679109x.shtml,58                                万（单价15675                                元/㎡）,1室0厅0卫,37㎡,南,中层/共18层,中等装修,40年,,公寓,商品房,17.4                                万（月供1665元/月）,,,
重点 ，房主急售2室1厅龙湖滟澜山铭轩 ,http://hz.58.com/ershoufang/33485254789162x.shtml,365                                万（单价42941                                元/㎡）,2室2厅1卫,85㎡,南北,中层/共28层,中等装修,70年,2012年,普通住宅,其他,109.5                                万（月供10474元/月）,,,
北银公寓1室1厅108万元隆重出售！ ,http://hz.58.com/ershoufang/33495730233801x.shtml,108                                万（单价27692                                元/㎡）,1室1厅1卫,39㎡,南北,中层/共7层,中等装修,70年,2005年,普通住宅,其他,32.4                                万（月供3098元/月）,,,
临平树兰书香名邸 优质房源137万元公寓(小区房 ,http://hz.58.com/ershoufang/33474839215301x.shtml,137                                万（单价15054                                元/㎡）,3室2厅1卫,91㎡,南北,低层/共32层,中等装修,70年,2010年,普通住宅,其他,41.1                                万（月供3930元/月）,,,
近江二园天地实验 西边套南北通全明 三房精装修  ,http://hz.58.com/ershoufang/33489468845257x.shtml,440                                万（单价45833                                元/㎡）,3室2厅1卫,96㎡,南北,中层/共11层,中等装修,70年,2007年,普通住宅,商品房,132                                万（月供12629元/月）,,,
地铁口房子 3房两卫 一小一中 房 ,http://hz.58.com/ershoufang/33516992599093x.shtml,240                                万（单价18836                                元/㎡）,3室2厅2卫,127.41㎡,南北,中层/共6层,中等装修,70年,1995年,普通住宅,其他,72                                万（月供6889元/月）,,,
文泽路地铁文海读书 电梯房精装三房 户型正气 中 ,http://hz.58.com/ershoufang/33297052134606x.shtml,210                                万（单价18584                                元/㎡）,3室2厅1卫,113㎡,南北,中层/共6层,中等装修,70年,2008年,普通住宅,商品房,63                                万（月供6026元/月）,,,
四房四阳台 赠送20万装修 满五唯一 江景房 l ,http://hz.58.com/ershoufang/33495309205945x.shtml,300                                万（单价27027                                元/㎡）,4室2厅2卫,111㎡,南,高层/共33层,中等装修,70年,2011年,普通住宅,商品房,90                                万（月供8611元/月）,,,
庆春路，建国路，浙一浙二附近，清爽2房，2楼，户 ,http://hz.58.com/ershoufang/33433975354941x.shtml,168                                万（单价32941                                元/㎡）,2室1厅1卫,51㎡,南北,低层/共7层,中等装修,70年,1989年,普通住宅,商品房,50.4                                万（月供4820元/月）,,,
采荷三小无学籍 小区中心位置 房东新挂房源 满五 ,http://hz.58.com/ershoufang/33385605740983x.shtml,375                                万（单价39473                                元/㎡）,3室1厅1卫,95㎡,南,中层/共7层,中等装修,70年,1999年,普通住宅,商品房,112.5                                万（月供10763元/月）,,,
精致户型 中装送设施 花不多的钱 购温馨小家！ ,http://hz.58.com/ershoufang/32809552431421x.shtml,258                                万（单价53750                                元/㎡）,2室1厅1卫,48㎡,南北,中层/共7层,中等装修,70年,1989年,普通住宅,商品房,77.4                                万（月供7405元/月）,,,
望江新一园新出三开间朝南全明户型 没有双税房东诚 ,http://hz.58.com/ershoufang/33489464085835x.shtml,400                                万（单价45977                                元/㎡）,2室2厅1卫,87㎡,南,低层/共21层,中等装修,70年,2007年,普通住宅,商品房,120                                万（月供11481元/月）,,,
"花园小区,居住 公寓(小区房)97万元 ",http://hz.58.com/ershoufang/33508557121336x.shtml,97                                万（单价15396                                元/㎡）,1室1厅1卫,63㎡,南北,中层/共25层,中等装修,70年,2000年,普通住宅,其他,29.1                                万（月供2782元/月）,,,
户型3室1厅众安理想湾急售！！！ ,http://hz.58.com/ershoufang/33498702036651x.shtml,170                                万（单价19101                                元/㎡）,3室2厅1卫,89㎡,南北,中层/共34层,中等装修,70年,2016年,普通住宅,其他,51                                万（月供4878元/月）,,,
保利东湾标准两房 中间楼层 225万拎包入住 配 ,http://hz.58.com/ershoufang/33439983098183x.shtml,225                                万（单价29220                                元/㎡）,2室2厅1卫,77㎡,南,高层/共33层,中等装修,70年,2010年,普通住宅,商品房,67.5                                万（月供6456元/月）,,,
临平树兰书香名邸 优质房源140万元公寓(小区房 ,http://hz.58.com/ershoufang/33466848081733x.shtml,140                                万（单价15384                                元/㎡）,3室2厅1卫,91㎡,南北,低层/共32层,中等装修,70年,2010年,普通住宅,其他,42                                万（月供4019元/月）,,,
"世茂江滨花园碧景湾,出门就是铁口,精装大三房一线 ",http://hz.58.com/ershoufang/33477278949039x.shtml,330                                万（单价27272                                元/㎡）,3室2厅2卫,121㎡,南北,中层/共33层,中等装修,70年,2016年,普通住宅,商品房,99                                万（月供9470元/月）,,,
东湖春天  小户型 两房精装 随时入住 看房随时 ,http://hz.58.com/ershoufang/33517328016810x.shtml,97                                万（单价15396                                元/㎡）,1室1厅1卫,63㎡,南北,中层/共25层,中等装修,70年,2000年,普通住宅,其他,29.1                                万（月供2782元/月）,,,
户型3室1厅众安理想湾急售 155万便宜卖 看房 ,http://hz.58.com/ershoufang/33499378763461x.shtml,155                                万（单价17415                                元/㎡）,3室2厅1卫,89㎡,南北,中层/共34层,中等装修,70年,2016年,普通住宅,其他,46.5                                万（月供4449元/月）,,,
保利东湾标准两房 中间楼层 225万拎包入住 配 ,http://hz.58.com/ershoufang/33477396838844x.shtml,225                                万（单价29220                                元/㎡）,2室2厅1卫,77㎡,南,高层/共33层,中等装修,70年,2010年,普通住宅,商品房,67.5                                万（月供6456元/月）,,,
书香名邸三房，南北通透，总价140万 ,http://hz.58.com/ershoufang/33455140631361x.shtml,140                                万（单价15384                                元/㎡）,3室2厅1卫,91㎡,南北,低层/共32层,中等装修,70年,2010年,普通住宅,其他,42                                万（月供4019元/月）,,,
"花园小区,居住 公寓(小区房)97万元 ",http://hz.58.com/ershoufang/33510700334912x.shtml,97                                万（单价15396                                元/㎡）,1室1厅1卫,63㎡,南北,中层/共25层,中等装修,70年,2000年,普通住宅,其他,29.1                                万（月供2782元/月）,,,
众安理想湾3室1厅157.9万业主抛售超值精品 ,http://hz.58.com/ershoufang/33466842689725x.shtml,157.9                                万（单价17741                                元/㎡）,3室2厅1卫,89㎡,南北,中层/共34层,中等装修,70年,2016年,普通住宅,其他,47.37                                万（月供4530元/月）,,,
"花园小区,居住 公寓(小区房)97万元 ",http://hz.58.com/ershoufang/33510685097660x.shtml,97                                万（单价15396                                元/㎡）,1室1厅1卫,63㎡,南北,中层/共25层,中等装修,70年,2000年,普通住宅,其他,29.1                                万（月供2782元/月）,,,
半山好房诚售 房如人生，买房如择偶，不可儿戏 ,http://hz.58.com/ershoufang/31995271661615x.shtml,147                                万（单价25789                                元/㎡）,2室1厅1卫,57㎡,南,低层/共6层,中等装修,70年,1996年,普通住宅,其他,44.1                                万（月供4219元/月）,,,
复式景观房，实际使用面积250多方 ，有钥匙，随 ,http://hz.58.com/ershoufang/32879630958785x.shtml,230                                万（单价14935                                元/㎡）,4室2厅1卫,154㎡,南北,高层/共18层,中等装修,70年,2005年,普通住宅,商品房,69                                万（月供6600元/月）,,,
竹竿巷小区 238万 2室1厅1卫 中装，直接入 ,http://hz.58.com/ershoufang/33485081835308x.shtml,238                                万（单价44074                                元/㎡）,2室1厅1卫,54㎡,南北,高层/共6层,中等装修,70年,1988年,普通住宅,商品房,71.4                                万（月供6831元/月）,,,
流水苑大型社区 居住方便 配套都有 生活便利 ,http://hz.58.com/ershoufang/32525466768457x.shtml,245                                万（单价31366                                元/㎡）,3室1厅1卫,78.11㎡,南北,低层/共7层,中等装修,70年,1998年,普通住宅,其他,73.5                                万（月供7030元/月）,,,
紫金庭园3室2厅550万元今天不买明天就少赚钱 ,http://hz.58.com/ershoufang/31317494723128x.shtml,550                                万（单价47008                                元/㎡）,3室2厅2卫,117㎡,南北,中层/共7层,中等装修,70年,2005年,普通住宅,其他,165                                万（月供15784元/月）,,,
半山好房诚售 好的户型，好的楼层，心动的价格 ,http://hz.58.com/ershoufang/31995295153720x.shtml,150                                万（单价25862                                元/㎡）,2室1厅1卫,58㎡,南,高层/共6层,中等装修,70年,1992年,普通住宅,其他,45                                万（月供4304元/月）,,,
双北干 房，地铁房，小区位置好 ,http://hz.58.com/ershoufang/26552045225037x.shtml,330                                万（单价25190                                元/㎡）,3室2厅2卫,131㎡,南北,中层/共6层,中等装修,70年,1996年,普通住宅,商品房,99                                万（月供9470元/月）,,,
68方好户型底价狂甩只要100多万新世界柏丽轩  ,http://hz.58.com/ershoufang/33430709231151x.shtml,100                                万（单价14705                                元/㎡）,1室1厅1卫,68㎡,西,中层/共27层,中等装修,50年,2008年,公寓,商品房,30                                万（月供2871元/月）,,,
长青风帆，送院子，南北通透，诚心出售，户型正气， ,http://hz.58.com/ershoufang/33243830746057x.shtml,189                                万（单价29076                                元/㎡）,2室1厅1卫,65㎡,南,低层/共6层,中等装修,70年,2000年,普通住宅,商品房,56.7                                万（月供5425元/月）,,,
文泽地铁口文海读书 精装一室一厅 中间楼层 看房 ,http://hz.58.com/ershoufang/33240666928186x.shtml,98                                万（单价24500                                元/㎡）,1室1厅1卫,40㎡,南,高层/共7层,中等装修,70年,2002年,普通住宅,商品房,29.4                                万（月供2813元/月）,,,
文二新村诚推 好房 学校就在家门口 精装20万诚 ,http://hz.58.com/ershoufang/33486947314604x.shtml,460                                万（单价70769                                元/㎡）,2室1厅1卫,65㎡,南,中层/共6层,中等装修,70年,1990年,普通住宅,商品房,138                                万（月供13203元/月）,,,
婚装全明东边户1房，格局工整合理得房率超高的 ,http://hz.58.com/ershoufang/33475926584117x.shtml,97                                万（单价15396                                元/㎡）,1室1厅1卫,63㎡,南北,中层/共25层,中等装修,70年,2000年,普通住宅,其他,29.1                                万（月供2782元/月）,,,
小垄桥优质急售 ,http://hz.58.com/ershoufang/32130191965880x.shtml,120                                万（单价15143                                元/㎡）,2室2厅1卫,79.24㎡,南,低层/共6层,中等装修,70年,2000年,普通住宅,商品房,36                                万（月供3445元/月）,,,
边套 房东诚心出售 房子户型很好采光很好 星桥镇 ,http://hz.58.com/ershoufang/33477718430415x.shtml,220                                万（单价18803                                元/㎡）,3室2厅1卫,117㎡,南北,高层/共18层,中等装修,70年,2010年,普通住宅,其他,66                                万（月供6315元/月）,,,
中誉现代城，地铁口，银河北干學 区，满五年，房龄 ,http://hz.58.com/ershoufang/33354756815933x.shtml,120                                万（单价25531                                元/㎡）,1室1厅1卫,47㎡,南,中层/共30层,中等装修,70年,2006年,普通住宅,商品房,36                                万（月供3445元/月）,,,
瑷骊山 两房两厅 中等装修可拎包入住 闻欲顺幼儿 ,http://hz.58.com/ershoufang/33489031174834x.shtml,248                                万（单价32207                                元/㎡）,2室2厅1卫,77㎡,南,高层/共12层,中等装修,70年,2013年,普通住宅,商品房,74.4                                万（月供7116元/月）,,,
新上清雅苑大三房，南北通透，户型正气，精装拎包入 ,http://hz.58.com/ershoufang/33240667150656x.shtml,205                                万（单价17982                                元/㎡）,3室2厅2卫,114㎡,南北,中层/共6层,中等装修,70年,2008年,普通住宅,商品房,61.5                                万（月供5882元/月）,,,
华庭云顶精装修3房，南北通透，户型正气，采光好， ,http://hz.58.com/ershoufang/32879631234112x.shtml,230                                万（单价16666                                元/㎡）,3室2厅2卫,138㎡,东南,高层/共20层,中等装修,70年,2006年,普通住宅,商品房,69                                万（月供6600元/月）,,,
，宝龙对面现房公寓，户型正气，房东诚心出售，价可 ,http://hz.58.com/ershoufang/31195556666414x.shtml,65                                万（单价13829                                元/㎡）,1室1厅1卫,47㎡,南北,中层/共24层,中等装修,70年,2010年,普通住宅,商品房,19.5                                万（月供1864元/月）,,,
东边套 三房朝南好户型 全明大三房 单价低 总价 ,http://hz.58.com/ershoufang/33310728289468x.shtml,325                                万（单价29816                                元/㎡）,3室2厅2卫,109㎡,南,高层/共8层,中等装修,70年,2010年,普通住宅,商品房,97.5                                万（月供9326元/月）,,,
单价低 总价低 紧邻城北公园 东边套 全明好户型 ,http://hz.58.com/ershoufang/33310728484152x.shtml,350                                万（单价29914                                元/㎡）,3室2厅1卫,117㎡,南,高层/共6层,中等装修,70年,2002年,普通住宅,商品房,105                                万（月供10044元/月）,,,
美丽的富春江边高档小区房 ,http://hz.58.com/ershoufang/31351622148814x.shtml,215                                万（单价17551                                元/㎡）,3室2厅2卫,122.5㎡,南,中层/共6层,中等装修,70年,1998年,普通住宅,商品房,64.5                                万（月供6171元/月）,,,
中心区，低于市场价，永丰巷 130万 1室1厅1 ,http://hz.58.com/ershoufang/33485081890244x.shtml,130                                万（单价46428                                元/㎡）,1室1厅1卫,28㎡,南北,高层/共7层,中等装修,70年,1989年,普通住宅,商品房,39                                万（月供3730元/月）,,,
三房朝南，2室一厅，采光度好 ,http://hz.58.com/ershoufang/33429018093387x.shtml,248                                万（单价27555                                元/㎡）,2室1厅1卫,90㎡,南,高层/共16层,中等装修,70年,2010年,普通住宅,商品房,74.4                                万（月供7116元/月）,,,
文一路教工路 华门自由21世纪公寓 文一街小学十 ,http://hz.58.com/ershoufang/30613773360940x.shtml,310                                万（单价29665                                元/㎡）,2室2厅1卫,104.5㎡,南北,低层/共25层,中等装修,70年,2004年,普通住宅,其他,93                                万（月供8896元/月）,,,
余杭镇中心位置，70年产权公寓出售 ,http://hz.58.com/ershoufang/33377646767918x.shtml,100                                万（单价12820                                元/㎡）,1室1厅1卫,78㎡,南,中层/共6层,中等装修,70年,2000年,普通住宅,商住两用,30                                万（月供2871元/月）,,,
逸居城精装四房 房东着急出售 欢迎看房 ,http://hz.58.com/ershoufang/31417120499886x.shtml,140                                万（单价12727                                元/㎡）,3室2厅1卫,110㎡,南北,中层/共18层,中等装修,70年,2007年,普通住宅,商品房,42                                万（月供4019元/月）,,,
邮电新村城推好房 文三小套总价低 无小孩读书 换 ,http://hz.58.com/ershoufang/33486904494904x.shtml,292                                万（单价60833                                元/㎡）,2室1厅1卫,48㎡,南,中层/共6层,中等装修,70年,1992年,普通住宅,公房,87.6                                万（月供8381元/月）,,,
朋友，是不是还要重复昨天的故事？还等什么？？ ,http://hz.58.com/ershoufang/31995277536073x.shtml,148                                万（单价25964                                元/㎡）,2室1厅1卫,57㎡,南,中层/共6层,中等装修,70年,1992年,普通住宅,其他,44.4                                万（月供4246元/月）,,,
桃源新居，宋都香悦郡，拱墅半山桃园板块，靠近北景 ,http://hz.58.com/ershoufang/32898392053937x.shtml,180                                万（单价31578                                元/㎡）,1室2厅1卫,57㎡,南,低层/共26层,中等装修,70年,2012年,普通住宅,商品房,54                                万（月供5167元/月）,,,
谁说没有好房子的 进来看看就知道了 ,http://hz.58.com/ershoufang/33203110002733x.shtml,285                                万（单价23170                                元/㎡）,3室2厅0卫,123㎡,南,中层/共31层,中等装修,70年,2000年,普通住宅,商品房,85.5                                万（月供8178元/月）,,,
美都广场 办公居住一体离地铁口500米 商场大悦 ,http://hz.58.com/ershoufang/29914703354157x.shtml,90                                万（单价12500                                元/㎡）,1室1厅1卫,72㎡,南,高层/共18层,中等装修,40年,2007年,普通住宅,商住两用,27                                万（月供2582元/月）,,,
拎包入住，25w精装修，采光好，两室两厅 ,http://hz.58.com/ershoufang/33362878645170x.shtml,180                                万（单价26470                                元/㎡）,2室1厅1卫,68㎡,南,中层/共6层,中等装修,70年,1989年,普通住宅,商品房,54                                万（月供5167元/月）,,,
紧邻三号线 公交站 现在出售星运丽园中装小区房 ,http://hz.58.com/ershoufang/33487379045441x.shtml,170                                万（单价18888                                元/㎡）,3室2厅2卫,90㎡,南北,中层/共6层,中等装修,70年,2010年,普通住宅,其他,51                                万（月供4878元/月）,,,
首付只需50万 房，秋月小区特价房 ,http://hz.58.com/ershoufang/31372561201740x.shtml,178                                万（单价15344                                元/㎡）,3室2厅2卫,116㎡,南,高层/共6层,中等装修,70年,1998年,普通住宅,商品房,53.4                                万（月供5109元/月）,,,
文一街小学边 总价低 实用两室一厅 诚心出售 ,http://hz.58.com/ershoufang/33377546660534x.shtml,320                                万（单价50632                                元/㎡）,2室1厅1卫,63.2㎡,南北,高层/共6层,中等装修,70年,1995年,普通住宅,其他,96                                万（月供9185元/月）,,,
"金域三江,采光超好,舒适小区,舒心的家,绿化好, ",http://hz.58.com/ershoufang/30735200906440x.shtml,185                                万（单价13385                                元/㎡）,3室2厅2卫,138.21㎡,南北,低层/共33层,中等装修,70年,2010年,普通住宅,商品房,55.5                                万（月供5308元/月）,,,
文三街小套 总价低 一房南装修清爽 租金高 房东 ,http://hz.58.com/ershoufang/33486904369713x.shtml,278                                万（单价77222                                元/㎡）,1室1厅1卫,36㎡,南,中层/共6层,中等装修,70年,1994年,普通住宅,公房,83.4                                万（月供7979元/月）,,,
上宁新村新上小套 文三总价低 一房南格局正气 采 ,http://hz.58.com/ershoufang/33486895104704x.shtml,310                                万（单价81578                                元/㎡）,1室1厅1卫,38㎡,南,低层/共6层,中等装修,70年,1988年,普通住宅,商品房,93                                万（月供8896元/月）,,,
半山好房诚售，阳光南北通透 格局工整合理得房率超 ,http://hz.58.com/ershoufang/31863189629642x.shtml,150                                万（单价25862                                元/㎡）,2室2厅1卫,58㎡,南,中层/共6层,中等装修,70年,1990年,普通住宅,其他,45                                万（月供4304元/月）,,,
屏风街 一楼带20多方院子 二房朝南 长寿桥学曲 ,http://hz.58.com/ershoufang/31864655376326x.shtml,300                                万（单价43478                                元/㎡）,2室1厅1卫,69㎡,南北,共5层,中等装修,70年,1982年,普通住宅,商品房,90                                万（月供8611元/月）,,,
翡翠城 业主急卖房、小区中心位置东边套、三面全明 ,http://hz.58.com/ershoufang/33362819612207x.shtml,550                                万（单价31250                                元/㎡）,4室2厅2卫,176㎡,南北,低层/共10层,中等装修,70年,2016年,普通住宅,其他,165                                万（月供15784元/月）,,,
采荷1小：三房，送20方大院子、采光充足、房东搬 ,http://hz.58.com/ershoufang/33368932753961x.shtml,276                                万（单价43125                                元/㎡）,3室1厅1卫,64㎡,南,低层/共6层,中等装修,70年,1989年,普通住宅,商品房,82.8                                万（月供7920元/月）,,,
浙一浙二附近，2007年建造，次新房，环境好，一 ,http://hz.58.com/ershoufang/33433980662452x.shtml,510                                万（单价36170                                元/㎡）,3室2厅1卫,141㎡,南北,高层/共15层,中等装修,70年,2007年,普通住宅,商品房,153                                万（月供14636元/月）,,,
降价30万 降价30万 房东新房已下定金 诚心卖 ,http://hz.58.com/ershoufang/33310693086271x.shtml,160                                万（单价34042                                元/㎡）,1室1厅1卫,47㎡,南,高层/共7层,中等装修,70年,2002年,普通住宅,商品房,48                                万（月供4593元/月）,,,
紧邻三号线 公交站 现在出售星运丽园中装小区房 ,http://hz.58.com/ershoufang/33454862226498x.shtml,170                                万（单价18888                                元/㎡）,3室2厅2卫,90㎡,南北,中层/共6层,中等装修,70年,2010年,普通住宅,其他,51                                万（月供4878元/月）,,,
理想湾不满2年自带幼儿园，小区环境好，80方小户 ,http://hz.58.com/ershoufang/33410589321919x.shtml,160                                万（单价20000                                元/㎡）,2室2厅1卫,80㎡,南北,低层/共34层,中等装修,70年,2000年,普通住宅,商品房,48                                万（月供4593元/月）,,,
新城房源 东厦东港花苑 满2年 诚心出售 随时看 ,http://hz.58.com/ershoufang/33276616211009x.shtml,245                                万（单价15312                                元/㎡）,4室2厅2卫,160㎡,南北,中层/共17层,中等装修,70年,2009年,普通住宅,其他,73.5                                万（月供7030元/月）,,,
紧邻三号线 公交站 现在出售星运丽园中装小区房 ,http://hz.58.com/ershoufang/33477550758198x.shtml,174                                万（单价19333                                元/㎡）,3室2厅2卫,90㎡,南北,中层/共6层,中等装修,70年,2010年,普通住宅,商品房,52.2                                万（月供4992元/月）,,,
马塍店小朱为您诚推 恒升花苑全南户型 文三新房  ,http://hz.58.com/ershoufang/33464176913865x.shtml,800                                万（单价41450                                元/㎡）,4室2厅2卫,193㎡,南,中层/共21层,中等装修,70年,2003年,普通住宅,商品房,240                                万（月供22961元/月）,,,
御湖公馆 三开间朝南 南北通透 房子可改名税少  ,http://hz.58.com/ershoufang/33354363566891x.shtml,218                                万（单价16769                                元/㎡）,4室2厅2卫,130㎡,南北,高层/共30层,中等装修,40年,2014年,普通住宅,商住两用,65.4                                万（月供6257元/月）,,,
新湾闸口路上面住宅，下面商铺，3个店面250方， ,http://hz.58.com/ershoufang/29108768170678x.shtml,300                                万（单价12000                                元/㎡）,6室2厅3卫,250㎡,南,低层/共6层,中等装修,70年,2008年,公寓,商住两用,90                                万（月供8611元/月）,,,
三塘小区 本小区中间位置 楼层中间层 两房朝南  ,http://hz.58.com/ershoufang/33310065814322x.shtml,232                                万（单价34117                                元/㎡）,2室2厅1卫,68㎡,南,中层/共6层,中等装修,70年,2002年,普通住宅,商品房,69.6                                万（月供6659元/月）,,,
拱墅半山 有地铁，交通方便，面积小，总价低，购房 ,http://hz.58.com/ershoufang/33354814860331x.shtml,186                                万（单价29523                                元/㎡）,2室1厅1卫,63㎡,南,中层/共25层,中等装修,70年,2015年,普通住宅,商品房,55.8                                万（月供5339元/月）,,,
充分呵护下一代的璀璨起航！拱墅区重点 小区中心全 ,http://hz.58.com/ershoufang/33378555529144x.shtml,196                                万（单价26133                                元/㎡）,3室1厅1卫,75㎡,南,低层/共6层,中等装修,70年,2004年,普通住宅,其他,58.8                                万（月供5624元/月）,,,
赞成岭上 地铁音乐学院站 总价低 急售 文三街  ,http://hz.58.com/ershoufang/33488936712272x.shtml,240                                万（单价26966                                元/㎡）,2室2厅1卫,89㎡,南,低层/共17层,中等装修,70年,2009年,普通住宅,商品房,72                                万（月供6889元/月）,,,
新上房源，南北户型 装修清爽干净 拎包入住 采光 ,http://hz.58.com/ershoufang/33357223615426x.shtml,173                                万（单价30892                                元/㎡）,2室1厅1卫,56㎡,南北,低层/共6层,中等装修,70年,1995年,普通住宅,商品房,51.9                                万（月供4964元/月）,,,
婚房自住精装修，拎包入住，全明户型，采光好 ,http://hz.58.com/ershoufang/33362850917949x.shtml,175                                万（单价27343                                元/㎡）,2室1厅1卫,64㎡,南北,低层/共6层,中等装修,70年,1998年,普通住宅,商品房,52.5                                万（月供5023元/月）,,,
美好桂花星城边套户型南北通透房东诚心出售好房 ,http://hz.58.com/ershoufang/30691716311368x.shtml,238                                万（单价14875                                元/㎡）,4室2厅2卫,160㎡,南北,中层/共29层,中等装修,70年,2011年,普通住宅,商品房,71.4                                万（月供6831元/月）,,,
紧邻新天地 不沿高架 全明大三房 单价低 总价低 ,http://hz.58.com/ershoufang/33310693498539x.shtml,360                                万（单价40909                                元/㎡）,3室2厅1卫,88㎡,南,低层/共20层,中等装修,70年,2014年,普通住宅,商品房,108                                万（月供10333元/月）,,,
紧邻城北公园 单价低 总价低 房东新房已定好 诚 ,http://hz.58.com/ershoufang/33310693136691x.shtml,215                                万（单价31617                                元/㎡）,2室2厅1卫,68㎡,南,低层/共6层,中等装修,70年,2000年,普通住宅,商品房,64.5                                万（月供6171元/月）,,,
南苑一区 2室2厅1卫 满五年拎包入住 ,http://hz.58.com/ershoufang/31341736585134x.shtml,135                                万（单价15697                                元/㎡）,2室2厅1卫,86㎡,南,中层/共6层,中等装修,70年,2012年,普通住宅,商品房,40.5                                万（月供3875元/月）,,,
崇化小区2房2厅1卫 小区绿化完善 楼层间距很大 ,http://hz.58.com/ershoufang/33440129938122x.shtml,170                                万（单价23611                                元/㎡）,2室1厅1卫,72㎡,南北,低层/共18层,中等装修,70年,2007年,普通住宅,商品房,51                                万（月供4878元/月）,,,
地势好 阳光好 全明户型 小区环境好 实际面积大 ,http://hz.58.com/ershoufang/33443383634353x.shtml,330                                万（单价23913                                元/㎡）,3室2厅2卫,138㎡,南北,中层/共11层,中等装修,70年,2013年,普通住宅,其他,99                                万（月供9470元/月）,,,
房东自住装修 送储藏间 诚心出售 ,http://hz.58.com/ershoufang/33219046374065x.shtml,140                                万（单价15730                                元/㎡）,2室2厅1卫,89㎡,南,低层/共6层,中等装修,70年,2012年,普通住宅,商品房,42                                万（月供4019元/月）,,,
