['鲁JZZ777宝马牌BMW7301EL小型轿车', '//sf.taobao.com/sf_item/565014166140.htm', 1519869600000]
['湘E7CW95凯宴小型越野车的拍卖公告', '//sf.taobao.com/sf_item/565982239329.htm', 1522634400000]
['迈腾牌小型轿车（车牌号码为桂A080X6）', '//sf.taobao.com/sf_item/565977493079.htm', 1522634400000]
['被执行人叶家威名下粤BN738J丰田牌小型轿车一辆', '//sf.taobao.com/sf_item/566020062513.htm', 1522634400000]
['浙J810J1号宝马牌小型汽车', '//sf.taobao.com/sf_item/566152303573.htm', 1522634400000]
['拍卖车牌为浙A9MU39福田牌小型普通客车壹辆', '//sf.taobao.com/sf_item/565995641187.htm', 1522634400000]
['拍卖车牌为浙AV5Z38五菱牌小型面包车壹辆', '//sf.taobao.com/sf_item/565881244352.htm', 1522634400000]
['车牌号为浙A9UD18的别克牌小型轿车一辆', '//sf.taobao.com/sf_item/566049146882.htm', 1522634400000]
['小型普通客车苏N55255一辆', '//sf.taobao.com/sf_item/566074214556.htm', 1522634400000]
['川A4KW56长城牌CC6460RM01小型普通客车', '//sf.taobao.com/sf_item/565862892740.htm', 1522634400000]
['拍卖车牌为浙AMW696宝马牌小型轿车壹辆', '//sf.taobao.com/sf_item/565880900221.htm', 1522634400000]
['浙JJ0028号奥迪牌小型汽车', '//sf.taobao.com/sf_item/565929441422.htm', 1522634400000]
['浙J7932F马自达牌CAF7161A小型轿车一辆', '//sf.taobao.com/sf_item/566046902979.htm', 1522634400000]
['浙J08D85号雅阁牌小型汽车', '//sf.taobao.com/sf_item/565880588056.htm', 1522634400000]
['车牌号为浙ＣＫ2Ｌ27北京现代牌小型轿车', '//sf.taobao.com/sf_item/565859060135.htm', 1522634400000]
['渝CFA777别克牌小型汽车一辆', '//sf.taobao.com/sf_item/565925601045.htm', 1522634400000]
['浙JB117P号神行者牌小型越野客车', '//sf.taobao.com/sf_item/566098339313.htm', 1522634400000]
['别克牌汽车', '//sf.taobao.com/sf_item/566403226341.htm', 1522634400000]
['车牌号为鲁QQ9M90奥迪牌轿车一辆', '//sf.taobao.com/sf_item/565822732317.htm', 1522634400000]
['宝马牌越野车', '//sf.taobao.com/sf_item/565979857980.htm', 1522634400000]
['浙CZ7F62丰田牌小型汽车一辆', '//sf.taobao.com/sf_item/565976061019.htm', 1522634400000]
['云GRY669号丰田小型越野车', '//sf.taobao.com/sf_item/565831413386.htm', 1522634400000]
['浙AA377V的汽车一辆', '//sf.taobao.com/sf_item/566034067868.htm', 1522634400000]
['奥迪牌小型普通客车', '//sf.taobao.com/sf_item/565997481830.htm', 1522634400000]
['（破）车牌为浙ECJ096的桑塔纳牌小型轿车一辆', '//sf.taobao.com/sf_item/565999110123.htm', 1522634400000]
['车牌号为皖P-X5585 黑色艾力绅牌车一辆（不含车牌号）', '//sf.taobao.com/sf_item/565716788955.htm', 1522634400000]
['拍卖福特牌小型轿车一辆', '//sf.taobao.com/sf_item/566019587000.htm', 1522634400000]
['浙KS4679江铃全顺牌汽车', '//sf.taobao.com/sf_item/566013022501.htm', 1522634400000]
['混凝土搅拌车辆苏N06977', '//sf.taobao.com/sf_item/566018514734.htm', 1522634400000]
['浙B892SK东风牌小型汽车一辆', '//sf.taobao.com/sf_item/566048527413.htm', 1522634400000]
['湘A3C77P保时捷牌CayenneA221型越野车', '//sf.taobao.com/sf_item/565882813622.htm', 1522634400000]
['车牌为浙A4FF75江铃全顺牌小型普通客车一辆', '//sf.taobao.com/sf_item/566049034943.htm', 1522634400000]
['浙B7PK71号梅赛德斯奔驰牌汽车', '//sf.taobao.com/sf_item/565641088598.htm', 1522634400000]
['川AU5C67江淮牌小型轿车', '//sf.taobao.com/sf_item/565979549830.htm', 1522634400000]
['浙JN126B号江淮牌轻型厢式货车', '//sf.taobao.com/sf_item/566154179659.htm', 1522634400000]
['1、品牌型号：奥德赛HG6480，车辆类型：小型普通客车。', '//sf.taobao.com/sf_item/565922087011.htm', 1522634400000]
['浙J76L33小型越野客车一辆', '//sf.taobao.com/sf_item/565809384257.htm', 1522634400000]
['浙KR5929号车辆', '//sf.taobao.com/sf_item/565910710274.htm', 1522634400000]
['苏NQ7777奥迪牌小型轿车', '//sf.taobao.com/sf_item/565982353214.htm', 1522634400000]
['（破）苏BQ178U长安牌SC7134C小型轿车', '//sf.taobao.com/sf_item/565895234392.htm', 1522634400000]
['鲁NEB166号汽车', '//sf.taobao.com/sf_item/566051206461.htm', 1522634400000]
['车牌号为浙BLU899别克牌小型轿车一辆', '//sf.taobao.com/sf_item/566054027796.htm', 1522634400000]
['贵JBG316&ldquo;五菱&rdquo;牌面包车', '//sf.taobao.com/sf_item/566165295288.htm', 1522634400000]
['（破）苏BQ679S长安牌SC7134C小型轿车', '//sf.taobao.com/sf_item/565988759819.htm', 1522634400000]
['（破）苏BQ319U长安牌SC7134C小型轿车', '//sf.taobao.com/sf_item/565902774297.htm', 1522634400000]
['（破）苏BA5092乘龙牌LZ5120XXYRAP重型厢式货车', '//sf.taobao.com/sf_item/565974871226.htm', 1522634400000]
['浙JXM731号别克牌小型汽车', '//sf.taobao.com/sf_item/566068646625.htm', 1522634400000]
['车牌号为辽B55G11梅赛德斯-奔驰牌车辆', '//sf.taobao.com/sf_item/566227918975.htm', 1522634400000]
['车牌号为浙EM7706宝马牌小型汽车一辆', '//sf.taobao.com/sf_item/565757836709.htm', 1522634400000]
['苏E513XH丰田牌小型汽车', '//sf.taobao.com/sf_item/565648587508.htm', 1522634400000]
['浙AFQ076的汽车一辆', '//sf.taobao.com/sf_item/565950494423.htm', 1522634400000]
['（破）苏BW658J长安牌SC7134C小型轿车', '//sf.taobao.com/sf_item/565904298751.htm', 1522634400000]
['豫A7JW38宝马牌小型轿车一辆', '//sf.taobao.com/sf_item/566005243686.htm', 1522634400000]
['鲁D063F9长安牌轿车一辆', '//sf.taobao.com/sf_item/565935777473.htm', 1522634400000]
['车牌号为浙ＣＶＮ196东风标致牌小型轿车', '//sf.taobao.com/sf_item/566051190448.htm', 1522634400000]
['车牌号为浙ＣＶ9792别克牌小型轿车', '//sf.taobao.com/sf_item/566137855132.htm', 1522634400000]
['浙C6009H思威牌小型汽车一辆', '//sf.taobao.com/sf_item/566137743396.htm', 1522634400000]
['浙CH1E52蒙迪欧牌小型轿车一辆', '//sf.taobao.com/sf_item/565978373357.htm', 1522634400000]
['奥迪A4L小型轿车', '//sf.taobao.com/sf_item/566053295716.htm', 1522634400000]
['蒙K77767黑色奥迪轿车一辆', '//sf.taobao.com/sf_item/566159023180.htm', 1522634400000]
['车牌号为浙D7263U汽车一辆', '//sf.taobao.com/sf_item/565888025964.htm', 1522634400000]
['浙J0DX77北京现代牌BH7201DAY小型轿车一辆', '//sf.taobao.com/sf_item/566134063187.htm', 1522634400000]
['车牌号为浙Ｃ20ＡＷ8比亚迪牌小型轿车', '//sf.taobao.com/sf_item/566137107003.htm', 1522634400000]
['浙J6BH75号蒙迪欧牌小型汽车', '//sf.taobao.com/sf_item/566057062902.htm', 1522634400000]
['浙F660AX江铃全顺牌小型普通客车', '//sf.taobao.com/sf_item/566048742153.htm', 1522634400000]
['车牌号为贵JPK736江铃牌车辆', '//sf.taobao.com/sf_item/565367467944.htm', 1522634400000]
['车牌号为浙ＣＳ6Ｄ73东南牌小型轿车', '//sf.taobao.com/sf_item/566050622223.htm', 1522634400000]
['车牌号为浙D3023D汽车一辆', '//sf.taobao.com/sf_item/566050235446.htm', 1522634400000]
['车牌号为赣E48278力帆牌小型轿车一辆', '//sf.taobao.com/sf_item/566133391819.htm', 1522634400000]
['被执行人付亚炜名下粤B0R958别克牌小型普通客车一辆', '//sf.taobao.com/sf_item/565914447000.htm', 1522634400000]
['车牌号为浙ＣＣＣ275丰田牌小型轿车', '//sf.taobao.com/sf_item/565973933384.htm', 1522634400000]
['浙JM713D号马自达牌小型汽车', '//sf.taobao.com/sf_item/565812624789.htm', 1522634400000]
['宁野牌404轮式拖拉机一辆', '//sf.taobao.com/sf_item/565204442550.htm', 1522634400000]
['解放牌厢式货车', '//sf.taobao.com/sf_item/565209333609.htm', 1522634400000]
['鲁Q79F76雪佛兰赛欧轿车', '//sf.taobao.com/sf_item/565418271856.htm', 1522634400000]
['（破）苏BQ369U长安牌SC7134C小型轿车', '//sf.taobao.com/sf_item/565712108211.htm', 1522634400000]
['（破）苏B279P6五菱牌LZW6376C3小型普通客车', '//sf.taobao.com/sf_item/565719392753.htm', 1522634400000]
['川JBU910雅阁牌小型轿车一辆', '//sf.taobao.com/sf_item/565763552946.htm', 1522634400000]
['浙GD566P宝马牌小型汽车', '//sf.taobao.com/sf_item/565768441288.htm', 1522634400000]
['车牌号为浙BN30P3的大众牌小型轿车一辆', '//sf.taobao.com/sf_item/565863140661.htm', 1522634400000]
['车牌号为苏AE70S0东风牌汽车', '//sf.taobao.com/sf_item/565879604307.htm', 1522634400000]
['混凝土搅拌车辆苏N06922一辆', '//sf.taobao.com/sf_item/565884264384.htm', 1522634400000]
['鲁DU8879别克牌轿车一辆', '//sf.taobao.com/sf_item/565935937718.htm', 1522634400000]
['闽ALR979奥迪牌小型轿车一辆', '//sf.taobao.com/sf_item/565946002931.htm', 1522634400000]
['车牌号为浙D8186T汽车一辆', '//sf.taobao.com/sf_item/565962594611.htm', 1522634400000]
['（破）苏BK081S五菱牌LZW6407BF小型普通客车', '//sf.taobao.com/sf_item/565994667458.htm', 1522634400000]
['粤BNJ061北京现代牌小型轿车一辆', '//sf.taobao.com/sf_item/566000397157.htm', 1522634400000]
['型号为思威牌DHW6463（CRV）小型轿车（晋D87000)', '//sf.taobao.com/sf_item/566003706841.htm', 1522634400000]
['长安牌SC6469A4小型普通客车', '//sf.taobao.com/sf_item/566038827913.htm', 1522634400000]
['川AG64R8北京现代牌BH7167AX小型轿车', '//sf.taobao.com/sf_item/566056282158.htm', 1522634400000]
['苏A-7MX12号江淮牌小型普通客车一辆', '//sf.taobao.com/sf_item/566083903602.htm', 1522634400000]
['大众速腾牌轿车', '//sf.taobao.com/sf_item/566098089668.htm', 1522634400000]
['白色欧铃牌农用车（车型：ZB2310--1T）', '//sf.taobao.com/sf_item/566139735143.htm', 1522634400000]
['大众牌SVW72010EJ小型轿车', '//sf.taobao.com/sf_item/565190221198.htm', 1522630800000]
['混凝土搅拌车辆苏N06919', '//sf.taobao.com/sf_item/566017758929.htm', 1522548000000]
['粤S715S7号奥迪牌轿车一辆', '//sf.taobao.com/sf_item/565266128287.htm', 1522548000000]
['鲁YGM123江铃牌JX1041TSG24轻型普通货车一辆', '//sf.taobao.com/sf_item/565948382212.htm', 1522548000000]
['苏B9172K奔驰汽车一辆', '//sf.taobao.com/sf_item/566000210092.htm', 1522548000000]
['浙HV8787保时捷牌卡宴小型汽车', '//sf.taobao.com/sf_item/565973413219.htm', 1522548000000]
['苏G06663号奥迪牌小型越野客车', '//sf.taobao.com/sf_item/565146309508.htm', 1522548000000]
['车牌号为闽A600AS的梅赛德斯-奔驰牌小型汽车一辆（不含车牌）', '//sf.taobao.com/sf_item/565995175954.htm', 1522548000000]
['闽FFR078号车', '//sf.taobao.com/sf_item/565881712760.htm', 1522548000000]
['渝HG1987东风标致牌DC7232DTAA轿车', '//sf.taobao.com/sf_item/566164355961.htm', 1522548000000]
['粤SP941Z号福田牌货车一辆', '//sf.taobao.com/sf_item/565377929841.htm', 1522548000000]
['豫RA833N传祺牌小型普通客车', '//sf.taobao.com/sf_item/566106371243.htm', 1522548000000]
['鲁BU7632号货车', '//sf.taobao.com/sf_item/566154151329.htm', 1522548000000]
['保时捷卡宴一辆', '//sf.taobao.com/sf_item/565926233007.htm', 1522548000000]
['东风牌豫c08u76号小型普通客车', '//sf.taobao.com/sf_item/565822056996.htm', 1522548000000]
['号牌号码为黑EJX166的福特车辆', '//sf.taobao.com/sf_item/565259434870.htm', 1522548000000]
['豫C67J99吉利牌JL715K15小型轿车', '//sf.taobao.com/sf_item/565603295320.htm', 1522548000000]
['云JF9236猎豹牌小型汽车', '//sf.taobao.com/sf_item/566053058279.htm', 1522548000000]
['大众（迈腾）牌轿车一辆', '//sf.taobao.com/sf_item/566055991030.htm', 1522548000000]
['福特牌小型普通客车', '//sf.taobao.com/sf_item/565206233539.htm', 1522461600000]
['混凝土搅拌车辆苏N06920一辆', '//sf.taobao.com/sf_item/565997154325.htm', 1522461600000]
['车牌号码为鲁SA3750奥迪A6轿车', '//sf.taobao.com/sf_item/566086567104.htm', 1522461600000]
['浙KK7166号别克汽车一辆', '//sf.taobao.com/sf_item/566085655671.htm', 1522461600000]
['关于程某奥迪牌小型轿车的拍卖公告', '//sf.taobao.com/sf_item/565909882126.htm', 1522461600000]
['豫PMB133长安牌小型轿车', '//sf.taobao.com/sf_item/565208645368.htm', 1522461600000]
['浙DCH581克莱斯勒', '//sf.taobao.com/sf_item/565303691332.htm', 1522288800000]
['车牌为浙D3373Z小型普通轿车一辆', '//sf.taobao.com/sf_item/565922853201.htm', 1522461600000]
['赣CT2202号保时捷卡宴汽车一辆', '//sf.taobao.com/sf_item/565807968089.htm', 1522461600000]
['秀山县丰亚汽车销售有限公司所有的宝马5系车', '//sf.taobao.com/sf_item/565939241299.htm', 1522461600000]
['保时捷牌汽车', '//sf.taobao.com/sf_item/565454118633.htm', 1522461600000]
['苏F38760桑塔纳小型轿车一辆', '//sf.taobao.com/sf_item/566056679148.htm', 1522461600000]
['雪佛兰牌小型轿车', '//sf.taobao.com/sf_item/565927969761.htm', 1522461600000]
['粤JW9049', '//sf.taobao.com/sf_item/565208133480.htm', 1522461600000]
['川BEC939风神牌DFM7160B3B 小型汽车', '//sf.taobao.com/sf_item/565927605290.htm', 1522461600000]
['冀EQV020号一汽Oley轿车一辆', '//sf.taobao.com/sf_item/565929313655.htm', 1522461600000]
['四川瑞薪公路工程有限公司名下17辆工程用车', '//sf.taobao.com/sf_item/565939213069.htm', 1522461600000]
['湘AEE555奔驰牌GL350 越野车4JGDF2E型小型越野客车壹台', '//sf.taobao.com/sf_item/566018422607.htm', 1522461600000]
['秀山县丰亚汽车销售有限公司所有的别克君越车辆一台', '//sf.taobao.com/sf_item/566102547866.htm', 1522461600000]
['北京现代牌小型轿车', '//sf.taobao.com/sf_item/566103555143.htm', 1522375200000]
['牌号为鲁NLN738起亚牌小型轿车一辆', '//sf.taobao.com/sf_item/566251637030.htm', 1522288800000]
['冀JF5767乘龙牌重型半挂牵引车一辆及冀JHN04挂银宝牌重型普通半挂车一辆', '//sf.taobao.com/sf_item/564042600608.htm', 1517450400000]
['豫CA7982宇通牌ZK6122HE19大型客车', '//sf.taobao.com/sf_item/565759368484.htm', 1522375200000]
['无牌广州本田艾力绅小车一辆', '//sf.taobao.com/sf_item/565895465389.htm', 1522375200000]
['指南者2359CC越野车', '//sf.taobao.com/sf_item/565911163260.htm', 1522375200000]
['粤T353D6号宝马牌小型轿车一辆', '//sf.taobao.com/sf_item/565879085585.htm', 1522375200000]
['车牌号为川W58847的陕汽牌重型自卸货车', '//sf.taobao.com/sf_item/565779920624.htm', 1522375200000]
['苏FH361H思威牌小型汽车一辆', '//sf.taobao.com/sf_item/565657904810.htm', 1522375200000]
['鲁LEM563号牌车辆', '//sf.taobao.com/sf_item/566154892860.htm', 1522375200000]
['川BKT118东风牌ZN1032UBM', '//sf.taobao.com/sf_item/565896801994.htm', 1522375200000]
['东莞市东城区交警停车场粤SN977T嘉华牌小型普通客车一辆', '//sf.taobao.com/sf_item/565840689496.htm', 1522375200000]
['川BLA188大众汽车牌SVW6451TED小型普通客车', '//sf.taobao.com/sf_item/565895589736.htm', 1522375200000]
['豫CAL998', '//sf.taobao.com/sf_item/565839901722.htm', 1522375200000]
['冀J699S5戴纳肯牌越野车', '//sf.taobao.com/sf_item/566002075334.htm', 1522375200000]
['杰德牌豫N9B960小型轿车一辆', '//sf.taobao.com/sf_item/565972018750.htm', 1522375200000]
['豫PX2223号牌斯柯达明锐轿车', '//sf.taobao.com/sf_item/566571521825.htm', 1522375200000]
['苏HCU916北京牌汽车', '//sf.taobao.com/sf_item/565890129284.htm', 1522375200000]
['李勇斌名下的停放于大岭山永盛停车场的粤S0X302号牌别克君越小型轿车一辆', '//sf.taobao.com/sf_item/565829801631.htm', 1522375200000]
['浙C750Q1别克牌国产小型汽车', '//sf.taobao.com/sf_item/565922689721.htm', 1522375200000]
['鲁H7P668号大众牌小型轿车', '//sf.taobao.com/sf_item/565600265479.htm', 1522375200000]
['车牌号为苏J94Z48号五菱宏光牌小汽车', '//sf.taobao.com/sf_item/565915806498.htm', 1522375200000]
['甘JD6136丰田牌SCT6490小型汽车', '//sf.taobao.com/sf_item/565902502083.htm', 1522375200000]
['粤QZR358号小型汽车', '//sf.taobao.com/sf_item/565889265843.htm', 1522375200000]
['豫CEP809雪佛兰小型汽车一辆', '//sf.taobao.com/sf_item/565874841251.htm', 1522375200000]
['浙FU3732丰田牌小型轿车一辆', '//sf.taobao.com/sf_item/565946826235.htm', 1522375200000]
['大众捷达小汽车', '//sf.taobao.com/sf_item/565954226346.htm', 1522375200000]
['车牌号为苏E9W900梅赛德斯-奔驰牌汽车一辆', '//sf.taobao.com/sf_item/565726064302.htm', 1522375200000]
['粤A4FB62轻型箱式货车', '//sf.taobao.com/sf_item/565963474319.htm', 1522375200000]
['车牌号为黑AQ1010号丰田牌RAV4多用途乘用车', '//sf.taobao.com/sf_item/565803987786.htm', 1522375200000]
['车牌号为京NAM351的奥迪Q5汽车一辆（不带京牌指标及牌照）', '//sf.taobao.com/sf_item/565660202052.htm', 1522375200000]
['蒙DXL052解放牌小汽车', '//sf.taobao.com/sf_item/565765004492.htm', 1522375200000]
['皖KV8973号奇瑞牌汽车', '//sf.taobao.com/sf_item/565800181293.htm', 1522375200000]
['车牌号为吉JY2898号吉利金刚轿车一辆', '//sf.taobao.com/sf_item/565830414575.htm', 1522375200000]
['闽H43127号大众轿车', '//sf.taobao.com/sf_item/565887649918.htm', 1522375200000]
['苏GGU999别克小型轿车', '//sf.taobao.com/sf_item/566049895074.htm', 1522375200000]
['福德牌轻型普通货车车牌号蒙LMH816', '//sf.taobao.com/sf_item/566057287222.htm', 1522375200000]
['桂A40088奔驰WDDNG5GB小型汽车壹辆', '//sf.taobao.com/sf_item/566130564298.htm', 1522288800000]
['车牌号为浙F88506海马牌机动车一辆', '//sf.taobao.com/sf_item/565762727238.htm', 1522288800000]
['鲁HBU975/鲁HUL59挂斯达-斯太尔牌重型半挂牵引车', '//sf.taobao.com/sf_item/565422152090.htm', 1522288800000]
['苏AZF776雷克萨斯牌JTHBJ46G小型汽车一辆', '//sf.taobao.com/sf_item/565719308339.htm', 1522288800000]
['湘M2PV22的蓝色福特猛禽皮卡车一辆', '//sf.taobao.com/sf_item/565170669520.htm', 1522288800000]
['浙CDN785丰田牌小型轿车', '//sf.taobao.com/sf_item/565779673342.htm', 1522288800000]
['鲁H209MH观致牌小型轿车', '//sf.taobao.com/sf_item/565606514054.htm', 1522288800000]
['苏AM001Q别克牌汽车一辆', '//sf.taobao.com/sf_item/565188658706.htm', 1522288800000]
['车牌号为浙D77L00的宝马牌小型轿车壹辆', '//sf.taobao.com/sf_item/565726524698.htm', 1522288800000]
['车牌号为苏AQZ159的北京现代出租车一辆', '//sf.taobao.com/sf_item/565551329045.htm', 1522288800000]
['车牌号为湘DA7209上海通用别克君越小车一辆', '//sf.taobao.com/sf_item/565944166584.htm', 1522288800000]
['（破）车牌号为浙L32675别克牌SGM6515GL8小型汽车', '//sf.taobao.com/sf_item/565893082868.htm', 1522288800000]
['被执行人吉林未名种业有限公司名下小型轿车', '//sf.taobao.com/sf_item/565762945741.htm', 1522288800000]
['江铃域虎皮卡车一辆', '//sf.taobao.com/sf_item/565419960596.htm', 1522288800000]
['车牌号为川A775VY雷克萨斯JTHBW46G小型轿车', '//sf.taobao.com/sf_item/565935827296.htm', 1522288800000]
['苏A300Z9北京现代牌BH7203AY车', '//sf.taobao.com/sf_item/565379436601.htm', 1522288800000]
['奥迪WAUAGD4L豫CNY536小型越野客车', '//sf.taobao.com/sf_item/566130984127.htm', 1522288800000]
['浙CP2P03普瑞维亚牌小型普通客车', '//sf.taobao.com/sf_item/565939327559.htm', 1522288800000]
['鲁HR6009/鲁H8R87挂东风牌重型半挂牵引车一辆', '//sf.taobao.com/sf_item/565532229722.htm', 1522288800000]
['浙F1X535江淮牌HFC6500A3C7F小型普通客车一辆', '//sf.taobao.com/sf_item/565844610890.htm', 1522288800000]
['蒙MD5816号启辰牌小型轿车', '//sf.taobao.com/sf_item/565185062844.htm', 1522288800000]
['雅阁牌HG7203AB', '//sf.taobao.com/sf_item/565840057985.htm', 1522288800000]
['车牌为浙A6ZF66北京现代牌小型普通客车一辆', '//sf.taobao.com/sf_item/565995487987.htm', 1522288800000]
['浙C2CX33北京现代牌小型汽车', '//sf.taobao.com/sf_item/565919699964.htm', 1522288800000]
['（破）车牌号为浙L11058丰田牌轿车', '//sf.taobao.com/sf_item/565993515731.htm', 1522288800000]
['车牌号为浙J6186V比亚迪牌小型汽车', '//sf.taobao.com/sf_item/565600286297.htm', 1522288800000]
['浙J3879V号赛纳牌小型汽车', '//sf.taobao.com/sf_item/565897314386.htm', 1522288800000]
['苏D9Y368日产牌轿车一辆', '//sf.taobao.com/sf_item/565995375372.htm', 1522288800000]
['一、杨贵亮所有的别克昂科雷小型越野客车一辆（渝CFE368）', '//sf.taobao.com/sf_item/565708671574.htm', 1522288800000]
['车牌号为桂BXR678的丰田牌小车', '//sf.taobao.com/sf_item/565840301334.htm', 1522288800000]
['车牌为浙G029VE小型越野客车一辆', '//sf.taobao.com/sf_item/565701008105.htm', 1522288800000]
['浙J1AZ57号宝马牌小型汽车', '//sf.taobao.com/sf_item/565816965429.htm', 1522288800000]
['浙FA0C13奥迪牌FV7241FCVTG小型轿车', '//sf.taobao.com/sf_item/565658476556.htm', 1522288800000]
['粤B0B8N3威志牌小汽车一辆', '//sf.taobao.com/sf_item/566220422150.htm', 1522288800000]
['桂BK5032乘龙牌重型仓式货车', '//sf.taobao.com/sf_item/565385944705.htm', 1522202400000]
['鲁HW5026/鲁HAN66挂欧曼牌重型半挂牵引车', '//sf.taobao.com/sf_item/565618270633.htm', 1522288800000]
['车牌号为浙AUN277号汽车一辆', '//sf.taobao.com/sf_item/565827497841.htm', 1522288800000]
['粤YNR330路虎揽胜小型越野车', '//sf.taobao.com/sf_item/565172096853.htm', 1522288800000]
['桂A12304宝马牌白色小型轿车一辆', '//sf.taobao.com/sf_item/566030967775.htm', 1522288800000]
['苏F5G217别克牌小型汽车一辆', '//sf.taobao.com/sf_item/565920567472.htm', 1522288800000]
['浙B500LM的长安牌小型轿车一辆', '//sf.taobao.com/sf_item/565998279340.htm', 1522288800000]
['苏NDX185切诺基牌小型普通汽车一辆', '//sf.taobao.com/sf_item/565832761556.htm', 1522288800000]
['苏AC8S81福克斯牌小型轿车', '//sf.taobao.com/sf_item/565706395319.htm', 1522288800000]
['车牌号为浙DC2X23的宝马牌小型轿车壹辆', '//sf.taobao.com/sf_item/565840681419.htm', 1522288800000]
['车牌号为浙B012X1北京现代轿车一辆司法拍卖', '//sf.taobao.com/sf_item/565582985922.htm', 1522288800000]
['浙JYJ516号梅赛德斯奔驰牌小型汽车', '//sf.taobao.com/sf_item/565983055032.htm', 1522288800000]
['津CJ1111 上海大众小型轿车', '//sf.taobao.com/sf_item/565940847486.htm', 1522288800000]
['闽BAL038号的奥迪牌小型汽车一辆', '//sf.taobao.com/sf_item/565838801821.htm', 1522288800000]
['浙E7759K吉利轿车', '//sf.taobao.com/sf_item/566000115516.htm', 1522288800000]
['奥得赛牌车辆', '//sf.taobao.com/sf_item/566031507286.htm', 1522288800000]
['粤BE87L9宾利飞驰小型轿车一辆', '//sf.taobao.com/sf_item/565173364696.htm', 1522288800000]
['粤BQ266Q比亚迪牌小型轿车一辆', '//sf.taobao.com/sf_item/566140489875.htm', 1522288800000]
['车牌号为浙DZ3L65的雪佛兰牌小型轿车壹辆', '//sf.taobao.com/sf_item/566001587097.htm', 1522288800000]
['冀D9L879蒙迪欧牌CAF7230A小型轿车', '//sf.taobao.com/sf_item/565754011203.htm', 1522288800000]
['车牌号为浙C22B09胜达牌小型汽车', '//sf.taobao.com/sf_item/565913162340.htm', 1522288800000]
['车牌号为浙A838MJ号汽车一辆', '//sf.taobao.com/sf_item/565988343692.htm', 1522288800000]
['浙J1699T号凯宴牌小型汽车', '//sf.taobao.com/sf_item/565896418582.htm', 1522288800000]
['关于车牌号为蒙BW6633丰田小型轿车', '//sf.taobao.com/sf_item/565976235761.htm', 1522288800000]
['苏E125BV一汽马自达牌小型汽车一辆', '//sf.taobao.com/sf_item/565871961325.htm', 1522288800000]
['车牌号为浙HS5777的小型汽车', '//sf.taobao.com/sf_item/565890486128.htm', 1522288800000]
['皖KZ108X车辆', '//sf.taobao.com/sf_item/566001007168.htm', 1522288800000]
['车牌号为浙GXA988号小型汽车一辆', '//sf.taobao.com/sf_item/565714616610.htm', 1522288800000]
['鲁YKF132广本锋范轿车一辆', '//sf.taobao.com/sf_item/565578616942.htm', 1522288800000]
['北京牌小型普通客车一辆（车牌号: 桂CTM937）', '//sf.taobao.com/sf_item/565706356677.htm', 1522288800000]
['浙J31H79号梅赛德斯奔驰牌小型汽车', '//sf.taobao.com/sf_item/565893510893.htm', 1522288800000]
['牌号为苏EU330W的宝马牌汽车1辆', '//sf.taobao.com/sf_item/565772412701.htm', 1522288800000]
['浙F971QQ迈凯B5牌WP1AA295小型普通客车', '//sf.taobao.com/sf_item/565658092451.htm', 1522288800000]
['蒙BXC002江铃牌汽车', '//sf.taobao.com/sf_item/565831941571.htm', 1522288800000]
['浙BD2989号斯巴鲁汽车', '//sf.taobao.com/sf_item/564996024628.htm', 1522288800000]
['浙C0979V奔驰牌（E300进口）小型轿车', '//sf.taobao.com/sf_item/565937211385.htm', 1522288800000]
['别克牌汽车', '//sf.taobao.com/sf_item/566364155555.htm', 1522288800000]
['车牌号为苏A3XM03的长安牌小型普通客车一辆', '//sf.taobao.com/sf_item/565685455656.htm', 1522288800000]
['车牌号为赣MJ0696白色丰田普锐斯小轿车', '//sf.taobao.com/sf_item/566005367463.htm', 1522288800000]
['闽FNY935号比亚迪F3黑色轿车', '//sf.taobao.com/sf_item/565656876379.htm', 1522288800000]
['苏D927XF大众轿车', '//sf.taobao.com/sf_item/565725044602.htm', 1522288800000]
['贵A60006号宝马牌小型轿车', '//sf.taobao.com/sf_item/565247162643.htm', 1522288800000]
['蒙C95199沃尔沃牌小型轿车', '//sf.taobao.com/sf_item/565289971390.htm', 1522288800000]
['车牌号为浙J55Q68号的比亚迪小型汽车', '//sf.taobao.com/sf_item/565411204529.htm', 1522288800000]
['车牌号码为粤CQA339的汽车一辆', '//sf.taobao.com/sf_item/565416184903.htm', 1522288800000]
['大众夏朗（SHARAN）汽车一辆。', '//sf.taobao.com/sf_item/565476989841.htm', 1522288800000]
['鲁HBV736/鲁HUL70挂解放牌重型半挂牵引车一辆', '//sf.taobao.com/sf_item/565532201049.htm', 1522288800000]
['车牌号为浙HZ3676的小型汽车', '//sf.taobao.com/sf_item/565662800906.htm', 1522288800000]
['雪佛兰牌白色两厢汽车一辆', '//sf.taobao.com/sf_item/565704684500.htm', 1522288800000]
['大众汽车牌SVW71810HJ小型轿车', '//sf.taobao.com/sf_item/565758837100.htm', 1522288800000]
['车牌号为浙AC07J5号汽车一辆', '//sf.taobao.com/sf_item/565827209838.htm', 1522288800000]
['浙C4818F北京现代牌小型汽车', '//sf.taobao.com/sf_item/565829542697.htm', 1522288800000]
['浙CU03P5北京现代牌小型轿车', '//sf.taobao.com/sf_item/565852078024.htm', 1522288800000]
