标题,链接,开始时间,预计结束时间,第几次拍卖,成交价,成交时间,延时次数,起拍价,保证金,评估价,加价幅度,竞价周期,延时周期,类型,优先购买权人,处置单位,报名人数,设置提醒人数,围观次数,竞买次数,市场价
鲁AZJ338宝马牌BMW7160BF小型轿车,https://sf.taobao.com/sf_item/566455170839.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,183580,2018/4/10 10:10,9,"￥162,580","￥10,000","￥162,580","￥1,000",1天,5分钟,拍卖,无,东营经济技术开发区人民法院,9,443,12715,15,
鲁QE6366梅赛德斯-奔驰牌轿车一辆,https://sf.taobao.com/sf_item/566525251693.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,90000,2018/4/10 10:09,16,"￥75,000","￥15,000","￥85,000",￥750,1天,5分钟,拍卖,无,平邑县人民法院,4,181,12140,21,
车牌号为豫AJ8A72北京现代轿车,https://sf.taobao.com/sf_item/566372869772.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,91890,2018/4/10 10:09,4,"￥87,890","￥10,000","￥103,400","￥1,000",1天,5分钟,拍卖,无,太康县人民法院,2,91,3499,5,
尼桑牌ZN1033U2G4,https://sf.taobao.com/sf_item/566270197316.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,32469,2018/4/10 10:09,33,"￥23,700","￥2,370","￥23,700",￥237,1天,5分钟,拍卖,无,攀枝花市西区人民法院,5,50,4733,38,
鲁D6Z031桑塔纳牌小型轿车,https://sf.taobao.com/sf_item/566276738417.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,21900,2018/4/10 10:09,15,"￥15,500","￥3,000","￥19,000",￥200,1天,5分钟,拍卖,无,枣庄市薛城区人民法院,11,93,2855,33,
（破）车牌号为苏F2N595江铃全顺牌JX6466DF-M小型客车,https://sf.taobao.com/sf_item/565935721868.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,49134,2018/4/10 10:08,10,"￥22,134","￥2,000",,￥500,1天,5分钟,拍卖,无,江苏远威重工有限公司管理人,18,344,12808,40,
浙AE7S67五菱牌小型普通客车一辆,https://sf.taobao.com/sf_item/566327902070.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,37500,2018/4/10 10:08,6,"￥30,000","￥5,000","￥3,000",￥500,1天,5分钟,拍卖,无,临安市人民法院,5,8,1977,15,
浙FK3921大众牌小型轿车一辆,https://sf.taobao.com/sf_item/566523051221.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,15500,2018/4/10 10:08,2,"￥13,000","￥2,500","￥18,500",￥500,1天,5分钟,拍卖,无,海盐县人民法院,3,96,7429,6,
车牌号为皖CT209Z的小型车辆,https://sf.taobao.com/sf_item/565374165150.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,54000,2018/4/10 10:08,3,"￥50,000","￥5,000","￥55,098","￥1,000",1天,5分钟,拍卖,无,蚌埠市禹会区人民法院,2,115,15634,5,
豫GU3006号大众牌帕萨特新领驭轿车,https://sf.taobao.com/sf_item/565427853389.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,74000,2018/4/10 10:07,3,"￥71,000","￥10,000","￥71,000","￥1,000",1天,5分钟,拍卖,无,徐州市云龙区人民法院,5,298,14479,4,
鲁DL3006桑塔纳牌小型轿车,https://sf.taobao.com/sf_item/566093852481.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,22200,2018/4/10 10:06,12,"￥12,000","￥2,000","￥15,000",￥200,1天,5分钟,拍卖,无,枣庄市薛城区人民法院,6,112,4245,26,
四平市忠韩小额贷款有限责任公司所有的丰田牌车辆,https://sf.taobao.com/sf_item/566179132225.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,175700,2018/4/10 10:06,3,"￥128,700","￥12,870","￥143,000","￥1,000",1天,5分钟,拍卖,无,四平市铁东区人民法院,9,264,9889,40,
车牌号为鲁CKJ005的马自达牌二手机动车一辆,https://sf.taobao.com/sf_item/566309403460.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,55300,2018/4/10 10:06,15,"￥43,000","￥5,000","￥43,000",￥300,1天,5分钟,拍卖,无,淄博市张店区人民法院,7,91,4651,27,
江淮牌轻型仓棚式货车,https://sf.taobao.com/sf_item/566303821745.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,52425,2018/4/10 10:06,8,"￥42,825","￥5,000","￥42,825",￥800,1天,5分钟,拍卖,无,饶阳县人民法院,5,35,2050,11,
晋AUD055奥迪A6L牌小型轿车一辆,https://sf.taobao.com/sf_item/566677027685.htm,2018/4/9 10:00,2018/4/10 10:00,第二次拍卖,136100,2018/4/10 10:05,13,"￥122,100","￥20,000","￥152,600","￥1,000",1天,5分钟,拍卖,无,太原市迎泽区人民法院,2,104,8556,15,
酷派黄色轿车,https://sf.taobao.com/sf_item/565659331898.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,36300,2018/4/10 10:05,4,"￥24,600","￥3,000","￥24,600",￥300,1天,5分钟,拍卖,无,华坪县人民法院,5,117,7314,30,
桂ATW579宝马牌小型汽车,https://sf.taobao.com/sf_item/566276642853.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,248000,2018/4/10 10:05,5,"￥238,000","￥20,000","￥238,000","￥2,000",1天,5分钟,拍卖,无,昭平县人民法院,2,174,9390,6,
雷克萨斯2362CC小轿车,https://sf.taobao.com/sf_item/565275152216.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,89600,2018/4/10 10:04,10,"￥75,600","￥7,000","￥108,000","￥1,000",1天,5分钟,拍卖,无,长春市绿园区人民法院,4,195,19337,11,
鲁Q55282号本田思域轿车,https://sf.taobao.com/sf_item/566542615200.htm,2018/4/9 10:00,2018/4/10 10:00,第二次拍卖,38400,2018/4/10 10:04,1,"￥38,400","￥3,000","￥48,000",￥50,1天,5分钟,拍卖,无,费县人民法院,2,80,4108,1,
苏A37R58奥迪轿车一辆,https://sf.taobao.com/sf_item/566341030057.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,151000,2018/4/10 10:04,10,"￥125,000","￥20,000","￥155,000","￥2,000",1天,5分钟,拍卖,无,扬州市邗江区人民法院,4,102,8542,11,
捷达牌小型轿车,https://sf.taobao.com/sf_item/566356107988.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,28250,2018/4/10 10:04,1,"￥24,650","￥2,465","￥29,000",￥450,1天,5分钟,拍卖,无,长春汽车经济技术开发区人民法院,6,94,6497,9,
车牌号为川ET4631号奥迪牌车辆,https://sf.taobao.com/sf_item/566536079003.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,17400,2018/4/10 10:02,1,"￥16,800","￥3,000","￥16,800",￥200,1天,5分钟,拍卖,无,泸州市龙马潭区人民法院,2,52,7681,4,
解放牌CA3257P2K2T1EA80重型货车,https://sf.taobao.com/sf_item/566680688637.htm,2018/4/9 10:00,2018/4/10 10:00,第二次拍卖,35256,2018/4/10 10:02,1,"￥32,256","￥5,000","￥32,256",￥500,1天,5分钟,拍卖,无,马边彝族自治县人民法院,4,38,2805,7,
拍卖车牌为皖BY021B骊威牌小型轿车壹辆,https://sf.taobao.com/sf_item/566253224082.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,35000,2018/4/10 10:01,1,"￥26,000","￥5,000","￥37,138","￥3,000",1天,5分钟,拍卖,无,杭州市萧山区人民法院,4,138,4687,4,
湘B7WL82奇瑞牌小汽车,https://sf.taobao.com/sf_item/566434342641.htm,2018/4/9 10:00,2018/4/10 10:00,第二次拍卖,26836,2018/4/10 10:01,1,"￥26,836","￥3,000","￥33,544",￥200,1天,5分钟,拍卖,无,攸县人民法院,1,18,1718,1,
苏JSK103别克牌小型汽车,https://sf.taobao.com/sf_item/565375813839.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,176630,2018/4/10 10:00,0,"￥176,630","￥15,000",,"￥1,000",1天,5分钟,拍卖,无,建湖县人民法院,1,56,7410,1,"￥176,630"
拍卖摩豹牌电动车一辆,https://sf.taobao.com/sf_item/565434676229.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,2496,2018/4/10 10:00,0,"￥2,496",￥200,"￥2,496",￥30,1天,5分钟,拍卖,无,贵阳市乌当区人民法院,3,29,6101,1,
车牌号为豫SWM111奔驰R350 4MATIC 小型汽车,https://sf.taobao.com/sf_item/565944525081.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,299000,2018/4/10 10:00,0,"￥299,000","￥50,000","￥368,000","￥3,000",1天,5分钟,拍卖,无,河南省信阳市中级人民法院,1,96,7377,1,
车牌为浙BAZ669的车辆,https://sf.taobao.com/sf_item/566047868230.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,62253,2018/4/10 10:00,0,"￥31,253","￥3,200","￥39,067",￥500,1天,5分钟,拍卖,无,宁波市海曙区人民法院,20,463,20562,38,
停放于东莞市石碣法庭停车场内的粤SV664H号解放牌佳宝V70小型汽车一辆,https://sf.taobao.com/sf_item/566210468233.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,7150,2018/4/10 10:00,0,"￥6,650",￥660,"￥6,650",￥500,1天,5分钟,拍卖,无,东莞市第一人民法院,2,34,3496,2,
桂AG3985的别克牌小型汽车,https://sf.taobao.com/sf_item/566224470090.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,66613,2018/4/10 10:00,0,"￥66,613","￥6,000","￥66,613",￥500,1天,5分钟,拍卖,无,横县人民法院,4,282,15856,1,
桂AVU677的奥迪牌小型汽车,https://sf.taobao.com/sf_item/566235122501.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,159722,2018/4/10 10:00,0,"￥152,722","￥15,000","￥152,722",￥500,1天,5分钟,拍卖,无,横县人民法院,2,115,11244,14,
苏J8R326小型轿车,https://sf.taobao.com/sf_item/566236670143.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,19100,2018/4/10 10:00,0,"￥14,000","￥2,800","￥20,000",￥100,1天,5分钟,拍卖,无,沭阳县人民法院,6,110,7125,20,
鲁HYA155别克牌小型轿车,https://sf.taobao.com/sf_item/566254681212.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,35000,2018/4/10 10:00,0,"￥35,000","￥4,000","￥35,000",￥500,1天,5分钟,拍卖,无,鱼台县人民法院,2,47,4357,1,
车牌号为苏BV2X50北京现代ix35小型汽车,https://sf.taobao.com/sf_item/566256308243.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,51120,2018/4/10 10:00,0,"￥46,620","￥5,000","￥66,600",￥500,1天,5分钟,拍卖,无,苏州工业园区人民法院,5,367,16316,5,
桂AM3256的大众迈腾牌小型轿车,https://sf.taobao.com/sf_item/566309031783.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,60410,2018/4/10 10:00,0,"￥58,410","￥5,000","￥58,410",￥500,1天,5分钟,拍卖,无,横县人民法院,3,123,9256,5,
苏JJB569东风牌小型轿车一辆,https://sf.taobao.com/sf_item/566353457246.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,17500,2018/4/10 10:00,0,"￥16,000","￥3,000","￥22,500",￥500,1天,5分钟,拍卖,无,海盐县人民法院,5,53,2911,4,
桂ACU397奥迪牌小型汽车,https://sf.taobao.com/sf_item/566374235771.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,234000,2018/4/10 10:00,0,"￥234,000","￥20,000","￥234,000","￥2,000",1天,5分钟,拍卖,无,昭平县人民法院,1,99,5328,1,
辽A695A0捷达小型轿车,https://sf.taobao.com/sf_item/566433439443.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,23680,2018/4/10 10:00,0,"￥15,680","￥3,000","￥22,400","￥1,000",1天,5分钟,拍卖,无,沈阳市和平区人民法院,6,87,5853,7,
品牌型号为轩逸牌DFL7200VCC小车一辆,https://sf.taobao.com/sf_item/566522147428.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,40867,2018/4/10 10:00,0,"￥40,867","￥4,000","￥51,084",￥500,1天,5分钟,拍卖,无,怀化市鹤城区人民法院,1,44,2894,1,
车牌号为桂BAJ196的小型汽车,https://sf.taobao.com/sf_item/566819166996.htm,2018/4/9 10:00,2018/4/10 10:00,第二次拍卖,37000,2018/4/10 10:00,0,"￥32,000","￥5,000","￥40,000","￥1,000",1天,5分钟,拍卖,无,融安县人民法院,5,63,3813,6,
苏MGQ950比亚迪牌汽车一辆,https://sf.taobao.com/sf_item/565699308024.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,22000,2018/4/9 10:58,25,"￥17,000","￥3,000","￥23,500",￥200,1天,5分钟,拍卖,无,靖江市人民法院,5,98,5882,26,
车牌号浙JHK269起亚牌汽车,https://sf.taobao.com/sf_item/566209077104.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,39800,2018/4/9 10:48,45,"￥19,000","￥3,000","￥26,000",￥200,1天,5分钟,拍卖,无,玉环市人民法院,11,121,7952,80,
型号为别克SGM7240GL轿车1辆,https://sf.taobao.com/sf_item/565864668080.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,24100,2018/4/9 10:36,53,"￥13,500","￥2,000","￥19,170",￥200,1天,5分钟,拍卖,无,江苏省常州市中级人民法院,8,113,9947,54,
粤XGL708号东风牌小轿车,https://sf.taobao.com/sf_item/566291930196.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,49000,2018/4/9 10:35,21,"￥28,000","￥5,600","￥40,000",￥500,1天,5分钟,拍卖,无,佛山市顺德区人民法院,6,70,3978,28,
型号为迈特威WV2DA37H小型普通客车1辆,https://sf.taobao.com/sf_item/566141335838.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,253900,2018/4/9 10:33,28,"￥183,900","￥20,000","￥262,630","￥1,000",1天,5分钟,拍卖,无,江苏省常州市中级人民法院,14,492,15325,39,
（破）关于拍卖浙江三志纺织有限公司名下浙E6928L依维柯小型轿车,https://sf.taobao.com/sf_item/565922185985.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,40500,2018/4/9 10:32,20,"￥30,000","￥5,000","￥30,000",￥500,1天,5分钟,拍卖,无,浙江三志纺织有限公司管理人,3,133,8185,21,
车牌号为浙C55758奔驰牌小型汽车,https://sf.taobao.com/sf_item/566257488930.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,46800,2018/4/9 10:32,24,"￥14,300","￥2,800","￥20,416",￥500,1天,5分钟,拍卖,无,温州市龙湾区人民法院,23,319,17805,66,
车辆 奥迪Q5,https://sf.taobao.com/sf_item/566268089561.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,213000,2018/4/9 10:30,9,"￥199,500","￥10,000","￥199,500","￥1,500",1天,5分钟,拍卖,无,三台县人民法院,5,123,9813,10,
粤XT5225号长安牌SC7162C4小型轿车,https://sf.taobao.com/sf_item/566099784818.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,40200,2018/4/9 10:29,31,"￥21,000","￥4,200","￥30,000",￥400,1天,5分钟,拍卖,无,佛山市顺德区人民法院,13,157,8803,44,
车牌为浙AT5N56东风日产牌小型轿车一辆,https://sf.taobao.com/sf_item/566343666732.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,109000,2018/4/9 10:29,25,"￥55,000","￥10,000","￥73,965","￥1,000",1天,5分钟,拍卖,无,建德市人民法院,18,370,10168,39,
梅赛德斯-奔驰牌BJ6453A3小型普通客车一辆,https://sf.taobao.com/sf_item/566246817930.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,242000,2018/4/9 10:28,34,"￥184,000","￥30,000","￥262,800","￥1,000",1天,5分钟,拍卖,无,常州市新北区人民法院,15,570,21188,54,
浙H72525小型汽车壹辆,https://sf.taobao.com/sf_item/566235864526.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,76000,2018/4/9 10:27,37,"￥45,000","￥9,000","￥60,000",￥500,1天,5分钟,拍卖,无,衢州市柯城区人民法院,8,103,8031,55,
陕E2121M起亚K2小轿车,https://sf.taobao.com/sf_item/565773400873.htm,2018/4/8 10:00,2018/4/9 10:00,第二次拍卖,41820,2018/4/9 10:27,12,"￥36,320","￥5,000","￥45,400",￥500,1天,5分钟,拍卖,无,大荔县人民法院,7,99,6069,12,
车牌为浙AZ3957昊锐牌小型轿车一辆,https://sf.taobao.com/sf_item/566151956430.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,86400,2018/4/9 10:25,44,"￥40,000","￥8,000","￥54,745",￥800,1天,5分钟,拍卖,无,建德市人民法院,17,320,15684,51,
粤XHW737号宝马牌小轿车,https://sf.taobao.com/sf_item/566214841978.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,251000,2018/4/9 10:25,19,"￥161,000","￥32,000","￥230,000","￥1,000",1天,5分钟,拍卖,无,佛山市顺德区人民法院,13,831,33649,37,
车牌为浙AE6B77奇瑞牌小型轿车一辆,https://sf.taobao.com/sf_item/566431215056.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,55000,2018/4/9 10:23,40,"￥25,000","￥5,000","￥29,406",￥500,1天,5分钟,拍卖,无,建德市人民法院,13,47,3172,49,
粤X45739号雪弗兰牌小型轿车,https://sf.taobao.com/sf_item/566213249957.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,22600,2018/4/9 10:22,10,"￥17,500","￥3,500","￥25,000",￥300,1天,5分钟,拍卖,无,佛山市顺德区人民法院,9,251,12906,18,
东风日产牌小型汽车（牌号：桂AHS983）,https://sf.taobao.com/sf_item/566195349937.htm,2018/4/8 10:00,2018/4/9 10:00,第二次拍卖,71000,2018/4/9 10:22,6,"￥56,000","￥11,200","￥70,000","￥1,000",1天,5分钟,拍卖,无,南宁市青秀区人民法院,7,237,10696,15,
（破）关于浙江三志纺织有限公司浙EH7558雷克萨斯牌,https://sf.taobao.com/sf_item/565923153743.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,84000,2018/4/9 10:21,13,"￥60,000","￥10,000","￥60,000","￥1,000",1天,5分钟,拍卖,无,浙江三志纺织有限公司管理人,11,514,29243,25,
车牌号为浙C2YF99起亚牌小型汽车,https://sf.taobao.com/sf_item/566448398611.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,71817,2018/4/9 10:21,12,"￥40,817","￥8,000","￥58,310","￥1,000",1天,5分钟,拍卖,无,温州市龙湾区人民法院,26,410,9415,27,
粤JSZ222号宝马牌小型轿车,https://sf.taobao.com/sf_item/566098016203.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,800000,2018/4/9 10:19,7,"￥420,000","￥84,000","￥600,000","￥4,000",1天,5分钟,拍卖,无,佛山市顺德区人民法院,17,405,24335,63,
车牌号为浙C6507Z荣威牌小型汽车,https://sf.taobao.com/sf_item/566372781283.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,37903,2018/4/9 10:18,11,"￥17,903","￥3,500","￥25,575",￥500,1天,5分钟,拍卖,无,温州市龙湾区人民法院,6,184,5402,38,
拍卖牌照号津JWJ156号起亚牌小型轿车,https://sf.taobao.com/sf_item/566523655894.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,43300,2018/4/9 10:17,18,"￥27,800","￥1,400","￥27,800",￥500,1天,5分钟,拍卖,无,天津市武清区人民法院,8,88,4834,29,
浙CY0Q11梅赛德斯奔驰牌BJ6453A3F国产小型越野客车,https://sf.taobao.com/sf_item/566357887337.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,270000,2018/4/9 10:16,19,"￥172,000","￥34,000","￥245,624","￥2,000",1天,5分钟,拍卖,无,乐清市人民法院,18,836,23112,43,
车牌为浙AW1Z27歌诗图牌小型轿车一辆,https://sf.taobao.com/sf_item/566435791105.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,158000,2018/4/9 10:16,15,"￥100,000","￥20,000","￥128,126","￥2,000",1天,5分钟,拍卖,无,建德市人民法院,11,274,10606,28,
浙H67275小型汽车壹辆,https://sf.taobao.com/sf_item/566519787790.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,32600,2018/4/9 10:15,8,"￥21,000","￥4,000","￥28,000",￥400,1天,5分钟,拍卖,无,衢州市柯城区人民法院,10,136,4039,23,
粤XRA992号奔驰S320牌小型轿车,https://sf.taobao.com/sf_item/566292270352.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,46000,2018/4/9 10:15,50,"￥7,000","￥1,400","￥10,000",￥100,1天,5分钟,拍卖,无,佛山市顺德区人民法院,30,595,24765,124,
赣M92288丰田锐志车,https://sf.taobao.com/sf_item/565332300060.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,62300,2018/4/9 10:14,29,"￥27,300","￥5,000","￥39,000",￥500,1天,5分钟,拍卖,无,江西省南昌市中级人民法院,10,572,28990,56,
型号为奥迪FV7241CVT轿车1辆,https://sf.taobao.com/sf_item/566140771787.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,75700,2018/4/9 10:14,39,"￥34,200","￥4,000","￥48,780",￥500,1天,5分钟,拍卖,无,江苏省常州市中级人民法院,8,407,23355,57,
车牌号为浙C71595奥迪牌小型汽车,https://sf.taobao.com/sf_item/566321625706.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,31000,2018/4/9 10:13,20,"￥12,000","￥2,400","￥16,000",￥500,1天,5分钟,拍卖,无,温州市龙湾区人民法院,11,144,9249,39,
车牌号为浙C9997D奥迪牌小型汽车,https://sf.taobao.com/sf_item/566454182479.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,137000,2018/4/9 10:13,20,"￥102,000","￥20,000","￥128,000","￥1,000",1天,5分钟,拍卖,无,温州市龙湾区人民法院,8,169,12404,29,
拍卖车牌为浙A910VV速腾牌小型轿车壹辆,https://sf.taobao.com/sf_item/566198248920.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,58300,2018/4/9 10:12,7,"￥6,300","￥1,200","￥8,875","￥2,000",1天,5分钟,拍卖,无,杭州市萧山区人民法院,16,228,9605,18,
丰田牌苏CWX631轿车一辆,https://sf.taobao.com/sf_item/566305519543.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,95000,2018/4/9 10:11,13,"￥77,000","￥10,000","￥110,000","￥1,000",1天,5分钟,拍卖,无,新沂市人民法院,10,221,9948,18,
川AS357B长安牌小型轿车,https://sf.taobao.com/sf_item/566222618356.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,65000,2018/4/9 10:11,13,"￥54,000","￥7,000","￥60,300",￥500,1天,5分钟,拍卖,无,成都市龙泉驿区人民法院,4,80,6801,21,
鲁G0071D奔驰威霆商务车,https://sf.taobao.com/sf_item/566430610878.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,140545.9,2018/4/9 10:11,10,"￥107,545.9","￥20,000","￥153,637","￥1,000",1天,5分钟,拍卖,无,潍坊市潍城区人民法院,9,183,5475,31,
浙J218Q3号奥迪牌小型普通客车,https://sf.taobao.com/sf_item/566472131857.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,157700,2018/4/9 10:10,29,"￥105,700","￥21,100","￥151,000","￥1,000",1天,5分钟,拍卖,无,台州市椒江区人民法院,12,286,12460,52,
车牌号为浙C0QZ83起亚牌小型汽车,https://sf.taobao.com/sf_item/566320273513.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,81600,2018/4/9 10:10,11,"￥54,600","￥10,000","￥78,000","￥1,000",1天,5分钟,拍卖,无,温州市龙湾区人民法院,13,265,7657,21,
冀FC8810号马自达轿车,https://sf.taobao.com/sf_item/566527059040.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,61540,2018/4/9 10:10,6,"￥50,540","￥3,650","￥72,200","￥1,000",1天,5分钟,拍卖,无,徐水县人民法院,6,212,7279,12,
赣C07757号雪佛兰汽车一辆,https://sf.taobao.com/sf_item/566380933444.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,79000,2018/4/9 10:08,4,"￥69,000","￥6,000","￥86,600","￥1,000",1天,5分钟,拍卖,无,宜春市袁州区人民法院,8,176,5674,11,
云A6UX96东风小康牌微型车一辆,https://sf.taobao.com/sf_item/566417171170.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,1600,2018/4/9 10:07,7,"￥1,200",￥240,"￥1,200",￥20,1天,5分钟,拍卖,无,安宁市人民法院,8,70,5169,15,
粤X48E56号广汽本田歌诗图牌小轿车,https://sf.taobao.com/sf_item/566378767924.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,150000,2018/4/9 10:05,4,"￥84,000","￥16,800","￥120,000","￥1,000",1天,5分钟,拍卖,无,佛山市顺德区人民法院,11,1024,35710,25,
雪佛兰牌SGM7187MTA小轿车,https://sf.taobao.com/sf_item/566487599918.htm,2018/4/8 10:00,2018/4/9 10:00,第二次拍卖,30416,2018/4/9 10:04,10,"￥24,416","￥2,000",,￥500,1天,5分钟,拍卖,无,广西壮族自治区梧州市中级人民法院,5,25,3435,11,"￥43,600"
马自达轿车,https://sf.taobao.com/sf_item/566241368811.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,48600,2018/4/9 10:02,1,"￥48,600","￥9,500","￥48,600","￥1,000",1天,5分钟,拍卖,无,徐水县人民法院,1,76,6886,1,
车牌为浙A9SD59东风牌小型普通客车一辆,https://sf.taobao.com/sf_item/566340990504.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,61000,2018/4/9 10:02,1,"￥27,000","￥5,400","￥38,353",￥500,1天,5分钟,拍卖,无,建德市人民法院,5,62,3212,27,
浙C6570X速腾牌FV7166ATG国产小型轿车,https://sf.taobao.com/sf_item/566267794962.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,49100,2018/4/9 10:02,2,"￥26,100","￥5,000","￥37,192","￥1,000",1天,5分钟,拍卖,无,乐清市人民法院,11,270,8998,21,
车牌号为浙C3LD35长安牌小型汽车,https://sf.taobao.com/sf_item/566322425600.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,25500,2018/4/9 10:01,1,"￥17,500","￥3,500","￥25,000",￥500,1天,5分钟,拍卖,无,温州市龙湾区人民法院,4,102,3178,9,
车牌为浙A653HW瑞麒牌小型轿车一辆,https://sf.taobao.com/sf_item/566342374639.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,37500,2018/4/9 10:01,6,"￥25,000","￥5,000","￥9,754",￥500,1天,5分钟,拍卖,无,建德市人民法院,9,18,2244,12,
闽GU3397号奥迪WAUAGD4L型小轿车,https://sf.taobao.com/sf_item/565653875793.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,422920,2018/4/9 10:00,0,"￥311,920","￥30,000","￥445,600","￥3,000",1天,5分钟,拍卖,无,宁化县人民法院,7,240,11455,20,
型号为途锐WVGAE67L560小型越野客车1辆,https://sf.taobao.com/sf_item/565863576959.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,192100,2018/4/9 10:00,0,"￥59,100","￥6,000","￥84,420","￥1,000",1天,5分钟,拍卖,无,江苏省常州市中级人民法院,23,880,33384,32,
浙C9EZ73东风牌LZ6430BQCE国产小型普通客车,https://sf.taobao.com/sf_item/566269514168.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,17000,2018/4/9 10:00,0,"￥13,000","￥2,500","￥17,915","￥1,000",1天,5分钟,拍卖,无,乐清市人民法院,7,88,4656,4,
