评论,评分
周末人多，每个地方排队要20分钟。早上10点人园，下午3点半左右有游园活动。心跳地带的游戏我是一个也不敢去试。,5
之前有和妹妹来过两次，这次和朋友一起去的，里面的游戏设备真的很刺激，很好玩，同时排队也浪费很多时间，还有一点，就是游乐园里的食物贼贵??????????????????,4
主要都是游乐项目 和欢乐谷差不多 里面东西好贵 没有迪斯尼好玩 带父母很多过山车大摆锤不能坐 看了特技秀和伐木工都还不错,5
每次去都是人山人海的。但机动游戏真的很刺激，值得你去挑战自我的好地方！,5
很好玩，不过一天玩下来很累，有很多项目都很刺激，不过国庆实在是太多人了一天才玩了五个项目。排队都要排两个小时，里面的水和东西都很贵，而且不能带食物进去,4
还挺不错的，里面的游乐设施较为完善，就是个人玩不了刺激项目挺可惜的，碰碰车游乐场必备，坐了好几次，感觉自己亏了,4
挺不错的一次游玩，刺激和趣味性蛮大的。但是个人感觉卖的吃的小贵小贵的。还有就是按照地球惯例来说，不能给满分，害怕你骄傲。希望长隆能开发出更多更好玩的。,4
适合所有年龄段的朋友，一天时间太少了，项目玩不过来，强烈建议增加两天票。我们一天才玩了十几个项目，基本都排队，但排队时间都还行，五分钟到半小时之间。,5
超级不错诶，非常的刺激，玩了很多高能少年团的挑战项目，还看了大马戏，非常精妙绝伦，是我喜欢的风格！！！小凯，我看到你了～～～长隆欢乐世界值得一试哦，非常不错的，下次还想和朋友一起来，么么哒,5
垂直过山车很刺激，那个摩托过山车速度也是很快，有种在空中开车飞翔的感觉。两个人疯狂玩了一天，根本停不下来！就是节假日排队的人很多，期待下次去更好玩。,5
各种项目很刺激，特别是十环过山车，垂直过山车和，自由落体。可以尽情尖叫享受那种刺激。价钱也很实惠，基本上不怎么排队。可能是因为星期四的原因。还有大剧院的演出很精彩，魔术很梦幻。值得去一次。,5
过山车好好玩 女朋友在害怕牵着我的手 然后坐完就在一起课 哈哈哈 6不6 快去长龙 长隆 长隆 欢乐世界 听说增加了新过山车,5
非常适合年轻人，体验那种心跳的感觉，超嗨的体验,5
每年万圣节期间都去长隆欢乐世界玩，买了全天票，一天时间刚刚好。白天玩刺激游乐设备，晚上看鬼，哈哈，非常不错,5
今天真的很少人  所以排队玩游戏项目都特别快  不过男朋友那个怂货居然不舒服  可是一个人玩也不好玩  所以我硬拉他去玩哈哈  还是一样的刺激一样爽  吃了一碟鱿鱼炒鸡辣,5
本来准备前几天准备去的，下了几天雨，等到天晴才去，一次充满期待游玩，非常好，值得去，情侣票才390 两个人去，里面玩的刺激，非常爽，哈哈，便宜，实惠,5
特别好，工作人员都挺亲切的，也很有趣。特别好玩，安全工作也很到位的,5
这里非常好玩，垂直过山车最过瘾，还有鬼屋，特别吓人。一定要来一次。,5
挺大的，走的脚疼。人太多不建议节假日去等1个小时1分钟可能就完了,3
很多玩的，就是排队很久，特别是海盗漂流排了好久，一个小时都不止，三点左右开始人少点，很多游戏没玩全，还好有些以前在其他公园玩过！不过十环过山车是比较刺激的，当然喜欢玩刺激的会比较适合！,5
里面的吃的喝的是真的贵，一瓶矿泉水10块  一根热狗都要13。快速通道建议还是买一条，150。真的省很多时间。可以带一点吃的和喝的。不要太过分就好。建议一进园先从里面玩。里面的人会少很多。,5
我 觉得挺刺激的，而且也好玩，我觉得不过我还有好多没有玩。关键是太多人排队了。而且天也有一些黑，那时又有点下雨。而且那些上了上电视的那些游乐项目啊明星玩过的我都没有玩过，我觉得挺可惜的。,4
还好太刺激了。过山车不敢玩，其他不刺激的都是在转圈晕晕的。两个水上活动好玩。垂直过上车，十环过山车，大摆锤，u型滑板好玩好玩,5
这次玩得很开心，长隆里面娱乐的东西挺多的，特别是垂直过山车，超级大摆锤，十环过山车超刺激，下次还要去，等我，长隆，我会再来的,5
还是拍拖的时候来过，快十年没来了。今天带着女儿来玩，玩得很开心,5
情侣票歧视吗。男男女女怎么了？闺蜜不能去？弄个好基友票不行吗。,1
很好玩 垂直过山车和大摆锤很刺激是必玩项目 工作日去的 基本不用排队,5
"个人推荐必玩项目：1，垂直过山车
2，旋转飞椅
3，十环过山车",5
超级好玩我们两个人从10点多就进去玩 到下午6点多才出来 把所有好玩的都玩的差不多了 就是时间有一点点不够 不过还是值啦 想去的妹子可以去感受一下刺激哦,5
还不错，活动价划算，值回票价。特技表演和星际穿越很赞，员工都很敬业又亲切。游乐设施，以为会害怕的十环过山车和自由落体其实还好，个人比较害怕摩托过山车。踩高跷小丑、鼓乐队等小细节不错。,5
垂直过山车，大钟摆，自由落体，摩托过山车，火箭过山车，都好玩,5
玩得很嗨。很值得去玩，各种游乐设施，刺激,5
"长隆欢乐世界坐落在广州番禺迎宾路，占地面积2000多亩，游乐设施近70项。欢乐世界引进了瑞士、荷兰、德国、意大利、美国等全球领先的游乐设备公司的设备。

其中包括：“全球过山车之王”垂直过山车、创吉尼斯世界纪录的十环过山车、荣获行业设计金奖的摩托过山车、超级大摆锤、东半球唯一的U型滑板等世界级巅峰游乐项目。",5
价格怎么不一样的，在网上买成人票有没有什么限制的哪里不可以玩那种，求告知， ，，，,4
和朋友去了两次虽然很多东西我不敢玩不过看的也很精彩，两次去分别从北门南门进入她就怼了个过山车两次体验下来她反应完全不同我就没勇气再上垂直了。,5
我是万圣节的那几天去的，去的时候有几个新的游乐项目准备开放。挺开心的玩的，垂直超爽的。吃的话价格稍微偏高，特技场表演值得一看，还有魔术表演。,4
很好玩阿 特别是垂直过山车反正过山车这类的机动设施都很好玩 够刺激冒险 我是和女朋友一起去的 玩之余还可以增加两人的默契和感情喔 值得去呢 而且排队的时候又不会等很久!! 反正一个字：赞！ 心动不如行动 约上三五知己玩起来吧,5
第一个坐的就是垂直过山车，还好之前没有看过其他人坐，不然完全不敢玩。下来直接被吓傻。大摆锤也很刺激，全程不敢睁开眼睛。然后玩了这两个完全不敢玩其他刺激的了。很喜欢玩激流勇进。水泼在身上特别凉快。然后都玩了一些比较弱的游戏。不过很开心很满意。,5
紧张刺激的一天，累呀！不过挺开心，大摆钟还是没有勇气挑战呀[em]e328516[/em]U型滑板也放弃了呀[em]e328560[/em]嘿嘿！其它还是挑战了，垂直过山车居然被挤到了第一排，那个感觉就是魂不附体@_@[em]e328561[/em],5
很不错，虽然今天时不时下雨，但是也挡不了玩的心情?????,5
一天时间玩了大概十个项目，都是挑刺激的玩，感觉值回票价了，星期五不是特别多人，排队不会很久，天气也不错，总之玩的很开心,5
还行，就是氛围感觉差了一点，希望可以多点一些可爱的东西。,5
好刺激，我比较胆小，几个过山车没有玩，跟姐姐一起去玩的，姐姐玩的好开心，哈哈，话说下次还来，哈哈,5
长隆景区里第一个开张的，项目比欢乐谷要刺激的多，年轻人必试的乐园，麻花轴旋转惊险刺激度最高，下来要缓半天，大夏天也有工作人员装扮成全身金色的雕塑，诚意满满。,4
不是放假的时间去的，人不多。刺激的游戏就俩三个。其他的就一般，不排队的话，玩半天吧就完了。坐地铁比较方便，去太早也不开门，9点去就好了。,4
真的超级好玩的，降价了，只要两百块钱，就可以玩遍所有项目，垂直过山车太棒了，很刺激，建议来挑战(⊙o⊙)哦(⊙o⊙),5
长隆欢乐世界中确实满是欢乐，一部分游戏是提供给儿童的，安装及运行成本不会太高，但设计感强，不落俗套。还有一部分机动游戏只适用于年轻的勇士们，其紧张激烈程度不亚于香港的海洋公园。,4
很不错动物种类繁多，第一次去大开眼界，推荐朋友也去了。,5
放松心情的好地方！非常好玩、刺激.,5
夜场去的有点晚了。不过灯光真的很漂亮。只有梦幻转马排长队。孩子比较小，看见过山车就害怕。不过在宝贝乐园玩得很开心。等孩子大了再带他来。,5
还是挺好玩的，还有游行，很多刺激的项目都很好玩，只是人太多排队需要一点时间,4
里面东西太贵了，太坑了。玩的时候买的雨衣不要丢掉，里面有很多个项目需要雨衣,4
"刺激刺激，只有一种感觉，就是刺激。
网上订票比较便宜，优惠多了。最记得有一种摩托过山车，帅气。",5
第一次去，很好玩，每一项目玩的都很开心，很刺激玩的很尽情，跟想像中差不多，差不多把项目玩了个遍，下次就去下水上乐圆，应该更适合大热天。,5
第一次去广州长隆玩，很可惜，没有得玩十环过山车，有点失望。那个垂直过山车其实也不是很恐怖啦，景区的部份工作人员态度恶劣，希望改进一下。,4
周二去的  人不是很多   基本上想玩的都玩了   地铁站出来就是南门超方便！ 然后南门进去就是垂直过山车   大摆锤   超刺激～就是我胆比较小都是闭着眼玩的哈哈哈哈   最好带一瓶水进去   里边水10块钱一瓶～,5
垂直过山车一项，值了！！！！激流勇进，把衣服弄湿就下来了，真是弱爆了！！U型滑板在维修，没开放，伤心……魔术表演还可以咯……小丑游园什么的，相比迪斯尼来说，没有震撼的感觉咯。,3
刺激又好玩，非常好玩，不足的地方，排队的时间太长了。,4
周末去的，人非常多，热门项目要排队，垂直大摆锤很刺激,5
选中周一来玩不用排很久的队~各种项目很刺激，大力推荐垂直过山车和大摆锤~,5
很好玩  单单是过山车就有四个不同种类的  而且现在还有一个水上乐园  也是可以免费进去  水温在38度左右  不会太冷  总之蛮好玩的  里面餐厅什么的也挺多,5
还蛮不错的，比想象中好吧，就是天气有点不给力，里面服务都很到位哦，棒棒哒,5
长隆欢乐世界游戏项目众多，玩了一天发现还有好多游戏还来不及玩，里面的过山车，激流勇进值得体验一下，想要玩的记得要带上雨衣，避免湿身哦,5
长隆欢乐世界超级好玩，我是非节假日去的，人相对较少，排一个项目很快就到了，，因为带着孩子，我和老婆就只能轮流玩，只玩几个刺激的项目，如大摆锤，过山车，都相当刺激，特别推荐。,5
这次去看不到加勒比海盗了，之前去有加勒比海盗各种摆姿势逗笑这次去只有一个小丑各种十环过山车垂直过山车四维影院特技剧场什么的最好吃饱了再进去里面一个炒饭就要68从里面去长隆水上乐园只要加50块~,5
陪女朋友去的，感觉挺好玩的哦。,5
很好玩，很刺激，哈哈，话说那个过山车去了一次，我再不敢玩了，太刺激了。垂直过山车，十环过山车，这俩最刺激的。其余的也很好玩，早点儿去，一天不一定玩的完，尤其人多的情况下。,5
品牌旅游区，各方面都是棒棒哒。但是景区食品偏贵！各种机动游戏齐全，儿童成年人都能找到最爱。,5
万圣节主题的长隆非常美，也很刺激，在里面闯鬼屋无疑更刺激了。里面的游乐设施也很多，很适合年轻人去，不过单身狗要做好心里准备，你懂的,5
"爽，
与你相遇的开始，
幸运…",4
玩了整整一天，很充实，很开心，推荐大家来玩。建议下地铁坐专车到北门，然后往顺着往南门方向玩，走的时候方便坐地铁，南门离地铁站很近。,5
很好啊！去到景点就可以取票了，很方便！而且优惠很多！唯一不好的就是里面的东西不好吃！又贵！,5
本来以为星期天要排队很久，结果我玩的最多排了一个小时左右，很多都不怎么需要排队，里面最刺激的是垂直过山车，欢乐小镇不能玩，在维修。,5
玩的很开心，很刺激，很好玩，最好不要选择节日去玩，不然很难玩完，进去可以先玩垂直过山车，适合追求刺激的朋友们，祝你们玩的开心愉快！,5
很好，玩了飞椅 大摆锤 U型滑板 旋转木马等，看了一场剧场表演，垂直过山车没敢上，泪奔~还有十连环过山车看着就怕怕的~嘤嘤嘤QAQ 等我胆子大点再去尝试吧！总体和朋友玩的很开心！,5
里面游乐设施挺多的，，有小孩的，大人的。特别是那个垂直过山车看了挺恐怖的，，不敢去尝试，，不过其他的基本上都全坐了个遍，挺刺激的。,5
刺激的项目全部玩了一遍很开心，和爸妈自驾游去的！,5
今天和去玩过吧，这里太好玩儿了，小孩子也很喜欢。,5
来了两次了，总体感觉还不错。碰上正好春节正月，欢乐世界到处喜气洋洋的，整体有年的味道。但都是些老外穿中国的节日服装，挺好玩的……,4
欢乐世界很精采，孩子很开心，过山车很多，很刺激！,5
有两张欢乐世界的门票，有效期到10.20号，38元两张，不限男女的，还可以去玩万圣节还有水上乐园，有需要的联系我，有需要的联系我,3
17年暑假推出的年票很优惠，只是里面吃得挺贵的。3个人买水和午饭，平均100一人。雨衣15一件一次性的玩水的。新建的欢乐小镇有趣,5
小朋友玩的项目也挺多的，其实都蛮刺激的，就是携程上小朋友的门票没有优惠，希望能再优惠些！,5
非常棒，今天早上去的时候下点雨，一开始以为会停园，结果没有，去的人少，让得我们可以把刺激的项目在短时间内玩个遍，工作人员的服务态度也挺好的，让我们享受了一次非常棒的旅行,5
"第三次去玩了，增加了几个游玩项目，每次都玩的很给力，垂直才有了一次有点可惜,以前嫌碰碰车人多没玩，这次玩了三次，满足，下次再去！",5
里面很大，很对刺激项目，很适合玩，小孩子项目也很多，唯一有些玩水项目要收雨衣钱，不能租，有些人态度还不是很好，问他能不能玩，也不给别人说，不理人，整体来说还不错，挺好的,4
十环过山车和垂直过山车非常的刺激，唯一的遗憾是，排队排了一小时，过程只有一分钟。四维电影不错，有小朋友的话可以带孩子去看看星技，环境很不错，建议大家有时间可以去游玩一下,5
玩了一天都舍不得走，因为很好玩，十环过山车必玩项目，特效表演都看了很好看，已经去过了很多次，携程购票很方便，下次还要去。????,5
很远有闻到了尖叫声，加快了入园的步伐。天气太热了，坐了飞马家庭过山车，挺好玩的，大摆锤、重直过山车和十环过山车有点恐怖，不敢坐。宝贝世界里面凉快，也有许多儿童玩的项目。,5
玩了一天，早上十点进园，晚上5点半出来，累惨了，没有全部玩完，根本玩不过来，不虚此行！,5
挺好玩的，特别是那个过山车，坐得过程中，有点窒息的感觉，过程很刺激，坐完之后，整个人都精神了，晚上的鬼有点恐怖，鬼屋也挺恐怖的，全程都听到尖叫声。这是一次不错的游玩。,5
玩的东西多，名气大，惊险刺激，景色也不错，就是门票贵了点，网上团购预定便宜很多，人比较多，排队等待的时间长，适合喜欢刺激的人玩,5
超好玩，过山车，特技杂技还有晚上的午夜山谷都等等都很好晚，晚上还有万圣节活动，超赞！,5
玩得开心就是大夏天地去，就是大晒鱿鱼呀。垂直过山车很刺激。很多都是超级失重感。保重。,4
广州最有名的大型游戏场所，拥有两个集中的表演场：中心演艺广场和欢乐剧场。里面地方很大，很多项目都很刺激，非常值得一去的地方。,5
好玩，游乐设施、项目多，玩一整天都不够玩！项目惊险刺激，让人流连忘返，是压力发泄的好去处，也是游玩好去处，大家可以去玩玩哦！,5
玩得很开心 也很刺激 特别下雨玩十环过山车更刺激,4
去一次就够了 不是很好玩 而且要刺激排队要拍很久,4
超级好玩 玩的快飞起了 垂直过山车好刺激 强烈推荐 就是地太大了走的好累,5
非常适合带孩子去，情侣之间也不错。很有乐趣的一次体验。玩得很开心。下次还想再去的。里面有很多刺激的游乐设施、云霄飞车什么的，我比较恐高就没去坐。以前在日本坐过有后遗症了。大家可以试试。,5
玩的很开心，准确来说非常开心，刚去的时候下着雨，过了一会之后就停了，因此来玩的人不是太多，所以玩了一波爽快的，美中不足的是餐厅的的东西不太好，但是总体游玩感觉很不错,5
喜欢刺激游戏的你，长隆欢乐世界是个很好的选择,5
垂直过山车，飞马过山车，大摆锤，激流勇进，海盗漂流，u型滑板刺激的游戏统统玩了很多遍,5
特别特别好的体验 赶上淡季和周一 人很少 基本不用排队 表演超级精彩 演员超级卖力 大型的活动一咬牙也就过去了 强烈推荐垂直过山车 十分推荐,5
非常的刺激，吃的汉堡也非常的刺激。玩大摇摆真的非常爽，还有垂直过山车直接是不能呼吸。,5
今天是第二次来欢乐世界  第一次是读书的时候春游来的  可能之前一堆同学一起比较开心比较觉得好玩  今天随便玩了下就走了。总体不错  刺激,5
很棒的地方，快速票性价比很高，就是人太多了,5
很方便，验证码加手机尾号取票一分钟搞定，园里很多项目老少皆宜，还有许多合影的卡通形象，孩子很开心，三场演出时间安排合理，都看上啦，下次还会来玩,5
超级赞。从开园玩到闭园。晚上还有迎新晚会。,5
方便实惠，非常好的体验，长隆也不让人失望。每次去都有新体验，非常喜欢。会一直支持！,5
第二次要这种类型了，第一次闭眼，第二次全程睁眼很不错！圣诞气氛搞起来。哈哈，不错！,5
很棒。有很多种过山车可以一次玩个够。旅游淡季去的人很少，大部分设施基本不需要排队。,5
昨天终于到达了我喜欢了很久的长隆欢乐世界，里面有很多好玩的机动游戏，既好玩又刺激，那里的气氛好极了，很开心，下次一定再来！,5
一进园就感受到浓浓的欢乐气氛，我是避开端午节去的，人相对少一点，过山车，空中速降，大摆锤都很刺激，超级好玩。还有其他很多项目，可以玩一天，不过里面的餐点是真的贵~,5
第一次来广州长隆游乐园，把所有刺激的项目玩了个遍，感觉超刺激！可惜忘了拍点照片留恋了，发表评论的时候才找不到图，哈哈哈哈哈,5
"人好多玩机动设施起码要等好久
鬼好恐怖突然跑过来看着你
追你吓你万圣节氛围浓郁
门票有优惠了还ok
总的来说还可以不错不错",4
欢乐世界值得一去，里面有各式各样，适合各种年龄段的男人，女人以及儿童玩的游戏项目，建议大家自带雨衣，因为有些项目会弄湿衣服,5
垂直 十环 摩托 大摆锤 u型等等and全部鬼屋 各种心跳的挑战 各种尖叫 好刺激很害怕但很好玩尝试所有过后 才发现我勇敢的时候真的美多了,5
长隆欢乐世界是广州市内的一个大型游乐园，游玩项目多，各种各样的娱乐设施很齐全，游乐场有游行队伍跟你互动，类似于迪斯尼乐园，还有多个表演安排，可以在游玩间隙去看。,5
三月份去的，也算人不是很多的时候，天气不错，不冷不热，周六去的，人也还是不少，像垂直过山车，摩托过山车，十环过山车这样比较有名的项目需要排队30-50分钟，其他小项目排队时间还少点。最好玩的就是U型滑板啦,5
第四次来玩了，说下我的感受，我们是坐地铁过去的，在D或者E出口出去，那里有免费大巴，但是旅途不远，大概走两三分钟就可以到，我们没有坐大巴过去，在门口自助取票机取完票，然后安检进去，带水进去可以，这次吃的都没带，里面东西都挺贵的，可以稍微带点零食进去，但是要藏在包底下。贵重物品带身上，每个设施都有放包包的地方，大件物品可以存在柜里，大概10块，取出后无效。去到长隆大概是早上10点，所以人比较少，为了避免后面排队太多人，我们早早就去玩了垂直过山车和大摆锤，胆子大的可以先玩（大摆锤10：30分开场）。玩完我们就去看了四维电影，然后是星际决战(11：30开场)，这两个都是比较值得去玩的，各种年龄层都适合。紧接着又去了U形滑板，完了以后去了旋转木马、空中飞椅，自由落体这次没去坐，看起来挺高的。沿途进去来到了十环过山车，摩托过山车，十环比较晕，不过也值得一试。摩托过山车是速度与激情，不过时间比较短，也值得去体验。喜欢玩水的可以去玩水上项目，但是水衣在外面买比较便宜，讲价15两件，里面稍微贵。里面还有竞技节目可以看，注意时间表，可以拍下来。女生最好不要化浓妆，免得花妆，带个头绳，很多项目会把你头发吹的像个傻子。我这次比较赶时间，所以才用了四五个小时就全部玩完了，大概12点以后会很多人，垂直过山车大摆锤排队超级多人。切记一定要早点去，而且不过选择节假日周末，祝你们玩的愉快,4
广州长隆欢乐世界是目前国内在设备上投入多、引进多的大型游乐园。拥有游乐设施70余套，包括垂直过山车、十环过山车、摩托过山车、飞马家庭过山车、U型滑板、超级水战、特技表演、超级大摆锤以及目前世界上最先进的四维影院。,5
广州长隆欢乐世界游乐设施很多，尖叫地带的就比较刺激，也有很多适合小朋友游玩的设施，并且还有三大剧场上演不同的节目，供游客观看，例如伐木表演、奇幻魔术表演、分秒对决表演，都非常精彩有趣。喜欢追求刺激的朋友们强烈建议玩火箭过山车、垂直过山车、U型滑板、十环过山车等等，超级刺激好玩过瘾，玩了一次还不过瘾会想玩很多次，惊险刺激爽翻天，可惜当天跳楼机没有开放，没有机会玩跳楼机。特殊节日还有巡游表演，当初是平安夜，下午有巡游非常精彩~圣诞爷爷还给小朋友赠送了糖果，晚上8点还有城堡派对，一起嗨歌一起跳舞，非常开心。 总体感觉广州长隆欢乐世界非常适合大人小朋友一起来玩，园内指示清晰，设备齐全，就算周末洗手间也不需要排队，非常干净卫生,5
园区内餐食真贵！！！！服务也一般！！跟上海迪斯尼差太多了 园区内的巡游真是够low了……感觉规划不太合理 只有纸质地图 定位不方便 为了找一个项目走了很多弯路 玩儿的游乐项目还可以 价格还是挺合理的 工作日游玩儿不用排太长的队  排队的地方有休息的椅长凳 很人性化 服务有待提高,4
不记得是第几次来长隆了，不过这次是专程过来玩的，除了垂直过山车没玩之外，其他刺激的全部玩了一次。最新的火山过山车们这个是最爽的，强烈推荐。十环过山车也很嗨，不过速度很快，撞得你脸疼。大摆锤很恶心，如果你想感受很恶心的离心力也可以玩这个。摩托过山车就完全没啥可怕的了，就是快，爽~~ 长隆在国内来说还是挺不错的，非常推荐一家人朋友聚会来这边游玩，如果有两天时间，你还可以去逛动物园~门票方面也不算贵~在携程app上订比较便宜,5
挺好的很方便，长隆也很好玩，第一次在携程订景点票，带着弟弟妹妹去玩的，不错！！！,5
今天天气????非常nice周一都是学生冬游把还有很多歪果仁游客 不怎么影响排队 和几对情侣朋友都是买的套票比门口买的划算炒鸡多省钱机动游戏一如既往的好玩在玩了五次我最爱的垂直之后终于过瘾了还玩了两把新的火箭过山车每年都是万圣节期间来的今年一直没时间来 现在已经都全是圣诞节终于实现了心愿????今天特别开心,5
"垂直过山车和摩托车过山车觉得不恐怖
坐十环过山车时头被撞来撞去 在上面边叫边骂了十几个卧槽
火箭过山车真的很快，还有2个大圈
U型滑板和龙卷风暴很刺激，一个飞出去，一个在空中旋转倒立了3次
自由落体悠哉悠哉的上去两分钟，下来只需两秒钟
碰碰车发现这次会开了，但是手经常离开方向盘，所以我应该不适合开车
旋转木马和空中飞椅最不刺激了哈哈
看了3个剧场的表演，很配合的当了鼓掌尖叫观众
赶了最后一场4D电影，被捉妖记的妖怪吐了好几次口水时觉得好恶心",5
跟女朋友一起去玩，感觉蛮开心的，就算没玩到几个游戏，但是在一起就是感觉很值得了，很开心的一次出游了，好好好好好好好跟女朋友一起去玩，感觉蛮开心的，就算没玩到几个游戏，但是在一起就是感觉很值得了，很开心的一次出游了，好好好好好好好,5
很好玩万圣节活动派对人很多但是游戏很快就一轮，希望经常有这样的优惠活动。很多好玩的鬼晚上出来遗憾的是没有去鬼屋下次一定去,5
十分嗨皮！我们把全部过山车玩个遍！我们玩的值回票价！还会在来！下次准备水上乐园玩,5
欢乐世界比较大虽然排队人多但是早上开园就来了 全部项目玩一圈还是完全够的.U型滑板是我接受的极限了 全程闭眼 完全不敢坐十环和垂直过山车 太刺激了.还是骑骑单车哈哈！旋转木马是每次必去的，少女心满满滴拍了些好看的照片 .森林神庙是探险的，没有出来吓人的东西，就是前面一起参观的两男生太会玩了躲在角落下我们.玩的很开心，有机会会再来的,5
长隆，跟小伙伴的毕业旅行，很值得回忆的一次完美的旅行。我就说其中一个娱乐设施，垂直过山车，在最高点停了几秒，好刺激，感觉时间都静止了然后又突然往下掉，真的是，那一瞬间感觉自己快要飞了。好评。欢乐世界，带来欢乐。,5
星期四去的，人还是蛮多的，刚进园的时候人不算太多，排了半个多小时玩了垂直过山车，简直太刺激了，我是不想再玩第二次，之后又玩了摩托过山车和十环过山车，个人觉得两项要比垂直过山车好玩，下午人多了就不想排队了，就玩了些人少的项目，总体上还是不错的。,4
这次和小伙伴们一起去欢乐世界玩的。坐了垂直，大摆锤，摩托，跳楼机，十环，U型还有老爷车等。虽然过山车类的+跳楼机+U型都很刺激，但是这些项目都需要排很久的队才能坐到，同时这些项目体验的时间都略短，觉得票价略不值。还有一点就是园区的水还有食物真的超级贵，建议自带干粮。总体来说还是玩的很开心的，下次再去就会选择去旁边的动物园了，哈哈哈。,5
这次是男朋友还有我妹妹跟我三人行，里面器材不算旧啊感觉都比欢乐谷的要多新颖。玩得流连忘返关园也不舍得回去。体验了四维电影院妹妹好开心从未体验过喷水座位晃动妹妹还说有东西抓她屁股吓到她了哈哈哈，就是应该带她多体验新鲜的事物。我跟男朋友也玩了自由落体好紧张他在旁边一直鼓励我保护我,5
很OK了，玩了三个过山车，其中垂直过山车最刺激，摩托过山车一般般，没感受到太大的乐趣，十环过山车那个坐完后耳朵痛。大摆锤的话还可以，离心力不是特别强，u型滑板见到大摆锤就是小巫见大巫。海盗船啊，我们玩的时候刚好下雨了，鞋子都湿了……唯一的小缺陷是强迫到北门去取票？？,5
"娱乐项目多，过山车很刺激，但是欢乐小镇因为检修所有项目停了，没有玩到比较失望，园内消费很高，建议偷偷带点面包饼干放包包小口袋里。
马戏团非常值得去看，不虚此行！",5
垂直真的十分爽！上午人比较少，基本不用排队，但是大部分项目都要凑够一定人数才能玩，所以还是得等。吐槽一下长隆的雨衣，防水性能真的差，如果有想要玩水的妹子，建议穿凉鞋或者拖鞋，不过玩高空项目的时候要求脱掉拖鞋，所以妹子们还是穿拖鞋比较好。还有剧场，每个都值得去看。,5
非常不错的，垂直过山车，十环过山车，大摆锤等非常刺激，是非常好玩的，但是要记得带雨衣饿，有几个飘流的项目，需要带雨衣的。,5
不错，过山车第一次坐，太刺激了，做一次就不敢不敢坐了，别人还能叫出来，我呢咬着牙根本就叫不出来，再让我去坐呀，我是不敢了,5
强烈推荐大家提前网上购票，到园区门口扫描二维码就可以直接生成电子票，验票也方便，不用排队，超级方便，省下不少时间可以多玩项目。来的时间天气真好，小小插曲下了会雨，没有影响，反而感觉凉爽得多，总之感觉棒棒哒，等二宝长大再带来玩一次。五星推荐,5
周一过去人不多，不用排很久队，垂直玩了两次非常刺激，大摆锤和u型滑板都很有趣。玩的非常开心。准备去的话水是刚需，里面的水比较贵，和男朋友两个人带了两升水都不够，又买了五瓶水。里面工作人员态度都很好，总之值得一去。,5
去得太晚了十点多才到，有的项目都没玩到，里面除了有个儿童乐园要游戏币，别的都不收费！还有坐那个漂流要买雨衣15！可以自己带！一般都要90厘米以上才能玩，值得去玩,5
去游乐园就是挑战过山车的，从来没坐过。第一次做第二排，特别紧张，手心出汗！下来了感觉好刺激，又害怕。休息十分钟我又坐了一次，我坐在第一排中间位置，感觉超级刺激。坐了两次跳楼机，失重感很强。u型滑板和大摆锤一样很快速，可以先玩大摆锤在玩滑板，会好一些。适应了大摆锤以后再玩u型滑板，不会那么害怕。总的来说比较好玩，过了一个比较愉快的六一儿童(o^^o),5
在里面玩的真的很开心特别刺激，第一个就玩的垂直过山车，爽死了，玩了这个以后其他的都不怕了，好多都玩上了，因为去的日子人不是特别的多，有一个摩托过山车因为维护，没玩上比较遗憾，因为个人时间原因，U型过山车没玩其他的玩了以后却是特别爽，中间还有巡园的表演，每个演员脸上都是开心的笑容，看到以后就会觉得特别高兴。因为只顾着玩了所以照片就出来的时候拍了几张，有点遗憾。,5
里面好多好玩的，性价比很高，里面的东西也不贵，昨天玩了垂直过山车，太刺激了，看了好几遍才敢上去挑战，还会再去挑战一次的.,5
第二天到广州就来长隆了?！很大很干净。因为最近比较累玩的都是比较不刺激的项目，整体轻松又休闲！旋转木马就是少女时期的梦想啊，可惜时间有点短。还去看了4d 影城看捉妖记很立体的效果，还会有小水滴喷出来很有趣呢！玩的其他项目也还会很多就不一一说了。整体还不错?,3
早就听闻长隆欢乐世界，今天终于自己亲临其境，因为从南门进，所以一个项目选择垂直过山车，一开始还挺开心完全不害怕，可是一出发就给吓死了?。由于是节假日，所以排队时间长了点，虽然惊险，但是每一个项目都想尝试。,5
非常好玩，太刺激了，而且其实没有想象中的排队要那么长，我能说我一天玩了19个项目吗，而且有两个项目还玩了两次，太过瘾啦，过山车三大巨头都玩了，十环过山车，摩托过山车，垂直过山车，太刺激了，还有自由落体，大摆锤人多了一开始没去排队，下午人还是疲惫了，就没去玩，中途穿插着把很多的项目都玩遍了，喜欢刺激得一定要来，园区游乐设施很齐全了，不过要是还有蹦极就好了。。。从早上九点半入园玩到快闭园，总之，这一天太充实啦！！！对了，景区内的酱爆鱿鱼还可以。。,5
"刺激指数5星，太好玩了！里面游玩的项目很多220元，花的超值！先玩的垂直过山车，全场尖叫声不断！不过建议先玩其他的项目，不然后面的就不刺激了！特别推荐:垂直过山车，尖叫指数5星！
然后还有森林神庙和4D影院，超真实。心跳全场！",5
