标题,链接,开始时间,预计结束时间,第几次拍卖,成交价,成交时间,延时次数,起拍价,保证金,评估价,加价幅度,竞价周期,延时周期,类型,优先购买权人,处置单位,报名人数,设置提醒人数,围观次数,竞买次数,市场价,总跳跃幅度,总跳跃次数,平均跳跃幅度,前期总跳跃幅度,前期总跳跃次数,前期平均跳跃幅度,中期总跳跃幅度,中期总跳跃次数,中期平均跳跃幅度,后期总跳跃幅度,后期总跳跃次数,后期平均跳跃幅度,竞买记录,跳跃记录
鲁DC7076桑塔纳牌小型轿车,https://sf.taobao.com/sf_item/566361235498.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,17200,2018/4/10 10:13,8,"14,400","2,800","16,000",200,1天,5分钟,拍卖,无,枣庄市薛城区人民法院,6,23,1965,15,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566361235498.csv,.\data\566361235498jump.csv
鲁GDA330捷豹轿车一辆,https://sf.taobao.com/sf_item/566134744884.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,436109,2018/4/10 10:13,12,"301,109","30,000","301,109","3,000",1天,5分钟,拍卖,无,青州市人民法院,3,237,10200,42,,12000,3,4000,12000,3,4000,0,0,0,0,0,0,.\data\566134744884.csv,.\data\566134744884jump.csv
云A880JC丰田牌小型汽车,https://sf.taobao.com/sf_item/566527107652.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,143300,2018/4/10 10:12,6,"106,300","20,000","106,300","1,000",1天,5分钟,拍卖,无,昆明市五华区人民法院,12,398,15075,31,,7000,4,1750,0,0,0,7000,4,1750,0,0,0,.\data\566527107652.csv,.\data\566527107652jump.csv
牌照号津HG8830哈飞牌HFJ7110E小型轿车一辆（一拍?第二次重拍）,https://sf.taobao.com/sf_item/565665919379.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,24751,2018/4/10 10:12,21,"8,251","1,600","8,251",300,1天,5分钟,拍卖,无,天津市南开区人民法院,12,51,3898,29,,8100,10,810,0,0,0,2400,4,600,5700,6,950,.\data\565665919379.csv,.\data\565665919379jump.csv
牌号为豫A12CG6的王牌牌轻型自卸货车,https://sf.taobao.com/sf_item/566291656892.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,78000,2018/4/10 10:11,25,"65,000","5,000","67,965",500,1天,5分钟,拍卖,无,登封市人民法院,2,39,2631,27,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566291656892.csv,.\data\566291656892jump.csv
渝FF2262东风雪铁龙车一辆,https://sf.taobao.com/sf_item/566093836522.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,37920,2018/4/10 10:11,26,"24,480","4,890","30,612",480,1天,5分钟,拍卖,无,深圳市龙岗区人民法院,10,135,4928,29,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566093836522.csv,.\data\566093836522jump.csv
鲁D6Z031现代牌小型轿车,https://sf.taobao.com/sf_item/566286566374.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,29600,2018/4/10 10:11,19,"24,000","4,000","28,000",200,1天,5分钟,拍卖,无,枣庄市薛城区人民法院,6,83,5253,27,,400,1,400,0,0,0,400,1,400,0,0,0,.\data\566286566374.csv,.\data\566286566374jump.csv
赣AE9626路虎发现小型越野客车,https://sf.taobao.com/sf_item/566269129594.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,568434.53,2018/4/10 10:10,4,"320,279.53","16,014","457,542.18","1,601",1天,5分钟,拍卖,无,萍乡市安源区人民法院,22,642,20052,57,,158499,20,7924.95,155297,18,8627.611111,1601,1,1601,1601,1,1601,.\data\566269129594.csv,.\data\566269129594jump.csv
鲁AZJ338宝马牌BMW7160BF小型轿车,https://sf.taobao.com/sf_item/566455170839.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,183580,2018/4/10 10:10,9,"162,580","10,000","162,580","1,000",1天,5分钟,拍卖,无,东营经济技术开发区人民法院,9,443,12715,15,,7000,1,7000,0,0,0,7000,1,7000,0,0,0,.\data\566455170839.csv,.\data\566455170839jump.csv
鲁QE6366梅赛德斯-奔驰牌轿车一辆,https://sf.taobao.com/sf_item/566525251693.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,90000,2018/4/10 10:09,16,"75,000","15,000","85,000",750,1天,5分钟,拍卖,无,平邑县人民法院,4,181,12140,21,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566525251693.csv,.\data\566525251693jump.csv
车牌号为豫AJ8A72北京现代轿车,https://sf.taobao.com/sf_item/566372869772.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,91890,2018/4/10 10:09,4,"87,890","10,000","103,400","1,000",1天,5分钟,拍卖,无,太康县人民法院,2,91,3499,5,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566372869772.csv,.\data\566372869772jump.csv
尼桑牌ZN1033U2G4,https://sf.taobao.com/sf_item/566270197316.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,32469,2018/4/10 10:09,33,"23,700","2,370","23,700",237,1天,5分钟,拍卖,无,攀枝花市西区人民法院,5,50,4733,38,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566270197316.csv,.\data\566270197316jump.csv
鲁D6Z031桑塔纳牌小型轿车,https://sf.taobao.com/sf_item/566276738417.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,21900,2018/4/10 10:09,15,"15,500","3,000","19,000",200,1天,5分钟,拍卖,无,枣庄市薛城区人民法院,11,93,2855,33,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566276738417.csv,.\data\566276738417jump.csv
（破）车牌号为苏F2N595江铃全顺牌JX6466DF-M小型客车,https://sf.taobao.com/sf_item/565935721868.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,49134,2018/4/10 10:08,10,"22,134","2,000",,500,1天,5分钟,拍卖,无,江苏远威重工有限公司管理人,18,344,12808,40,,7500,4,1875,7500,4,1875,0,0,0,0,0,0,.\data\565935721868.csv,.\data\565935721868jump.csv
浙AE7S67五菱牌小型普通客车一辆,https://sf.taobao.com/sf_item/566327902070.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,37500,2018/4/10 10:08,6,"30,000","5,000","3,000",500,1天,5分钟,拍卖,无,临安市人民法院,5,8,1977,15,,500,1,500,0,0,0,0,0,0,500,1,500,.\data\566327902070.csv,.\data\566327902070jump.csv
浙FK3921大众牌小型轿车一辆,https://sf.taobao.com/sf_item/566523051221.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,15500,2018/4/10 10:08,2,"13,000","2,500","18,500",500,1天,5分钟,拍卖,无,海盐县人民法院,3,96,7429,6,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566523051221.csv,.\data\566523051221jump.csv
车牌号为皖CT209Z的小型车辆,https://sf.taobao.com/sf_item/565374165150.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,54000,2018/4/10 10:08,3,"50,000","5,000","55,098","1,000",1天,5分钟,拍卖,无,蚌埠市禹会区人民法院,2,115,15634,5,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\565374165150.csv,.\data\565374165150jump.csv
豫GU3006号大众牌帕萨特新领驭轿车,https://sf.taobao.com/sf_item/565427853389.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,74000,2018/4/10 10:07,3,"71,000","10,000","71,000","1,000",1天,5分钟,拍卖,无,徐州市云龙区人民法院,5,298,14479,4,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\565427853389.csv,.\data\565427853389jump.csv
鲁DL3006桑塔纳牌小型轿车,https://sf.taobao.com/sf_item/566093852481.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,22200,2018/4/10 10:06,12,"12,000","2,000","15,000",200,1天,5分钟,拍卖,无,枣庄市薛城区人民法院,6,112,4245,26,,5200,4,1300,4800,3,1600,400,1,400,0,0,0,.\data\566093852481.csv,.\data\566093852481jump.csv
四平市忠韩小额贷款有限责任公司所有的丰田牌车辆,https://sf.taobao.com/sf_item/566179132225.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,175700,2018/4/10 10:06,3,"128,700","12,870","143,000","1,000",1天,5分钟,拍卖,无,四平市铁东区人民法院,9,264,9889,40,,8000,4,2000,5000,2,2500,3000,2,1500,0,0,0,.\data\566179132225.csv,.\data\566179132225jump.csv
车牌号为鲁CKJ005的马自达牌二手机动车一辆,https://sf.taobao.com/sf_item/566309403460.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,55300,2018/4/10 10:06,15,"43,000","5,000","43,000",300,1天,5分钟,拍卖,无,淄博市张店区人民法院,7,91,4651,27,,4500,4,1125,0,0,0,300,1,300,4200,3,1400,.\data\566309403460.csv,.\data\566309403460jump.csv
江淮牌轻型仓棚式货车,https://sf.taobao.com/sf_item/566303821745.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,52425,2018/4/10 10:06,8,"42,825","5,000","42,825",800,1天,5分钟,拍卖,无,饶阳县人民法院,5,35,2050,11,,1600,2,800,800,1,800,0,0,0,800,1,800,.\data\566303821745.csv,.\data\566303821745jump.csv
晋AUD055奥迪A6L牌小型轿车一辆,https://sf.taobao.com/sf_item/566677027685.htm,2018/4/9 10:00,2018/4/10 10:00,第二次拍卖,136100,2018/4/10 10:05,13,"122,100","20,000","152,600","1,000",1天,5分钟,拍卖,无,太原市迎泽区人民法院,2,104,8556,15,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566677027685.csv,.\data\566677027685jump.csv
酷派黄色轿车,https://sf.taobao.com/sf_item/565659331898.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,36300,2018/4/10 10:05,4,"24,600","3,000","24,600",300,1天,5分钟,拍卖,无,华坪县人民法院,5,117,7314,30,,3000,3,1000,2700,2,1350,300,1,300,0,0,0,.\data\565659331898.csv,.\data\565659331898jump.csv
桂ATW579宝马牌小型汽车,https://sf.taobao.com/sf_item/566276642853.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,248000,2018/4/10 10:05,5,"238,000","20,000","238,000","2,000",1天,5分钟,拍卖,无,昭平县人民法院,2,174,9390,6,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566276642853.csv,.\data\566276642853jump.csv
雷克萨斯2362CC小轿车,https://sf.taobao.com/sf_item/565275152216.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,89600,2018/4/10 10:04,10,"75,600","7,000","108,000","1,000",1天,5分钟,拍卖,无,长春市绿园区人民法院,4,195,19337,11,,4000,1,4000,0,0,0,0,0,0,4000,1,4000,.\data\565275152216.csv,.\data\565275152216jump.csv
鲁Q55282号本田思域轿车,https://sf.taobao.com/sf_item/566542615200.htm,2018/4/9 10:00,2018/4/10 10:00,第二次拍卖,38400,2018/4/10 10:04,1,"38,400","3,000","48,000",50,1天,5分钟,拍卖,无,费县人民法院,2,80,4108,1,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566542615200.csv,.\data\566542615200jump.csv
苏A37R58奥迪轿车一辆,https://sf.taobao.com/sf_item/566341030057.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,151000,2018/4/10 10:04,10,"125,000","20,000","155,000","2,000",1天,5分钟,拍卖,无,扬州市邗江区人民法院,4,102,8542,11,,6000,1,6000,0,0,0,0,0,0,6000,1,6000,.\data\566341030057.csv,.\data\566341030057jump.csv
捷达牌小型轿车,https://sf.taobao.com/sf_item/566356107988.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,28250,2018/4/10 10:04,1,"24,650","2,465","29,000",450,1天,5分钟,拍卖,无,长春汽车经济技术开发区人民法院,6,94,6497,9,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566356107988.csv,.\data\566356107988jump.csv
车牌号为川ET4631号奥迪牌车辆,https://sf.taobao.com/sf_item/566536079003.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,17400,2018/4/10 10:02,1,"16,800","3,000","16,800",200,1天,5分钟,拍卖,无,泸州市龙马潭区人民法院,2,52,7681,4,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566536079003.csv,.\data\566536079003jump.csv
解放牌CA3257P2K2T1EA80重型货车,https://sf.taobao.com/sf_item/566680688637.htm,2018/4/9 10:00,2018/4/10 10:00,第二次拍卖,35256,2018/4/10 10:02,1,"32,256","5,000","32,256",500,1天,5分钟,拍卖,无,马边彝族自治县人民法院,4,38,2805,7,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566680688637.csv,.\data\566680688637jump.csv
拍卖车牌为皖BY021B骊威牌小型轿车壹辆,https://sf.taobao.com/sf_item/566253224082.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,35000,2018/4/10 10:01,1,"26,000","5,000","37,138","3,000",1天,5分钟,拍卖,无,杭州市萧山区人民法院,4,138,4687,4,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566253224082.csv,.\data\566253224082jump.csv
湘B7WL82奇瑞牌小汽车,https://sf.taobao.com/sf_item/566434342641.htm,2018/4/9 10:00,2018/4/10 10:00,第二次拍卖,26836,2018/4/10 10:01,1,"26,836","3,000","33,544",200,1天,5分钟,拍卖,无,攸县人民法院,1,18,1718,1,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566434342641.csv,.\data\566434342641jump.csv
苏JSK103别克牌小型汽车,https://sf.taobao.com/sf_item/565375813839.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,176630,2018/4/10 10:00,0,"176,630","15,000",,"1,000",1天,5分钟,拍卖,无,建湖县人民法院,1,56,7410,1,"176,630",0,0,0,0,0,0,0,0,0,0,0,0,.\data\565375813839.csv,.\data\565375813839jump.csv
拍卖摩豹牌电动车一辆,https://sf.taobao.com/sf_item/565434676229.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,2496,2018/4/10 10:00,0,"2,496",200,"2,496",30,1天,5分钟,拍卖,无,贵阳市乌当区人民法院,3,29,6101,1,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\565434676229.csv,.\data\565434676229jump.csv
车牌号为豫SWM111奔驰R350 4MATIC 小型汽车,https://sf.taobao.com/sf_item/565944525081.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,299000,2018/4/10 10:00,0,"299,000","50,000","368,000","3,000",1天,5分钟,拍卖,无,河南省信阳市中级人民法院,1,96,7377,1,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\565944525081.csv,.\data\565944525081jump.csv
车牌为浙BAZ669的车辆,https://sf.taobao.com/sf_item/566047868230.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,62253,2018/4/10 10:00,0,"31,253","3,200","39,067",500,1天,5分钟,拍卖,无,宁波市海曙区人民法院,20,463,20562,38,,12500,9,1388.888889,8500,5,1700,4000,4,1000,0,0,0,.\data\566047868230.csv,.\data\566047868230jump.csv
停放于东莞市石碣法庭停车场内的粤SV664H号解放牌佳宝V70小型汽车一辆,https://sf.taobao.com/sf_item/566210468233.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,7150,2018/4/10 10:00,0,"6,650",660,"6,650",500,1天,5分钟,拍卖,无,东莞市第一人民法院,2,34,3496,2,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566210468233.csv,.\data\566210468233jump.csv
桂AG3985的别克牌小型汽车,https://sf.taobao.com/sf_item/566224470090.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,66613,2018/4/10 10:00,0,"66,613","6,000","66,613",500,1天,5分钟,拍卖,无,横县人民法院,4,282,15856,1,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566224470090.csv,.\data\566224470090jump.csv
桂AVU677的奥迪牌小型汽车,https://sf.taobao.com/sf_item/566235122501.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,159722,2018/4/10 10:00,0,"152,722","15,000","152,722",500,1天,5分钟,拍卖,无,横县人民法院,2,115,11244,14,,500,1,500,0,0,0,500,1,500,0,0,0,.\data\566235122501.csv,.\data\566235122501jump.csv
苏J8R326小型轿车,https://sf.taobao.com/sf_item/566236670143.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,19100,2018/4/10 10:00,0,"14,000","2,800","20,000",100,1天,5分钟,拍卖,无,沭阳县人民法院,6,110,7125,20,,3200,5,640,2900,4,725,300,1,300,0,0,0,.\data\566236670143.csv,.\data\566236670143jump.csv
鲁HYA155别克牌小型轿车,https://sf.taobao.com/sf_item/566254681212.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,35000,2018/4/10 10:00,0,"35,000","4,000","35,000",500,1天,5分钟,拍卖,无,鱼台县人民法院,2,47,4357,1,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566254681212.csv,.\data\566254681212jump.csv
车牌号为苏BV2X50北京现代ix35小型汽车,https://sf.taobao.com/sf_item/566256308243.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,51120,2018/4/10 10:00,0,"46,620","5,000","66,600",500,1天,5分钟,拍卖,无,苏州工业园区人民法院,5,367,16316,5,,2500,1,2500,2500,1,2500,0,0,0,0,0,0,.\data\566256308243.csv,.\data\566256308243jump.csv
桂AM3256的大众迈腾牌小型轿车,https://sf.taobao.com/sf_item/566309031783.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,60410,2018/4/10 10:00,0,"58,410","5,000","58,410",500,1天,5分钟,拍卖,无,横县人民法院,3,123,9256,5,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566309031783.csv,.\data\566309031783jump.csv
苏JJB569东风牌小型轿车一辆,https://sf.taobao.com/sf_item/566353457246.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,17500,2018/4/10 10:00,0,"16,000","3,000","22,500",500,1天,5分钟,拍卖,无,海盐县人民法院,5,53,2911,4,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566353457246.csv,.\data\566353457246jump.csv
桂ACU397奥迪牌小型汽车,https://sf.taobao.com/sf_item/566374235771.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,234000,2018/4/10 10:00,0,"234,000","20,000","234,000","2,000",1天,5分钟,拍卖,无,昭平县人民法院,1,99,5328,1,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566374235771.csv,.\data\566374235771jump.csv
辽A695A0捷达小型轿车,https://sf.taobao.com/sf_item/566433439443.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,23680,2018/4/10 10:00,0,"15,680","3,000","22,400","1,000",1天,5分钟,拍卖,无,沈阳市和平区人民法院,6,87,5853,7,,2000,1,2000,2000,1,2000,0,0,0,0,0,0,.\data\566433439443.csv,.\data\566433439443jump.csv
品牌型号为轩逸牌DFL7200VCC小车一辆,https://sf.taobao.com/sf_item/566522147428.htm,2018/4/9 10:00,2018/4/10 10:00,第一次拍卖,40867,2018/4/10 10:00,0,"40,867","4,000","51,084",500,1天,5分钟,拍卖,无,怀化市鹤城区人民法院,1,44,2894,1,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566522147428.csv,.\data\566522147428jump.csv
车牌号为桂BAJ196的小型汽车,https://sf.taobao.com/sf_item/566819166996.htm,2018/4/9 10:00,2018/4/10 10:00,第二次拍卖,37000,2018/4/10 10:00,0,"32,000","5,000","40,000","1,000",1天,5分钟,拍卖,无,融安县人民法院,5,63,3813,6,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566819166996.csv,.\data\566819166996jump.csv
苏MGQ950比亚迪牌汽车一辆,https://sf.taobao.com/sf_item/565699308024.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,22000,2018/4/9 10:58,25,"17,000","3,000","23,500",200,1天,5分钟,拍卖,无,靖江市人民法院,5,98,5882,26,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\565699308024.csv,.\data\565699308024jump.csv
车牌号浙JHK269起亚牌汽车,https://sf.taobao.com/sf_item/566209077104.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,39800,2018/4/9 10:48,45,"19,000","3,000","26,000",200,1天,5分钟,拍卖,无,玉环市人民法院,11,121,7952,80,,5000,9,555.5555556,0,0,0,3200,6,533.3333333,1800,3,600,.\data\566209077104.csv,.\data\566209077104jump.csv
型号为别克SGM7240GL轿车1辆,https://sf.taobao.com/sf_item/565864668080.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,24100,2018/4/9 10:36,53,"13,500","2,000","19,170",200,1天,5分钟,拍卖,无,江苏省常州市中级人民法院,8,113,9947,54,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\565864668080.csv,.\data\565864668080jump.csv
粤XGL708号东风牌小轿车,https://sf.taobao.com/sf_item/566291930196.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,49000,2018/4/9 10:35,21,"28,000","5,600","40,000",500,1天,5分钟,拍卖,无,佛山市顺德区人民法院,6,70,3978,28,,7500,7,1071.428571,0,0,0,4500,2,2250,3000,5,600,.\data\566291930196.csv,.\data\566291930196jump.csv
型号为迈特威WV2DA37H小型普通客车1辆,https://sf.taobao.com/sf_item/566141335838.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,253900,2018/4/9 10:33,28,"183,900","20,000","262,630","1,000",1天,5分钟,拍卖,无,江苏省常州市中级人民法院,14,492,15325,39,,32000,4,8000,31000,3,10333.33333,0,0,0,1000,1,1000,.\data\566141335838.csv,.\data\566141335838jump.csv
（破）关于拍卖浙江三志纺织有限公司名下浙E6928L依维柯小型轿车,https://sf.taobao.com/sf_item/565922185985.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,40500,2018/4/9 10:32,20,"30,000","5,000","30,000",500,1天,5分钟,拍卖,无,浙江三志纺织有限公司管理人,3,133,8185,21,,500,1,500,0,0,0,0,0,0,500,1,500,.\data\565922185985.csv,.\data\565922185985jump.csv
车牌号为浙C55758奔驰牌小型汽车,https://sf.taobao.com/sf_item/566257488930.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,46800,2018/4/9 10:32,24,"14,300","2,800","20,416",500,1天,5分钟,拍卖,无,温州市龙湾区人民法院,23,319,17805,66,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566257488930.csv,.\data\566257488930jump.csv
车辆 奥迪Q5,https://sf.taobao.com/sf_item/566268089561.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,213000,2018/4/9 10:30,9,"199,500","10,000","199,500","1,500",1天,5分钟,拍卖,无,三台县人民法院,5,123,9813,10,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566268089561.csv,.\data\566268089561jump.csv
粤XT5225号长安牌SC7162C4小型轿车,https://sf.taobao.com/sf_item/566099784818.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,40200,2018/4/9 10:29,31,"21,000","4,200","30,000",400,1天,5分钟,拍卖,无,佛山市顺德区人民法院,13,157,8803,44,,2000,4,500,400,1,400,800,1,800,800,2,400,.\data\566099784818.csv,.\data\566099784818jump.csv
车牌为浙AT5N56东风日产牌小型轿车一辆,https://sf.taobao.com/sf_item/566343666732.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,109000,2018/4/9 10:29,25,"55,000","10,000","73,965","1,000",1天,5分钟,拍卖,无,建德市人民法院,18,370,10168,39,,16000,7,2285.714286,9000,3,3000,0,0,0,7000,4,1750,.\data\566343666732.csv,.\data\566343666732jump.csv
梅赛德斯-奔驰牌BJ6453A3小型普通客车一辆,https://sf.taobao.com/sf_item/566246817930.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,242000,2018/4/9 10:28,34,"184,000","30,000","262,800","1,000",1天,5分钟,拍卖,无,常州市新北区人民法院,15,570,21188,54,,5000,3,1666.666667,2000,2,1000,3000,1,3000,0,0,0,.\data\566246817930.csv,.\data\566246817930jump.csv
浙H72525小型汽车壹辆,https://sf.taobao.com/sf_item/566235864526.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,76000,2018/4/9 10:27,37,"45,000","9,000","60,000",500,1天,5分钟,拍卖,无,衢州市柯城区人民法院,8,103,8031,55,,4000,5,800,2500,2,1250,0,0,0,1500,3,500,.\data\566235864526.csv,.\data\566235864526jump.csv
陕E2121M起亚K2小轿车,https://sf.taobao.com/sf_item/565773400873.htm,2018/4/8 10:00,2018/4/9 10:00,第二次拍卖,41820,2018/4/9 10:27,12,"36,320","5,000","45,400",500,1天,5分钟,拍卖,无,大荔县人民法院,7,99,6069,12,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\565773400873.csv,.\data\565773400873jump.csv
车牌为浙AZ3957昊锐牌小型轿车一辆,https://sf.taobao.com/sf_item/566151956430.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,86400,2018/4/9 10:25,44,"40,000","8,000","54,745",800,1天,5分钟,拍卖,无,建德市人民法院,17,320,15684,51,,6400,1,6400,0,0,0,0,0,0,6400,1,6400,.\data\566151956430.csv,.\data\566151956430jump.csv
粤XHW737号宝马牌小轿车,https://sf.taobao.com/sf_item/566214841978.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,251000,2018/4/9 10:25,19,"161,000","32,000","230,000","1,000",1天,5分钟,拍卖,无,佛山市顺德区人民法院,13,831,33649,37,,54000,2,27000,38000,1,38000,16000,1,16000,0,0,0,.\data\566214841978.csv,.\data\566214841978jump.csv
车牌为浙AE6B77奇瑞牌小型轿车一辆,https://sf.taobao.com/sf_item/566431215056.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,55000,2018/4/9 10:23,40,"25,000","5,000","29,406",500,1天,5分钟,拍卖,无,建德市人民法院,13,47,3172,49,,6000,7,857.1428571,0,0,0,1000,2,500,5000,5,1000,.\data\566431215056.csv,.\data\566431215056jump.csv
粤X45739号雪弗兰牌小型轿车,https://sf.taobao.com/sf_item/566213249957.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,22600,2018/4/9 10:22,10,"17,500","3,500","25,000",300,1天,5分钟,拍卖,无,佛山市顺德区人民法院,9,251,12906,18,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566213249957.csv,.\data\566213249957jump.csv
东风日产牌小型汽车（牌号：桂AHS983）,https://sf.taobao.com/sf_item/566195349937.htm,2018/4/8 10:00,2018/4/9 10:00,第二次拍卖,71000,2018/4/9 10:22,6,"56,000","11,200","70,000","1,000",1天,5分钟,拍卖,无,南宁市青秀区人民法院,7,237,10696,15,,1000,1,1000,1000,1,1000,0,0,0,0,0,0,.\data\566195349937.csv,.\data\566195349937jump.csv
（破）关于浙江三志纺织有限公司浙EH7558雷克萨斯牌,https://sf.taobao.com/sf_item/565923153743.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,84000,2018/4/9 10:21,13,"60,000","10,000","60,000","1,000",1天,5分钟,拍卖,无,浙江三志纺织有限公司管理人,11,514,29243,25,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\565923153743.csv,.\data\565923153743jump.csv
车牌号为浙C2YF99起亚牌小型汽车,https://sf.taobao.com/sf_item/566448398611.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,71817,2018/4/9 10:21,12,"40,817","8,000","58,310","1,000",1天,5分钟,拍卖,无,温州市龙湾区人民法院,26,410,9415,27,,5000,2,2500,0,0,0,5000,2,2500,0,0,0,.\data\566448398611.csv,.\data\566448398611jump.csv
粤JSZ222号宝马牌小型轿车,https://sf.taobao.com/sf_item/566098016203.htm,2018/4/8 10:00,2018/4/9 10:00,第一次拍卖,800000,2018/4/9 10:19,7,"420,000","84,000","600,000","4,000",1天,5分钟,拍卖,无,佛山市顺德区人民法院,17,405,24335,63,,132000,6,22000,16000,1,16000,112000,4,28000,4000,1,4000,.\data\566098016203.csv,.\data\566098016203jump.csv
